1 1:221.3452 2:5.8318076 3:12.241536 4:-1.1333047 5:2.1932862 6:-1.9940703 7:1.0195912 8:-2.5236766 9:3.4094968 10:-2.9115694 11:2.6763525 12:-2.8261333 13:4.169643 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:219.57727 2:5.9646792 3:12.353941 4:-1.0869763 5:4.8563933 6:0.35108232 7:2.9986417 8:-2.7794955 9:1.9255626 10:-3.6764457 11:4.9033556 12:-2.0311 13:5.3387847 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:220.05182 2:6.950963 3:13.540047 4:-0.1343677 5:4.8068304 6:2.3920524 7:4.906091 8:-2.2110636 9:1.8577193 10:-4.8641863 11:4.9784923 12:-2.4369698 13:6.4068923 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:219.64764 2:6.1799736 3:14.173919 4:1.0462401 5:3.3062308 6:-1.2644659 7:3.4140637 8:-0.3604401 9:3.1346452 10:-3.4757326 11:5.420245 12:-2.7011135 13:2.7484665 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:220.88115 2:5.9892335 3:13.3154955 4:1.3679328 5:3.7542222 6:-0.81269556 7:1.6652373 8:-0.9674768 9:4.3214483 10:-2.6391802 11:4.5740957 12:-5.8959246 13:3.0285232 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:218.32974 2:7.253045 3:10.337292 4:-3.1329567 5:2.897822 6:2.0211143 7:2.1183078 8:-0.6019218 9:5.071864 10:-2.5642147 11:3.2687025 12:-2.8939757 13:4.195978 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:216.56133 2:5.374301 3:8.742497 4:-4.58057 5:2.4677587 6:-0.41843048 7:3.7984197 8:-0.5966235 9:4.106236 10:-3.4490151 11:3.3022373 12:-2.245381 13:3.4303067 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:218.28474 2:6.3227906 3:10.771372 4:-1.802079 5:7.3081026 6:0.41769528 7:5.466631 8:1.0453291 9:2.563067 10:-3.8178618 11:5.692727 12:-3.4006255 13:2.8089802 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:217.27264 2:8.345185 3:13.634602 4:-1.8233438 5:6.8767858 6:-0.65590245 7:2.938786 8:-1.8723521 9:1.733431 10:-3.1961346 11:5.5507646 12:-2.0456657 13:4.1799483 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:221.85057 2:5.9270644 3:12.249461 4:0.8376805 5:5.4218516 6:-0.42325556 7:4.541485 8:-2.0553405 9:0.36853135 10:-3.7406633 11:3.757889 12:-4.0525494 13:4.7381706 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
