1 1:218.56688 2:4.156769 3:13.303315 4:-0.5933403 5:4.685615 6:1.573156 7:1.7600454 8:-1.997982 9:3.7985792 10:-1.0551149 11:6.125995 12:-2.2683413 13:6.005189 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:216.41267 2:2.9452858 3:7.903678 4:-1.0541723 5:3.470923 6:-0.28860125 7:0.266535 8:-3.1840622 9:1.0155185 10:-3.6481662 11:4.212074 12:-2.8417723 13:4.176933 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:218.44533 2:5.053148 3:10.930227 4:-1.566825 5:3.1124737 6:-1.2712886 7:0.008925903 8:-2.4329066 9:2.7446976 10:-5.2016153 11:3.72703 12:-2.5987122 13:3.897984 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:220.33871 2:8.552611 3:11.762082 4:-2.9293916 5:3.0887237 6:-0.18536498 7:3.2417865 8:-3.625299 9:2.566444 10:-2.2563703 11:2.0782757 12:-1.9680893 13:4.4209285 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:222.3762 2:9.234336 3:10.566359 4:-0.95439106 5:4.240455 6:0.03559805 7:2.3057702 8:-2.8176699 9:4.0593266 10:-2.236266 11:2.4239366 12:-3.6019316 13:4.5222373 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:216.39174 2:3.7955267 3:8.404674 4:-2.6096742 5:4.4635844 6:0.52964985 7:3.3058822 8:0.40228644 9:1.7255892 10:-3.9316099 11:3.547478 12:-4.0352397 13:3.4088778 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:218.88326 2:4.5402308 3:9.324678 4:-3.8268304 5:5.6445675 6:3.8024623 7:5.2537603 8:-0.61190766 9:3.2305937 10:-3.3697073 11:5.1629996 12:-1.6878155 13:2.9109485 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:225.03737 2:10.229411 3:12.611475 4:-2.0024233 5:4.189503 6:-1.4742409 7:2.4482045 8:-1.3525397 9:2.8684003 10:-3.3350573 11:5.6526628 12:-3.4149423 13:4.2611613 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:222.21269 2:7.4843607 3:11.280991 4:-2.4815655 5:4.366607 6:-0.034916073 7:1.7135173 8:-3.7196558 9:2.3871205 10:-2.6925583 11:4.555678 12:-2.8405187 13:5.866602 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:216.65942 2:7.735105 3:11.541485 4:-2.2953377 5:4.298329 6:-0.34592697 7:4.2159653 8:-1.7375911 9:2.8241746 10:-2.963021 11:5.110995 12:-1.6471663 13:6.8073177 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
