1 1:238.80441 2:2.1351345 3:8.333498 4:1.5706357 5:3.3759978 6:-0.9611397 7:6.373143 8:-2.986411 9:2.0269601 10:-3.5071514 11:1.7404475 12:-2.3171146 13:0.8187992 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:234.44098 2:-0.38684338 3:7.293918 4:1.2902528 5:4.069142 6:-0.28280178 7:3.5561001 8:-2.737194 9:2.5798676 10:-4.2379236 11:1.3131424 12:-2.3571372 13:3.509229 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:229.53749 2:-0.7534098 3:7.627458 4:3.1153488 5:5.224882 6:-1.5086031 7:3.5180347 8:-1.9142159 9:3.9552722 10:-4.4096007 11:1.7789153 12:-0.56937414 13:4.0811176 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:231.04817 2:3.1488438 3:7.542537 4:-0.5849474 5:2.7289546 6:-1.5138468 7:3.5722978 8:-1.6034926 9:3.4952362 10:-3.565383 11:3.2303963 12:-0.7997719 13:1.9830681 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:230.08476 2:4.2156787 3:8.220412 4:-1.3074397 5:2.3152306 6:-1.8788768 7:4.162584 8:-2.198317 9:2.3988588 10:-4.013115 11:2.3934548 12:-1.005204 13:2.1703832 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:226.71819 2:2.2554786 3:8.9273815 4:-1.502581 5:1.784013 6:0.20315583 7:4.729974 8:-1.1786194 9:2.5655146 10:-3.176059 11:3.663599 12:-1.5237044 13:3.4580867 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:228.98616 2:3.9956923 3:6.5014524 4:-3.330166 5:2.6389894 6:1.0099573 7:7.0273476 8:1.1017058 9:5.5024004 10:-2.7221198 11:4.242232 12:-1.1747656 13:3.0210848 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:230.96397 2:4.6042056 3:8.7231655 4:-0.3837214 5:6.7012234 6:0.07881787 7:5.2553344 8:-2.4710908 9:2.8545456 10:-2.8209429 11:3.8765028 12:-1.5030507 13:2.2499197 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:232.47923 2:7.4118137 3:9.301223 4:-1.1603447 5:5.037996 6:-2.89697 7:5.241657 8:-3.5322776 9:0.82808125 10:-1.8366278 11:3.6083705 12:-1.5254565 13:2.0156844 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:230.17883 2:4.946366 3:8.00566 4:-1.5192913 5:4.6901326 6:0.58828264 7:5.349431 8:-4.6338215 9:2.0753434 10:-3.3905873 11:4.0890326 12:-0.5654781 13:3.2253783 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
