1 1:246.71597 2:7.5242224 3:9.051901 4:-2.5163257 5:5.2845507 6:-1.1812419 7:4.183034 8:-0.3492482 9:2.1266453 10:-2.801152 11:5.07459 12:-3.6056545 13:1.5072219 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:244.95168 2:6.936952 3:8.040683 4:-1.8474532 5:5.7489777 6:0.8877704 7:3.0094168 8:-3.6889474 9:1.8905625 10:-3.9489586 11:4.2851243 12:-2.9816031 13:2.4513464 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:245.25203 2:7.5256133 3:10.566806 4:1.174517 5:6.1217933 6:-0.4165689 7:1.9473822 8:-5.7207117 9:0.89883274 10:-3.3466089 11:6.3329477 12:-3.2550516 13:2.1162322 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:246.8882 2:9.456392 3:9.689311 4:0.9325519 5:7.1405506 6:-0.5465815 7:3.5123096 8:-4.782392 9:3.2459016 10:-3.6566079 11:4.5790944 12:-3.9734528 13:3.9181113 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:245.43076 2:9.842069 3:8.530918 4:0.107688196 5:5.1037326 6:0.899693 7:4.6977153 8:-3.3573477 9:3.5548184 10:-3.5956845 11:3.511077 12:-3.8577743 13:4.6338034 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:240.67186 2:9.038286 3:8.726642 4:-2.3949149 5:4.3925896 6:-1.2349107 7:2.0190344 8:-1.7459353 9:3.3089445 10:-2.8877487 11:5.2725444 12:-2.2810862 13:4.1452713 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:241.75693 2:8.681742 3:10.372779 4:-0.80462295 5:4.870319 6:-2.4269726 7:1.809012 8:-2.3842154 9:2.8706532 10:-3.892353 11:4.0324244 12:-1.9591593 13:3.8303828 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:238.84468 2:8.948188 3:12.11401 4:0.38824487 5:4.6806917 6:-0.078457445 7:2.9145343 8:-2.6870654 9:3.8212223 10:-4.663596 11:4.526175 12:-3.8485084 13:1.9062517 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:243.04262 2:11.68477 3:15.184369 4:0.0584095 5:4.7297087 6:-0.18793193 7:3.7483733 8:-2.6562948 9:7.344196 10:-1.5974101 11:4.292462 12:-5.424517 13:3.635088 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:241.89752 2:10.210708 3:12.5962305 4:1.0801688 5:6.0313177 6:-0.7620143 7:2.942858 8:-2.6028783 9:4.9859767 10:-2.769187 11:4.552409 12:-4.3029113 13:6.6039906 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:240.71527 2:10.394175 3:11.9586525 4:-1.5940715 5:2.5466933 6:-1.4642392 7:2.622035 8:-3.4156349 9:4.9470043 10:-1.5963633 11:5.5035114 12:-4.107089 13:4.3596897 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:238.81262 2:10.910654 3:12.177222 4:-0.75717896 5:7.481444 6:-0.41036147 7:4.525883 8:-3.158975 9:4.9219484 10:-1.3654785 11:5.6336074 12:-3.3620853 13:4.184528 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
