1 1:230.55312 2:4.540448 3:8.809568 4:-0.39460716 5:4.179688 6:0.5108259 7:3.5131173 8:-3.0538862 9:0.7060909 10:-4.0670757 11:3.1522634 12:-2.5433593 13:2.4639766 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:237.41699 2:5.5589957 3:8.707803 4:-1.2647849 5:2.3750784 6:-1.1194018 7:2.5724437 8:-1.8585867 9:1.7404287 10:-3.987917 11:4.326858 12:-2.7380474 13:4.4574337 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:237.29546 2:4.4199486 3:7.399072 4:-0.950714 5:3.7896492 6:-1.4653436 7:1.943845 8:-2.9777548 9:0.3877877 10:-5.157696 11:3.0652192 12:-2.8277268 13:3.5946515 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:230.43619 2:3.4390545 3:8.010769 4:0.16269134 5:5.957229 6:0.79909605 7:3.9123232 8:-1.4398905 9:3.964603 10:-2.1721356 11:4.2429223 12:-1.4362334 13:4.1796107 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:230.22798 2:4.3157473 3:9.224258 4:-0.046469413 5:6.5944543 6:0.27622512 7:2.2612765 8:-3.0440514 9:3.3075905 10:-2.109388 11:6.42692 12:-0.7049104 13:3.5655174 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:233.14255 2:3.369037 3:8.498672 4:0.261239 5:2.2389903 6:0.50859296 7:3.1950836 8:-3.3113475 9:2.8757277 10:-3.6885302 11:3.1516762 12:-2.1971357 13:5.264438 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:234.03647 2:2.5167794 3:6.1073184 4:-2.2119002 5:3.5545402 6:0.6044863 7:2.958139 8:-2.5548248 9:2.0273874 10:-3.541515 11:3.1545217 12:-2.4104662 13:4.849153 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:234.64207 2:4.779562 3:9.275314 4:-1.8093352 5:4.164483 6:-1.7164658 7:2.8589709 8:-0.692483 9:1.0509957 10:-1.6836381 11:5.534016 12:-1.8511821 13:3.4696605 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:234.70915 2:4.7854033 3:10.065461 4:0.11949421 5:3.779338 6:-1.8770239 7:1.3577036 8:0.03927218 9:2.0809193 10:-2.7321868 11:6.131377 12:-1.3132687 13:3.376566 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:229.33972 2:3.6501632 3:7.5060234 4:-1.4519069 5:2.282464 6:-1.7443427 7:1.1406248 8:-2.8027372 9:2.1297247 10:-2.9332404 11:2.4507222 12:-2.7337673 13:4.6471143 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:232.3362 2:5.02473 3:7.503399 4:0.553366 5:4.6159277 6:-1.7318732 7:2.1678276 8:-2.1840553 9:3.2812588 10:-3.9399302 11:2.5373309 12:-0.9859629 13:5.977896 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:229.19934 2:0.6031727 3:7.48635 4:0.3819521 5:4.112581 6:-0.068825096 7:5.029222 8:-1.1504661 9:1.8343105 10:-1.1199235 11:5.8272815 12:-0.29712197 13:5.420174 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:233.9262 2:3.3411393 3:6.793246 4:-0.8363928 5:4.5529943 6:0.24497157 7:4.016793 8:-0.5237347 9:4.6824875 10:-0.4154314 11:5.5067344 12:-2.4976833 13:3.2237332 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:232.52512 2:2.397988 3:7.243044 4:-0.18802455 5:3.90847 6:1.0777379 7:4.327278 8:-1.2575132 9:2.4079647 10:-0.5162175 11:6.929271 12:-2.1637604 13:3.2814767 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:232.02914 2:3.0616813 3:9.215577 4:1.5825748 5:5.8362 6:-0.046645984 7:2.568334 8:-4.16025 9:2.67088 10:0.5324499 11:6.8889837 12:-0.86919284 13:3.9170628 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:231.16937 2:3.1713862 3:8.670202 4:0.7721216 5:4.78024 6:-1.8070171 7:0.87476397 8:-4.308551 9:2.1088436 10:-1.7638857 11:5.2808847 12:-0.8052592 13:3.764291 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:230.3798 2:3.83214 3:9.0887375 4:2.930092 5:5.0411444 6:-0.75961894 7:4.569938 8:-3.4563704 9:0.8991499 10:-2.3239543 11:6.022262 12:-1.1590085 13:2.947469 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
