2 1:228.52742 2:2.1142426 3:1.6326554 4:-4.246591 5:1.0119343 6:-2.9027514 7:3.6981704 8:-2.7468946 9:3.5502505 10:-1.7205608 11:5.2627287 12:0.035858557 13:4.3268323 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.42351 2:2.578511 3:2.4452198 4:-5.278808 5:0.9787073 6:-2.2766218 7:4.326375 8:-2.8512723 9:2.8760345 10:-2.6393507 11:2.7822223 12:-0.6297502 13:4.05656 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:223.49039 2:1.1375906 3:0.87286234 4:-4.4827666 5:2.249913 6:-0.963798 7:3.1333256 8:-3.667398 9:0.3411736 10:-4.561441 11:3.748964 12:-0.8460652 13:3.1680257 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:225.34808 2:3.032364 3:1.5381209 4:-3.582353 5:4.1650643 6:-1.4265144 7:2.767268 8:-4.0869384 9:2.8201616 10:-1.4170244 11:3.9688811 12:-1.5222967 13:2.380112 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.04877 2:5.94078 3:5.1796584 4:-2.36339 5:3.3449025 6:-1.5826819 7:3.2856147 8:-1.4762913 9:4.5258026 10:-2.6726515 11:5.2202992 12:-0.5239298 13:3.0122945 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:229.70667 2:5.331639 3:6.671217 4:-1.4092791 5:2.3984087 6:-1.3522912 7:4.027858 8:-2.7457576 9:3.3644829 10:-1.9683012 11:4.7840695 12:-1.2603449 13:2.9308417 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:229.58873 2:5.398649 3:4.331526 4:-3.9523892 5:-0.3078543 6:-3.3909166 7:5.765561 8:-1.1118299 9:4.1695256 10:-1.9110392 11:4.357674 12:-0.7099818 13:4.384971 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.08426 2:4.430363 3:5.2873864 4:-3.5705004 5:-1.046821 6:-3.5632257 7:5.1948996 8:-1.3392072 9:4.2002816 10:-0.9228154 11:3.1883779 12:-2.5706518 13:1.3152616 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:227.24731 2:2.3248093 3:2.1381512 4:-5.454957 5:0.71979934 6:-0.59974575 7:5.848688 8:-1.1168364 9:2.5169482 10:-4.989408 11:1.7640778 12:-3.2815018 13:2.671359 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:226.79523 2:2.7787428 3:4.842738 4:-2.5104423 5:0.80579203 6:-1.3661444 7:5.0762563 8:-3.0488358 9:1.5943155 10:-3.728032 11:1.5823987 12:-1.7885208 13:2.7421348 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
