2 1:209.27252 2:7.2601705 3:5.6184735 4:-2.0277267 5:0.8268233 6:-5.9196486 7:-0.6230424 8:-0.6914049 9:4.9789944 10:-2.8207314 11:2.6847122 12:-2.4765098 13:3.2484283 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:194.87889 2:10.313467 3:9.707603 4:-1.0790036 5:4.631843 6:0.23228762 7:5.2651753 8:-3.1547618 9:2.928524 10:-4.3719215 11:1.0920389 12:-2.993952 13:4.441085 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:194.87889 2:10.313467 3:9.707603 4:-1.0790036 5:4.631843 6:0.23228762 7:5.2651753 8:-3.1547618 9:2.928524 10:-4.3719215 11:1.0920389 12:-2.993952 13:4.441085 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:189.58548 2:9.33485 3:0.19762057 4:-5.689793 5:7.9857635 6:-3.9182587 7:3.0512657 8:-3.9359884 9:4.2155395 10:0.41272932 11:3.8289511 12:-3.385555 13:4.3937144 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:189.58548 2:9.33485 3:0.19762057 4:-5.689793 5:7.9857635 6:-3.9182587 7:3.0512657 8:-3.9359884 9:4.2155395 10:0.41272932 11:3.8289511 12:-3.385555 13:4.3937144 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:189.67714 2:9.058185 3:9.056042 4:0.21794222 5:3.4385395 6:-3.2142997 7:2.1861625 8:-4.8272305 9:1.032434 10:-2.2067018 11:2.555869 12:-3.2765543 13:3.4933565 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:189.67714 2:9.058185 3:9.056042 4:0.21794222 5:3.4385395 6:-3.2142997 7:2.1861625 8:-4.8272305 9:1.032434 10:-2.2067018 11:2.555869 12:-3.2765543 13:3.4933565 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:193.86552 2:10.606127 3:7.120181 4:-0.9293411 5:6.651153 6:-1.2273839 7:1.640652 8:-2.9852893 9:2.3512158 10:-0.7514453 11:1.8914355 12:-4.5069795 13:4.328172 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:193.86552 2:10.606127 3:7.120181 4:-0.9293411 5:6.651153 6:-1.2273839 7:1.640652 8:-2.9852893 9:2.3512158 10:-0.7514453 11:1.8914355 12:-4.5069795 13:4.328172 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:194.12463 2:8.728957 3:9.285634 4:4.146887 5:10.325713 6:1.1787692 7:1.7356439 8:-6.480111 9:0.40546557 10:-4.1060963 11:-0.20294756 12:-5.3860326 13:3.9304461 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:194.12463 2:8.728957 3:9.285634 4:4.146887 5:10.325713 6:1.1787692 7:1.7356439 8:-6.480111 9:0.40546557 10:-4.1060963 11:-0.20294756 12:-5.3860326 13:3.9304461 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
