1 1:156.80807 2:5.4925356 3:4.904417 4:-2.8481832 5:2.8482475 6:-4.4853773 7:-0.9042134 8:-4.406582 9:5.439922 10:-0.81982267 11:6.807796 12:-0.681746 13:4.0580544 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:156.80807 2:5.4925356 3:4.904417 4:-2.8481832 5:2.8482475 6:-4.4853773 7:-0.9042134 8:-4.406582 9:5.439922 10:-0.81982267 11:6.807796 12:-0.681746 13:4.0580544 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:165.6275 2:-4.687884 3:12.103224 4:-1.0862879 5:4.4412026 6:-1.3682479 7:3.7285645 8:-3.2478867 9:0.26417193 10:-3.877242 11:1.3297457 12:-1.2580627 13:-0.59074223 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:165.6275 2:-4.687884 3:12.103224 4:-1.0862879 5:4.4412026 6:-1.3682479 7:3.7285645 8:-3.2478867 9:0.26417193 10:-3.877242 11:1.3297457 12:-1.2580627 13:-0.59074223 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:196.07173 2:-20.165236 3:15.479862 4:-0.2699685 5:1.3978068 6:-0.20084752 7:-1.1736754 8:-2.7080965 9:3.1213415 10:2.3477037 11:-1.3244371 12:-0.64587665 13:0.94438744 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:196.07173 2:-20.165236 3:15.479862 4:-0.2699685 5:1.3978068 6:-0.20084752 7:-1.1736754 8:-2.7080965 9:3.1213415 10:2.3477037 11:-1.3244371 12:-0.64587665 13:0.94438744 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:212.19836 2:-25.27232 3:11.378171 4:-1.430487 5:-0.3592087 6:3.9193358 7:1.5575042 8:-0.5579166 9:-0.8541333 10:1.0848386 11:2.018499 12:-1.258694 13:-0.5251016 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:212.19836 2:-25.27232 3:11.378171 4:-1.430487 5:-0.3592087 6:3.9193358 7:1.5575042 8:-0.5579166 9:-0.8541333 10:1.0848386 11:2.018499 12:-1.258694 13:-0.5251016 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:217.90398 2:-22.547638 3:6.481202 4:-6.5505548 5:0.96959853 6:1.6886536 7:-0.08398994 8:-0.46497247 9:-0.99787235 10:-1.3780111 11:3.483599 12:1.2318994 13:-0.9350672 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:217.90398 2:-22.547638 3:6.481202 4:-6.5505548 5:0.96959853 6:1.6886536 7:-0.08398994 8:-0.46497247 9:-0.99787235 10:-1.3780111 11:3.483599 12:1.2318994 13:-0.9350672 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
