2 1:257.98914 2:-4.671103 3:9.752358 4:-1.9649178 5:1.6775277 6:-1.1017755 7:2.3557596 8:-1.697409 9:1.8767538 10:-1.9677701 11:2.9587464 12:-0.66759723 13:2.387141 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.04123 2:-3.9999583 3:8.16842 4:-2.2921593 5:1.2830324 6:-3.5331933 7:0.8697793 8:-2.49459 9:0.6954778 10:-3.0312889 11:1.1268352 12:-2.0181751 13:2.7517545 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.45187 2:-1.9221259 3:9.875758 4:-1.6163671 5:0.62282294 6:-3.097228 7:0.86903185 8:-3.2982597 9:1.8783859 10:-2.3786075 11:1.4633893 12:-1.0277627 13:2.6903079 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:257.5964 2:-4.2834754 3:7.600718 4:-3.0568254 5:0.75697803 6:-2.6162252 7:1.6605517 8:-2.1651118 9:1.7513201 10:-0.46600303 11:2.348568 12:-1.3857032 13:2.4188604 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:256.49387 2:-4.7512875 3:7.5261006 4:-3.3315916 5:0.8240583 6:-3.7184987 7:-1.2799125 8:-4.6731935 9:1.4194291 10:-2.154188 11:1.3518219 12:-1.6982265 13:1.6666186 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.0998 2:-3.5545273 3:9.306134 4:-1.8859388 5:1.4842136 6:-3.4479263 7:0.12987657 8:-2.9871788 9:1.0944352 10:-3.2142742 11:0.68308884 12:-0.7061664 13:2.3627641 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:259.9626 2:-4.410386 3:8.857898 4:-0.42817444 5:1.2570505 6:-3.0976543 7:1.6631566 8:-3.095935 9:2.6598616 10:-1.9992818 11:0.8552637 12:-1.1485512 13:3.0415893 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.62366 2:-2.9266183 3:9.65585 4:-2.2343798 5:2.0166862 6:-1.8959574 7:1.6688946 8:-0.81472456 9:3.9820566 10:-2.0887249 11:-0.09471661 12:-2.2789614 13:1.657106 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:262.85672 2:-0.8608505 3:9.929332 4:-3.0120964 5:0.9963833 6:-3.118083 7:1.662411 8:-3.0476024 9:1.3224794 10:-0.8960451 11:1.5039903 12:-3.356681 13:1.299165 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.84088 2:-3.4513378 3:9.203606 4:-1.449466 5:2.540453 6:-2.673621 7:0.46805796 8:-1.3845382 9:2.2286463 10:-1.9494809 11:0.94854504 12:-2.8077383 13:1.5052414 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.93002 2:-3.3616006 3:10.551834 4:-0.7591878 5:3.8712442 6:1.0040816 7:2.1763544 8:-3.7262535 9:1.7404078 10:-2.270909 11:1.9195964 12:-0.7203669 13:3.1817608 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.1405 2:-2.539895 3:9.844678 4:-1.0219649 5:2.5951612 6:-0.39294457 7:1.0289325 8:-3.040718 9:3.0392478 10:-1.5127275 11:1.6311233 12:-1.9737141 13:2.2305052 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:256.14322 2:-5.3224382 3:8.261063 4:-1.0463831 5:2.79849 6:-1.7778308 7:1.6493567 8:-2.0835054 9:2.7549136 10:-0.9021711 11:2.4435182 12:-0.5871731 13:0.92489636 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:257.9408 2:-1.887042 3:10.368242 4:-1.2892687 5:1.9020387 6:-1.8709799 7:0.26727962 8:-2.6303775 9:3.327273 10:-1.3563031 11:3.227256 12:-1.3561867 13:0.9664884 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:260.09833 2:-2.2711918 3:10.841969 4:-0.03850357 5:3.7466054 6:-1.3546718 7:2.0534475 8:-1.8637424 9:2.793855 10:-1.085669 11:2.2166061 12:-0.6528152 13:2.4804366 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
