2 1:241.59944 2:-1.7613438 3:10.650479 4:-0.43531656 5:4.526467 6:-1.3519132 7:-0.5285879 8:-3.2015336 9:0.693434 10:-2.9481125 11:3.152335 12:-3.40084 13:1.7000608 14:241.59944 15:-1.7613438 16:10.650479 17:-0.43531656 18:4.526467 19:-1.3519132 20:-0.5285879 21:-3.2015336 22:0.693434 23:-2.9481125 24:3.152335 25:-3.40084 26:1.7000608 
2 1:260.49078 2:-2.7765398 3:8.933142 4:-2.5269074 5:2.4779391 6:-0.7820362 7:1.6082603 8:-2.0584028 9:0.56577384 10:-2.4754715 11:1.1402082 12:-3.7518218 13:2.1397097 14:260.49078 15:-2.7765398 16:8.933142 17:-2.5269074 18:2.4779391 19:-0.7820362 20:1.6082603 21:-2.0584028 22:0.56577384 23:-2.4754715 24:1.1402082 25:-3.7518218 26:2.1397097 
2 1:261.34003 2:-2.268769 3:8.378365 4:-2.7972505 5:2.8379364 6:-2.8004136 7:0.43460247 8:-0.79188126 9:2.4364605 10:-2.3131688 11:2.5064626 12:-1.4444201 13:1.9031854 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:258.50793 2:-3.9065526 3:8.993851 4:-1.6630664 5:1.2568501 6:-2.5636292 7:0.8865275 8:-3.169752 9:1.7710575 10:-2.1912005 11:1.8253565 12:-1.9702235 13:0.3760065 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:260.4212 2:-2.7968142 3:9.537188 4:-2.7791443 5:1.5506219 6:-2.3190477 7:1.6769714 8:-3.2846193 9:0.1609541 10:-3.5502646 11:1.1319306 12:-1.9979002 13:2.784434 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:261.61133 2:-1.7897563 3:9.649586 4:-3.2930427 5:1.7962831 6:-2.3132164 7:1.3450395 8:-2.4239588 9:1.5203162 10:-2.449277 11:2.4443388 12:-2.6462831 13:1.0940745 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:259.2633 2:-3.790145 3:8.47053 4:-1.66356 5:1.8554146 6:-1.2709482 7:1.9759312 8:-3.4128847 9:1.6311724 10:-1.6640575 11:1.6335804 12:-0.47802156 13:2.3193367 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:262.50708 2:-1.8938793 3:8.269228 4:-2.3086836 5:1.4912145 6:-3.2933195 7:1.1471559 8:-2.8993118 9:2.0466027 10:-1.3580581 11:2.5008569 12:-1.9551351 13:2.4512005 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:259.16525 2:-3.0494857 3:10.1101885 4:-1.8538702 5:1.1812671 6:-2.03645 7:1.1268935 8:-2.2765784 9:2.079916 10:-1.6368439 11:2.1616557 12:-1.5397825 13:1.8113438 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:259.72333 2:-1.2366877 3:9.101118 4:-3.583882 5:0.66691333 6:-4.2498956 7:0.71386015 8:-3.0280466 9:1.6978102 10:-2.712844 11:1.7957441 12:-1.2790383 13:1.5745949 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:260.1051 2:-2.754311 3:9.122498 4:-4.208177 5:0.4281896 6:-3.49326 7:-0.60000736 8:-4.0545096 9:0.7472566 10:-3.3917599 11:1.8157558 12:-0.7874199 13:2.0092468 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:260.85822 2:-2.216599 3:8.530379 4:-2.960225 5:2.760381 6:-1.0963256 7:-1.3290402E-4 8:-3.9189193 9:1.3206375 10:-2.7119675 11:2.3099294 12:-0.5901496 13:3.2177665 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:259.2309 2:-3.163903 3:8.517689 4:-2.2444189 5:1.467287 6:-2.5468025 7:1.2844694 8:-3.0463946 9:2.1034994 10:0.798234 11:1.7920318 12:-2.4306643 13:3.1005151 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:259.86737 2:-2.5297666 3:9.17162 4:-1.3669177 5:3.6862063 6:-0.54570156 7:2.951726 8:-2.826573 9:1.766932 10:-1.7202381 11:2.3886843 12:-0.82489616 13:3.7692614 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:259.67517 2:-1.6195345 3:8.469429 4:-3.568221 5:1.515444 6:-3.0890572 7:0.9840111 8:-4.194907 9:0.6691415 10:-2.4057806 11:1.9845674 12:-0.112398885 13:3.4473128 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:262.89957 2:-1.1180254 3:10.594365 4:-1.635484 5:1.8257053 6:-1.6976024 7:-0.17118755 8:-4.166178 9:1.3413798 10:-3.4528806 11:0.2461917 12:-2.2468054 13:1.4343462 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
2 1:259.85278 2:-2.1371832 3:8.004645 4:-3.1732516 5:1.3513571 6:-2.6180696 7:0.6949757 8:-3.748082 9:1.4525012 10:-3.0219028 11:0.5898403 12:-2.7642138 13:0.5917927 14:86.468666 15:1.7835224 16:3.2067633 17:-1.324589 18:0.5996713 19:0.4533128 20:2.615378 21:0.12904729 22:1.0661219 23:-0.9866343 24:0.7307217 25:-1.0016148 26:0.7035488 
