2 1:262.12833 2:-2.4216647 3:7.7447248 4:-1.8920503 5:3.163479 6:-1.3810343 7:1.4586805 8:-2.942908 9:1.5619036 10:-2.2013543 11:0.3591942 12:-2.1284335 13:2.8400486 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:259.90637 2:-3.0247345 3:8.446266 4:-2.6197484 5:1.651989 6:-1.5268544 7:2.5649657 8:-2.7729404 9:1.2186625 10:-1.7147514 11:2.163261 12:-1.0428656 13:2.1499603 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:261.1641 2:-1.2945381 3:8.917328 4:-1.8900211 5:2.9024174 6:-1.9965128 7:2.595983 8:-1.4187506 9:2.151097 10:-1.7816492 11:0.9447054 12:-2.8571823 13:1.4158715 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:261.15067 2:-1.6927598 3:8.865773 4:-3.0868115 5:2.467781 6:-1.1159436 7:1.6747899 8:-2.2697327 9:2.6467376 10:-0.9934195 11:0.6438062 12:-3.525513 13:1.8686421 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:258.09567 2:-4.767979 3:9.941531 4:-1.1176732 5:1.7285012 6:-3.0737083 7:0.8898628 8:-1.240862 9:2.4456124 10:-0.9447818 11:1.3291901 12:-2.8150327 13:2.6927612 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:260.82114 2:-3.2662196 3:9.678821 4:-1.7883112 5:1.9085469 6:-3.5258381 7:1.078495 8:-1.7904363 9:1.4547405 10:-1.3039513 11:2.30758 12:-1.6409876 13:2.1197593 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:258.57632 2:-3.654469 3:7.6674204 4:-2.529768 5:1.9782064 6:-1.6708201 7:2.4721055 8:-1.8870358 9:2.0733979 10:-0.6733781 11:3.234724 12:-1.6226627 13:0.9378353 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:260.769 2:-0.7878024 3:10.431872 4:-1.9214987 5:2.470008 6:-0.658057 7:2.5087385 8:-2.7437556 9:1.9426017 10:-2.0839133 11:2.5740528 12:-1.3582139 13:2.540263 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:260.55295 2:-1.9132054 3:10.482366 4:-1.2927737 5:1.9815766 6:-1.9151509 7:1.3441478 8:-2.9697268 9:2.4152582 10:-0.8383186 11:2.7475872 12:-1.3967594 13:2.4989755 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:258.2826 2:-4.3706627 3:6.3489833 4:-4.799605 5:0.63567895 6:-2.4853258 7:1.0397136 8:-2.6444376 9:1.6642572 10:-1.4624487 11:1.5496913 12:-1.8275249 13:1.4331546 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:258.30734 2:-4.4881988 3:9.0366 4:-3.3036506 5:2.9438884 6:0.14281012 7:1.7227912 8:-1.4289728 9:3.216668 10:0.07318853 11:3.0807 12:-1.9543633 13:1.4494133 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:258.43307 2:-5.045613 3:7.958061 4:-2.2875924 5:2.6395812 6:-1.9966738 7:1.6946096 8:-1.677788 9:1.1643306 10:-3.0633497 11:1.4104719 12:-0.109918796 13:2.7438245 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:262.35065 2:-1.7876401 3:9.513029 4:-2.5346577 5:0.7802742 6:-2.0434444 7:3.0618193 8:-1.1909286 9:3.2577627 10:-0.8019261 11:2.4963293 12:-1.2362102 13:1.9514843 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:263.13074 2:-1.2113882 3:9.152159 4:-2.2639554 5:0.8072938 6:-3.6622589 7:2.1291032 8:-2.1090984 9:2.3046346 10:-0.94188243 11:3.1438832 12:-0.9163753 13:2.1482465 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:259.21594 2:-4.166513 3:9.486504 4:-0.68225265 5:2.3247743 6:-3.0805075 7:-0.22646332 8:-3.0260034 9:-0.5085055 10:-2.4701235 11:1.8125076 12:-1.8883866 13:2.7515755 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:260.13116 2:-2.6013587 3:8.686557 4:-2.274964 5:2.2693865 6:-2.8817105 7:1.3776443 8:-1.3107678 9:2.9103146 10:-0.7095137 11:2.5096185 12:-2.778319 13:1.455437 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:272.1156 2:0.3650289 3:7.725544 4:-2.869717 5:2.3638206 6:-3.0811496 7:1.8288424 8:-3.460454 9:2.514177 10:-2.9618845 11:1.8154032 12:-1.960258 13:1.9571234 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:262.66037 2:-3.6320875 3:8.764739 4:-2.084793 5:3.287532 6:-1.8932432 7:2.1222696 8:-2.2714128 9:0.79476506 10:-3.0042055 11:2.0982323 12:-1.3683519 13:2.221199 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:263.45 2:-2.273974 3:7.520127 4:-3.2259905 5:1.7273549 6:-1.0813885 7:2.3263347 8:-3.095549 9:1.3270655 10:-3.283232 11:1.0870434 12:-2.8346918 13:0.7550425 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:259.03976 2:-4.8259435 3:8.5833 4:-1.7263442 5:2.2226567 6:-3.6967099 7:-0.14547595 8:-2.247505 9:1.0382586 10:-2.6658597 11:2.1847131 12:-1.1412721 13:2.4726024 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:260.34937 2:-3.469477 3:7.4403625 4:-2.21632 5:0.84352624 6:-2.8703964 7:2.4283552 8:-1.0070964 9:3.9922836 10:-1.6056247 11:1.7470404 12:-0.8695166 13:1.6830804 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:264.02383 2:-3.0445762 3:6.9372225 4:-2.4932146 5:3.025031 6:-2.5553517 7:2.224358 8:-1.5696954 9:3.4589882 10:-0.91757476 11:0.99652857 12:-2.1227863 13:1.541272 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:279.55225 2:5.9703536 3:14.446295 4:-2.6961365 5:5.0635223 6:-1.2645167 7:1.2845132 8:-1.9154863 9:5.248659 10:1.9582901 11:3.9172368 12:-1.6870329 13:4.329178 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:290.86893 2:10.95442 3:12.376112 4:-7.195827 5:6.722548 6:-0.14352904 7:1.674041 8:-2.6294904 9:6.6118493 10:1.808564 11:4.434456 12:-2.8889244 13:4.935143 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:291.49777 2:11.944225 3:11.38485 4:-7.365586 5:6.2072062 6:0.22501819 7:2.4970007 8:-3.8973863 9:7.4077797 10:0.71745414 11:5.5861115 12:-2.069388 13:5.2464795 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:291.7989 2:12.350849 3:11.170083 4:-7.5688334 5:6.2574263 6:-0.2922582 7:1.5772879 8:-4.289431 9:7.2116947 10:0.024051405 11:5.040005 12:-1.3069136 13:6.033166 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:295.38132 2:13.927674 3:11.852415 4:-7.325098 5:6.6156316 6:-1.3283509 7:2.9710236 8:-4.496642 9:6.6426287 10:0.7078778 11:5.4769506 12:-2.0348446 13:5.550775 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:302.11243 2:17.68615 3:15.913873 4:-7.2432775 5:5.6615777 6:-1.7370106 7:2.7986968 8:-6.1764765 9:3.570752 10:-2.6960711 11:3.130803 12:-4.00732 13:4.7657876 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:310.32806 2:23.510979 3:17.609419 4:-8.222924 5:4.437018 6:-3.1243231 7:0.10116833 8:-9.148433 9:2.8126414 10:-4.074026 11:5.1770263 12:-2.9613032 13:4.1126857 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:313.62097 2:24.06041 3:15.5020895 4:-11.306411 5:2.317413 6:-2.4802248 7:-0.20274843 8:-11.336133 9:3.6034842 10:-2.8000026 11:6.2787905 12:-2.6024609 13:4.421723 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:316.51154 2:24.280767 3:16.132618 4:-11.864232 5:1.6906271 6:-4.802261 7:1.4940263 8:-9.161059 9:3.7530847 10:-1.9042387 11:6.8643465 12:-2.9749525 13:4.323516 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:317.77362 2:25.689922 3:15.448185 4:-14.233124 5:0.21824554 6:-3.94354 7:2.2311862 8:-7.9927926 9:3.640535 10:-2.9548218 11:5.4197187 12:-3.5290203 13:3.1080136 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:319.86133 2:26.91636 3:15.125733 4:-15.386793 5:-1.4338952 6:-2.4530103 7:3.687148 8:-7.9911056 9:4.439664 10:-4.9832377 11:5.402107 12:-3.1533804 13:3.151435 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:322.13208 2:25.6098 3:13.942533 4:-16.10887 5:-2.4068878 6:-2.5423648 7:4.847263 8:-7.026989 9:3.9492426 10:-4.731821 11:4.5820417 12:-5.2693815 13:4.549695 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:320.55826 2:25.457226 3:15.425675 4:-16.526161 5:-1.69097 6:-0.40309143 7:4.685042 8:-6.0171776 9:4.492626 10:-6.4608808 11:4.556962 12:-5.8650393 13:2.850638 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:320.67767 2:25.017683 3:13.573535 4:-15.68514 5:-1.2528156 6:0.3131696 7:5.717777 8:-5.314845 9:4.952505 10:-8.351182 11:4.8556585 12:-6.125256 13:2.901581 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:320.8509 2:22.957733 3:12.834305 4:-13.403818 5:-0.8003051 6:2.710123 7:6.838024 8:-6.712256 9:5.004141 10:-6.4244943 11:3.1366842 12:-7.4946475 13:1.9983808 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:318.42053 2:23.035852 3:13.663375 4:-13.904748 5:0.8029913 6:3.812061 7:7.087012 8:-6.8196054 9:4.1544766 10:-6.344056 11:2.852732 12:-6.9801455 13:2.995804 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:319.96857 2:24.283993 3:12.412145 4:-14.622999 5:2.5114074 6:4.6617174 7:8.744298 8:-6.8418207 9:3.8983417 10:-8.154692 11:3.2596006 12:-3.127253 13:4.2193127 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:320.48242 2:21.434803 3:11.565809 4:-12.385753 5:3.293618 6:5.100347 7:8.618687 8:-6.769496 9:5.783704 10:-6.4598956 11:2.3795226 12:-3.3792105 13:3.2232242 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:316.11887 2:22.378208 3:11.048646 4:-13.520342 5:4.165358 6:6.809882 7:10.550632 8:-5.6654534 9:5.873946 10:-6.2240925 11:4.1233034 12:-4.074159 13:3.7883172 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:317.13327 2:19.396582 3:8.291426 4:-13.231746 5:5.158902 6:7.7645826 7:11.820742 8:-4.3208365 9:6.098788 10:-5.132638 11:5.5650125 12:-2.9604447 13:4.8660245 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:309.77585 2:19.10319 3:9.973432 4:-14.95336 5:4.05602 6:7.258906 7:12.928848 8:-2.8762825 9:7.2528276 10:-3.289585 11:3.9834347 12:-3.8734896 13:5.9965453 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:308.86215 2:17.372696 3:9.92051 4:-14.514343 5:4.4581966 6:5.8642716 7:12.651821 8:-0.9804304 9:5.9886794 10:-4.3139744 11:5.118493 12:-2.0660186 13:5.7922697 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:304.6225 2:13.828676 3:8.894921 4:-11.768994 5:3.4470532 6:6.427232 7:11.5760355 8:-1.2680898 9:7.550997 10:-2.556376 11:4.9003444 12:-3.3068683 13:3.671983 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
