2 1:271.27878 2:-1.3866493 3:6.419681 4:-1.6756107 5:2.517344 6:-3.0390923 7:2.256746 8:-1.6112053 9:3.4774988 10:-1.2828561 11:2.7801807 12:-2.2746654 13:1.7527846 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:270.66214 2:-1.1685839 3:7.157372 4:-0.5989294 5:2.250532 6:-2.186303 7:1.3968277 8:-2.0476737 9:3.4732018 10:-0.7820062 11:2.2077613 12:-1.7708219 13:3.0645976 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.07852 2:-1.4493136 3:6.9683566 4:-0.95517933 5:4.152996 6:-0.7882879 7:1.7122118 8:-3.8398504 9:1.1141356 10:-4.0267587 11:1.8674128 12:-1.3307031 13:1.5894697 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:266.89233 2:-2.8209171 3:7.8439674 4:-0.92121756 5:1.3815117 6:-3.4281113 7:1.3741151 8:-3.7163591 9:1.3050857 10:-2.4702246 11:1.2288765 12:-0.49256518 13:1.5912287 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.9421 2:-1.6035568 3:6.9985023 4:-2.4390256 5:1.4489552 6:-2.5441751 7:1.3882132 8:-4.849575 9:1.818422 10:-2.4634163 11:0.35268813 12:-2.1926818 13:2.1745405 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.07544 2:-2.2171702 3:5.9868035 4:-3.3939347 5:1.9128261 6:-1.9343792 7:0.9048631 8:-4.513241 9:3.1998434 10:-0.9925947 11:2.1676917 12:-1.848722 13:2.6214974 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:267.73688 2:-2.4185264 3:3.9246888 4:-2.9353428 5:1.8257037 6:-2.4150693 7:3.061794 8:-1.725159 9:3.7426012 10:-0.7251774 11:2.3544571 12:-2.1422925 13:0.8794249 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.9303 2:-3.3456821 3:4.3570104 4:-4.064079 5:-0.020401644 6:-3.7192955 7:1.4996988 8:-1.6797241 9:2.5996468 10:-2.2672982 11:0.40683052 12:-2.576524 13:1.9596725 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:266.99167 2:-1.7491741 3:7.4061713 4:-1.5504421 5:1.0195116 6:-5.1103806 7:0.3548847 8:-3.6948762 9:1.9114875 10:-2.346131 11:1.3230904 12:-4.2862825 13:-0.21681869 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:266.00684 2:-2.0832899 3:6.9073277 4:-2.6264608 5:2.1285129 6:-2.8304694 7:1.1830397 8:-2.096955 9:4.519325 10:-0.7974931 11:2.9776103 12:-1.9390278 13:1.2881553 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:269.19348 2:-2.024721 3:6.4085536 4:-1.4549569 5:0.66925734 6:-3.0781014 7:1.8994467 8:-2.7974653 9:2.9620235 10:-2.452978 11:1.5839802 12:-2.422416 13:2.2975595 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:266.67206 2:-1.696016 3:7.405748 4:-2.2013695 5:0.13512236 6:-3.8327322 7:2.0394368 8:-1.4808303 9:2.8062704 10:-2.3152385 11:1.7591071 12:-2.7636232 13:0.8502805 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.63437 2:-1.1638533 3:6.994056 4:-2.9677162 5:-0.3833514 6:-3.3460464 7:0.9187821 8:-1.529217 9:4.6284776 10:-1.2888631 11:2.8071299 12:-1.8488904 13:1.4870623 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:263.24878 2:-3.4150841 3:6.249938 4:-2.5814848 5:-1.0139909 6:-4.3701897 7:1.6095426 8:-2.3883824 9:0.8876213 10:-4.198356 11:0.6732353 12:-3.5068126 13:1.3490993 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.34073 2:-1.3150146 3:7.926896 4:-0.2884362 5:2.5429175 6:-1.4871187 7:2.0886786 8:-2.817413 9:2.4746218 10:-3.3540735 11:1.273918 12:-1.7803419 13:1.3117272 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:268.6468 2:-1.0074337 3:5.9968133 4:-1.7559974 5:1.8802891 6:-2.9825497 7:0.15507431 8:-3.2694585 9:4.133677 10:-0.7999714 11:2.2583237 12:-1.5933913 13:3.6868005 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:276.71234 2:0.62841624 3:6.3706274 4:-4.398638 5:1.4423963 6:-4.833313 7:0.70081526 8:-2.5124516 9:3.3759356 10:-2.1383834 11:0.2855905 12:-2.2358067 13:2.610501 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:269.137 2:-2.5040662 3:6.347578 4:-2.6719143 5:1.8652785 6:-4.170759 7:1.1816351 8:-1.4755467 9:3.6201847 10:-1.5185034 11:2.1578085 12:-2.0463471 13:1.8726889 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:267.86374 2:-1.8725563 3:7.1239004 4:-1.536779 5:2.3939114 6:-2.5643268 7:2.3504682 8:-1.6416315 9:3.679307 10:-0.37392774 11:2.4484756 12:-1.7533687 13:1.8163673 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:265.50986 2:-1.9445505 3:7.4997654 4:-1.7088393 5:1.8467245 6:-3.8763075 7:1.4093469 8:-1.5766196 9:3.0703921 10:-2.5056024 11:2.512538 12:-0.72255856 13:1.6033142 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:266.76944 2:-2.0688071 3:8.670554 4:-1.2769436 5:2.7900372 6:-2.9708774 7:0.67508334 8:-3.6116009 9:1.1576326 10:-1.5244316 11:3.3972554 12:-1.4877625 13:1.3519195 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:265.2385 2:-2.778121 3:9.485182 4:-0.19729109 5:3.0734699 6:-2.8748932 7:0.53340834 8:-2.1216505 9:1.8259684 10:-2.1561067 11:2.4334393 12:-2.2204173 13:0.8309626 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:265.51202 2:-2.4167542 3:8.54054 4:0.63514346 5:4.054569 6:-1.8662548 7:2.2783995 8:-1.9146385 9:1.4765174 10:-3.0663579 11:1.7277869 12:-0.74267286 13:2.71034 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:266.2403 2:-3.542857 3:6.563761 4:-1.1647044 5:2.3448343 6:-2.465222 7:0.99600136 8:-3.0674684 9:-0.16433941 10:-3.2098553 11:1.2047529 12:-2.890442 13:1.6004246 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:265.0592 2:-3.2097614 3:7.586365 4:-2.5695817 5:1.6901774 6:-3.015837 7:2.2383373 8:-1.8098845 9:1.8359767 10:-2.664668 11:1.7577362 12:-2.0172086 13:1.5198458 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:265.494 2:-4.1690407 3:7.415404 4:-2.3635278 5:1.3594712 6:-3.1296196 7:1.469224 8:-2.1724725 9:1.6667598 10:-1.3862518 11:1.5609703 12:-2.045804 13:0.34581247 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:264.0477 2:-3.9844573 3:9.39442 4:-0.77099663 5:3.6428893 6:-2.2555177 7:0.12218392 8:-2.7449315 9:2.3239543 10:-1.3575139 11:2.7625222 12:0.8371016 13:2.7991054 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:264.5551 2:-4.7352376 3:6.6696973 4:-2.8512688 5:2.4215083 6:-2.8044462 7:0.46942663 8:-1.4382234 9:2.1581364 10:-0.9877271 11:1.3157595 12:-2.2589755 13:1.8242067 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
2 1:264.04712 2:-4.928433 3:7.684795 4:-1.7993237 5:2.617 6:-1.126542 7:2.3629808 8:-1.044244 9:1.6633738 10:-1.6164845 11:1.8524055 12:0.20386286 13:1.852346 14:98.6412 15:5.5904527 16:3.1007195 17:-2.8748689 18:-0.123967804 19:1.7932127 20:2.2353072 21:-1.9693764 22:2.6817694 23:-2.1002789 24:-0.01153889 25:-1.1255722 26:1.0741408 
