2 1:261.29126 2:-1.5931655 3:10.623761 4:-0.8052809 5:2.287307 6:-3.81439 7:-0.6098891 8:-2.6855552 9:2.1822145 10:-1.5634309 11:0.9407762 12:-3.4345021 13:2.9925961 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:262.614 2:0.01206373 3:11.25214 4:-2.2334118 5:2.1855547 6:-3.17993 7:0.38823724 8:-3.345022 9:3.8261704 10:1.1152368 11:2.6056309 12:-1.9259802 13:1.5429366 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.62198 2:-3.4529104 3:9.484811 4:-1.9396073 5:1.8687198 6:-3.5781035 7:0.6819255 8:-0.890996 9:2.2811441 10:-1.1548426 11:2.379228 12:-1.6718817 13:1.3821269 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:260.4799 2:-1.6155224 3:8.968433 4:-3.6977985 5:1.9981799 6:-2.4804401 7:1.2707574 8:-1.0368953 9:1.9687617 10:-2.1479278 11:1.8459393 12:-3.4615993 13:1.7440635 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.93677 2:-2.974899 3:9.147556 4:-2.0843382 5:2.8923357 6:-1.7675849 7:1.5544425 8:-2.3065794 9:3.068524 10:-0.98613876 11:2.4603384 12:-4.2180567 13:-0.23447257 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.13953 2:-1.9263009 3:10.153775 4:-1.1023775 5:2.8598692 6:-3.0618503 7:1.0785555 8:-1.7462356 9:4.0005813 10:-0.4720226 11:1.7067859 12:-3.6394494 13:-0.485784 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:257.5166 2:-4.5330415 3:7.6143436 4:-3.4850574 5:0.5275152 6:-2.4603074 7:1.7739898 8:-1.6005532 9:1.7464546 10:-2.3335626 11:2.3422627 12:-1.0937847 13:1.9591963 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.00403 2:-4.007537 3:8.473603 4:-3.2806695 5:0.36234915 6:-3.9370222 7:0.7735802 8:-1.0329273 9:2.383118 10:-1.2087712 11:2.6804738 12:-0.8448115 13:2.1663008 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:257.64236 2:-4.4760833 3:8.166128 4:-2.2880008 5:1.9701198 6:-3.2047396 7:0.043895263 8:-2.6720753 9:2.3221505 10:-1.57583 11:1.5172466 12:-0.77615774 13:3.319071 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.6669 2:-1.6394863 3:12.124978 4:-2.5992236 5:1.9386013 6:-3.100355 7:0.577904 8:-2.1582453 9:3.154488 10:-0.41754854 11:3.10691 12:-0.056083087 13:3.079226 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.90677 2:-2.0905097 3:9.121142 4:-3.1709654 5:0.80467933 6:-2.1388526 7:2.3841357 8:-2.0601053 9:1.7768507 10:-2.1328046 11:1.6153169 12:-2.0246036 13:1.5771551 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.31024 2:-2.3599508 3:10.063379 4:-1.5424082 5:2.9794133 6:-1.5819979 7:1.0924716 8:-3.2542746 9:0.93522274 10:-0.9433116 11:3.1188707 12:-0.91744643 13:2.3925927 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.8981 2:-2.7815163 3:9.620475 4:-2.225632 5:2.8845098 6:-0.86369145 7:1.9553112 8:-2.7149804 9:2.3765745 10:-1.4475288 11:1.511032 12:-2.2563515 13:2.49311 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
