2 1:261.37643 2:-2.5960355 3:10.679348 4:-1.9863231 5:1.4499937 6:-1.2650435 7:2.9154072 8:-2.8321736 9:1.1603798 10:-2.3035955 11:1.2826486 12:-1.7580099 13:2.6789846 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:261.38702 2:-2.4816256 3:11.042031 4:-1.3011761 5:3.8401282 6:0.4485243 7:2.3173962 8:-2.8922114 9:3.4428148 10:-1.048986 11:1.366235 12:-2.9556363 13:0.2539406 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:264.13913 2:-1.060762 3:10.68874 4:-1.5445439 5:4.101354 6:0.38647902 7:2.7510364 8:-2.5699 9:2.5677335 10:-2.2701194 11:1.6303985 12:-2.808698 13:1.5228491 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.53143 2:-2.2856207 3:9.206837 4:-1.8914298 5:2.5856328 6:-1.386238 7:2.493378 8:-3.3958037 9:0.67964816 10:-3.2499743 11:0.95074797 12:-3.5864217 13:0.579673 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.97095 2:-1.6216077 3:9.026247 4:-2.0250423 5:1.812005 6:-2.4152725 7:1.0312283 8:-2.7005491 9:1.9717706 10:-1.3981576 11:1.9699688 12:-1.4504089 13:2.5708613 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:262.02762 2:-1.3223115 3:12.123518 4:-0.59971744 5:3.019342 6:-1.9463278 7:0.86626256 8:-3.9468951 9:1.5932693 10:-1.9309521 11:2.648151 12:-1.581547 13:1.6588053 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.79898 2:-1.225683 3:10.436654 4:-1.87916 5:1.4405085 6:-3.4590328 7:0.2852917 8:-3.3420725 9:1.1261647 10:-2.2643008 11:1.4296837 12:-3.1175208 13:-0.19957256 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.02518 2:-4.5472274 3:7.218768 4:-3.6563249 5:0.93343896 6:-3.0600576 7:-0.19900866 8:-4.0713253 9:0.9525738 10:-1.471541 11:0.89842975 12:-2.5388904 13:1.5075253 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.99997 2:-2.5810356 3:9.916543 4:-1.5395399 5:2.1703901 6:-2.513289 7:0.2701572 8:-4.3275766 9:-0.1499281 10:-2.6650543 11:1.1185044 12:-3.2029543 13:1.6586285 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:258.24805 2:-4.532625 3:9.370498 4:-0.7818091 5:3.1849258 6:-1.9656124 7:1.6899822 8:-2.7289827 9:0.27305543 10:-2.715846 11:1.2240627 12:-3.0254025 13:0.80845284 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.66064 2:-1.0507599 3:11.230716 4:-1.4964292 5:2.8323984 6:-1.2021511 7:1.7432487 8:-3.474606 9:2.3987696 10:-0.5945565 11:2.039016 12:-2.6204462 13:1.4313502 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:262.82446 2:-0.8600999 3:11.603176 4:-1.0956872 5:2.9060955 6:-1.0911366 7:2.107833 8:-2.760769 9:3.1791546 10:-1.1110947 11:3.0212972 12:-1.7025098 13:0.41841814 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:261.0148 2:-2.866889 3:10.146081 4:-1.2095855 5:2.434126 6:-1.5953152 7:0.24023359 8:-4.30326 9:1.0002874 10:-2.5597687 11:1.4021052 12:-3.3345315 13:0.17328472 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:261.75052 2:-3.5407174 3:9.725276 4:-1.454408 5:3.0845294 6:-1.6241045 7:1.2002915 8:-3.9587443 9:0.80384195 10:-2.0691483 11:0.2692161 12:-2.255038 13:0.24457963 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.91464 2:-2.13594 3:9.936462 4:-0.60309243 5:2.5643382 6:-2.4300191 7:1.3031608 8:-3.5733008 9:1.7706317 10:-1.7748973 11:2.6353207 12:-1.9596318 13:2.7884977 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:261.70053 2:-2.4699762 3:10.169719 4:-1.3867625 5:2.0911736 6:-1.7271563 7:1.140466 8:-2.7044587 9:1.9547431 10:-2.3931496 11:2.2482982 12:-0.7796726 13:1.4003975 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:269.1582 2:-1.328585 3:8.736722 4:-1.7492442 5:3.7269862 6:-1.4196411 7:2.3191853 8:-3.0199018 9:1.4668432 10:-2.2879655 11:2.8781657 12:-1.3432951 13:1.8927082 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:264.2869 2:-1.3492098 3:10.083584 4:-2.6304495 5:2.3060799 6:-2.4052112 7:1.7257689 8:-2.3691092 9:2.5811925 10:-2.055948 11:1.8513951 12:-1.4944292 13:2.495033 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:258.05627 2:-4.911741 3:9.39353 4:-1.9230448 5:2.3977973 6:-0.77233005 7:1.9978842 8:-2.1340716 9:1.3693441 10:-1.2008716 11:1.7861083 12:-1.8733793 13:2.2458715 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:259.4741 2:-3.1154797 3:10.444958 4:-0.9162005 5:3.0749376 6:-3.0490553 7:0.30870786 8:-2.9013233 9:2.6941912 10:-0.5825221 11:1.8413302 12:-2.2842789 13:0.8524885 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.75037 2:-3.7740648 3:10.967021 4:-0.724298 5:2.0928986 6:-2.3636165 7:0.99728745 8:-1.8880423 9:2.4919212 10:-2.4579039 11:0.5364619 12:-2.705129 13:0.48738438 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:258.20532 2:-4.1419525 3:9.644504 4:-2.0306306 5:1.0831988 6:-2.9973805 7:1.1480151 8:-2.2211287 9:3.219593 10:-0.4730445 11:2.1276317 12:-2.116122 13:0.62195975 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:260.08264 2:-3.9644969 3:9.971588 4:-0.08744641 5:2.461741 6:-2.7872465 7:3.0474308 8:-1.5170119 9:2.553379 10:-0.58736277 11:2.0275056 12:-1.4089186 13:2.5511947 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
