2 1:250.94409 2:-7.107322 3:9.196235 4:1.7928077 5:2.9647086 6:-1.7327825 7:1.1616551 8:-0.6672146 9:2.3486462 10:-2.2624114 11:1.0447402 12:-2.9167852 13:1.1155409 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:251.57158 2:-7.176143 3:9.883324 4:0.03985694 5:1.8723346 6:-3.6022692 7:1.5173317 8:-0.6074353 9:2.2344058 10:-1.3569092 11:1.8017545 12:-0.72527754 13:0.7901576 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:247.9672 2:-7.3987007 3:8.430903 4:-1.7204031 5:0.7216013 6:-2.5366993 7:0.17970254 8:-3.1456974 9:0.74659306 10:-3.4047816 11:1.9785842 12:-1.0414494 13:1.2646248 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.58968 2:-6.892364 3:10.413212 4:0.16056426 5:1.0193999 6:-0.92719316 7:2.5756955 8:-1.9638445 9:1.1443496 10:-1.4940197 11:2.6469765 12:-1.0432835 13:1.9426554 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:254.19193 2:-5.4015155 3:10.434733 4:-0.14471956 5:2.92712 6:-1.1267334 7:1.603673 8:-1.6036127 9:1.2608516 10:-1.8099579 11:0.8374252 12:-2.6165948 13:1.7288142 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:248.7623 2:-8.222018 3:10.166537 4:-0.85674226 5:1.3976978 6:-2.6564546 7:0.90140074 8:-1.5767285 9:1.0813626 10:-2.2802565 11:1.7636381 12:-0.8202206 13:1.8307995 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:250.37155 2:-7.694065 3:9.413404 4:-1.7461166 5:0.47949052 6:-1.4528221 7:1.9425232 8:-1.8203801 9:0.898177 10:-2.220892 11:1.4501916 12:-1.3881124 13:1.3736105 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:252.20131 2:-6.188617 3:10.238358 4:-1.1953443 5:1.7170333 6:-1.1753047 7:1.3551795 8:-3.838468 9:0.7490415 10:-2.8555748 11:0.89496773 12:-0.09705457 13:2.2507737 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.67163 2:-7.988701 3:10.994547 4:-0.06761013 5:1.9863262 6:-1.1879109 7:2.239569 8:-1.6210433 9:3.4675488 10:-0.54387695 11:1.0228382 12:-2.0501313 13:1.7266371 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.6283 2:-9.008706 3:8.636343 4:-1.8592185 5:0.8534515 6:-1.5092211 7:3.0940063 8:-0.7905361 9:2.0821533 10:-0.72180706 11:2.7858174 12:-0.19809197 13:1.4639286 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:250.59032 2:-8.225754 3:9.612897 4:-1.3262054 5:0.7167498 6:-2.5458632 7:2.160669 8:0.44935027 9:2.9640293 10:0.14751162 11:2.3796103 12:-1.6466024 13:0.8957477 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:251.85214 2:-6.541524 3:10.693662 4:-0.06707289 5:1.2515764 6:-0.5473519 7:3.2905836 8:-1.311068 9:1.2104048 10:-1.211949 11:2.4573975 12:-1.8978854 13:1.0351024 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.89902 2:-8.726899 3:8.565669 4:-1.1568743 5:0.87136465 6:-1.639616 7:0.71665126 8:-1.6480248 9:2.3553066 10:0.028801939 11:2.4730353 12:-2.535928 13:0.4991443 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.47571 2:-7.064366 3:9.876307 4:-0.8175617 5:1.5428154 6:-1.5285225 7:3.0827823 8:-0.7729014 9:2.6566541 10:-1.2718434 11:2.965004 12:-1.4055234 13:1.4192959 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:264.19324 2:-2.0628428 3:7.5657163 4:-1.1997985 5:3.3004463 6:-1.7033535 7:3.0718217 8:-2.0232718 9:1.9102249 10:-2.576391 11:1.585072 12:-2.0632782 13:3.0312314 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:256.28354 2:-4.816501 3:11.901758 4:-0.26916316 5:2.5754037 6:-2.1140711 7:1.7471598 8:-1.7098672 9:1.8041455 10:-1.944902 11:1.3708198 12:-1.9874762 13:1.1681881 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.43991 2:-7.9488845 3:9.281535 4:-0.69767874 5:2.7246983 6:-2.211757 7:1.5506015 8:-1.5747036 9:1.4572256 10:-3.2557478 11:0.7999854 12:-1.9651256 13:-0.0668259 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.40335 2:-7.7925806 3:8.937775 4:-1.3939905 5:3.2938862 6:-1.5451574 7:0.4158921 8:-0.96850723 9:1.03958 10:-0.24156453 11:3.7993395 12:-1.3216792 13:2.2722855 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
