2 1:259.1424 2:-3.9513328 3:8.890483 4:-1.4328964 5:3.1473804 6:-2.5558016 7:0.16962883 8:-2.8146644 9:2.0222142 10:-3.5120964 11:1.3181511 12:-1.6946956 13:0.85525525 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:259.03043 2:-3.4150593 3:9.218813 4:-1.1495981 5:2.2200568 6:-3.4334633 7:-0.54124343 8:-2.41284 9:2.5926182 10:-2.4847236 11:1.1951679 12:-2.222156 13:2.8020086 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:262.71243 2:-2.2112203 3:8.366478 4:-2.795355 5:2.325727 6:-2.436084 7:0.67922634 8:-3.0020814 9:2.433349 10:-1.4204705 11:2.333266 12:0.68373686 13:3.4029417 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:261.31033 2:-1.9802753 3:10.224603 4:-1.4744812 5:3.527872 6:-1.4271685 7:1.7891313 8:-1.1773384 9:3.4383252 10:-2.1887665 11:2.1371572 12:-0.4890365 13:1.6431326 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:258.93176 2:-2.1725404 3:10.906864 4:-0.7179949 5:2.8203683 6:-2.5159137 7:-0.62093043 8:-3.0126467 9:1.8011752 10:-1.4425741 11:1.0458728 12:-3.5888658 13:1.2331387 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.1458 2:-3.3926747 3:10.85078 4:-0.06059914 5:3.7502444 6:-1.7294902 7:0.2974723 8:-2.7172678 9:1.4874514 10:-0.9146298 11:4.1604443 12:0.2652473 13:2.5833514 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.39847 2:-3.7069337 3:8.243789 4:-3.2200627 5:1.4049393 6:-1.8227404 7:0.96963567 8:-1.6647742 9:2.553065 10:-2.2203143 11:2.1973784 12:-1.1576102 13:1.3962531 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:259.22217 2:-3.0296292 3:10.815595 4:-1.726836 5:0.342819 6:-3.42024 7:-1.0150015 8:-5.4183826 9:1.2256277 10:-2.5661879 11:0.880861 12:-2.3637612 13:0.12872916 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:259.0498 2:-3.9426281 3:8.477899 4:-1.931643 5:2.5784407 6:-2.6132903 7:-0.015997173 8:-4.607682 9:1.3431168 10:-0.64907587 11:2.7986794 12:-1.3442712 13:1.7946253 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:258.83224 2:-5.7847342 3:6.59224 4:-3.664182 5:1.3149292 6:-3.090169 7:0.9149828 8:-2.2353404 9:2.0780432 10:-1.4674679 11:1.7019304 12:-1.8644155 13:1.1568776 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.35416 2:-2.2223468 3:9.72885 4:-1.5017734 5:1.3405937 6:-1.965022 7:2.1108856 8:-2.7035685 9:3.1207597 10:-0.7994664 11:2.4885044 12:-0.80718017 13:3.3098261 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
