2 1:269.89624 2:0.5724812 3:8.348199 4:-2.1873624 5:3.411478 6:-2.1407437 7:0.7177268 8:-4.152298 9:1.4636818 10:-2.2064762 11:2.6817923 12:-1.4047291 13:2.8516839 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.1297 2:0.10571765 3:7.4730077 4:-3.0747123 5:2.5133922 6:-2.5091753 7:3.374869 8:-2.743995 9:2.6563928 10:-1.8028057 11:1.7388864 12:-2.2462888 13:2.5189354 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.43918 2:0.5342519 3:7.6648793 4:-1.7558979 5:2.3016155 6:-1.5063081 7:2.5906193 8:-3.4418592 9:2.9310727 10:-2.9766698 11:0.803454 12:-2.83904 13:3.0565488 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.21918 2:-1.0553666 3:7.9708176 4:-2.4092925 5:2.4320111 6:-3.6227708 7:-1.0677009 8:-4.6751475 9:1.976025 10:-2.5644863 11:0.90632004 12:-2.4691842 13:2.6697958 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.80878 2:-1.644391 3:4.889585 4:-3.7726781 5:1.4978851 6:-2.5290046 7:1.5969568 8:-2.1752152 9:4.3061013 10:-0.9407471 11:1.7206578 12:-1.4150355 13:4.919176 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.47638 2:-0.26418597 3:5.7172556 4:-2.9594278 5:2.7411344 6:-3.233742 7:2.0636904 8:-1.6219132 9:2.725228 10:-2.1692822 11:2.5415812 12:-1.9007787 13:1.9350548 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.86713 2:-0.24979103 3:6.2352667 4:-4.5845966 5:0.83585906 6:-4.6715927 7:-0.8553917 8:-3.9329536 9:3.044214 10:-2.1331382 11:2.3312967 12:-1.4377804 13:2.5693026 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:271.0916 2:0.8900282 3:6.9538813 4:-4.8436313 5:0.92322177 6:-4.7864356 7:-0.91766447 8:-3.5543814 9:1.8739603 10:-1.3742899 11:3.963182 12:-1.6302996 13:3.1159122 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:267.64893 2:-2.9439225 3:3.9032407 4:-5.540788 5:1.5828204 6:-4.4277916 7:0.20153402 8:-2.8225825 9:2.6105485 10:-1.6427685 11:1.7378681 12:-1.8986557 13:2.8527455 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.31604 2:-1.7411587 3:5.3051343 4:-3.5818439 5:1.373628 6:-4.0884204 7:0.07799439 8:-3.7356791 9:2.6438172 10:-1.7479925 11:1.7610061 12:-1.5791217 13:3.802903 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
