1 1:231.8188 2:4.5371895 3:6.6547227 4:-2.9014606 5:3.4303107 6:2.225664 7:1.6053281 8:-2.9998736 9:3.96764 10:-3.0906088 11:4.842992 12:-3.3462958 13:2.3316636 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.89093 2:6.437051 3:11.915217 4:-0.057624813 5:5.6999235 6:-0.36045521 7:1.0284063 8:-3.9467008 9:5.292204 10:-3.4516351 11:5.8181043 12:-2.372792 13:2.126157 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:229.65019 2:5.101792 3:11.238894 4:-1.575407 5:5.767949 6:1.4929285 7:0.3263643 8:-2.671878 9:4.369601 10:-3.6986907 11:3.7468574 12:-3.6564212 13:3.0061784 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:228.47363 2:5.9567614 3:12.059876 4:0.67268294 5:6.3542924 6:3.5325403 7:0.927395 8:-3.7915306 9:5.263121 10:-2.2761354 11:5.0661426 12:-4.4668145 13:4.153148 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:229.20607 2:5.440589 3:10.099818 4:-0.063482165 5:4.8279924 6:2.277921 7:0.08204395 8:-5.167156 9:2.827656 10:-2.6360748 11:5.050122 12:-5.3290863 13:2.1653612 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.97134 2:7.798701 3:12.353089 4:0.16680008 5:5.008512 6:1.9499506 7:0.770035 8:-1.0238831 9:6.7140875 10:-1.8339773 11:5.0441084 12:-5.178628 13:3.1016617 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.98514 2:7.2618766 3:11.185391 4:-1.5125297 5:3.764639 6:-0.39180207 7:2.1320062 8:-0.07870063 9:4.708832 10:-2.437159 11:5.5022454 12:-4.240497 13:5.2015033 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:225.55641 2:2.8993194 3:9.635599 4:-2.715807 5:2.700496 6:0.6338042 7:-0.52544147 8:-0.86384434 9:5.585465 10:-0.09175094 11:6.2178454 12:-2.822418 13:4.907701 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:225.00308 2:2.9576986 3:8.2879095 4:-3.6271234 5:0.32499632 6:-1.5699689 7:-0.026478577 8:-0.35668203 9:5.315369 10:-0.5317163 11:5.3420677 12:-2.218626 13:5.261094 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:227.05734 2:5.075828 3:11.265558 4:-2.0360284 5:4.432839 6:2.469153 7:3.7838607 8:-0.8928814 9:6.4382124 10:-1.1924793 11:7.2797856 12:-2.369728 13:3.465087 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:224.43747 2:4.296795 3:11.255946 4:-1.11967 5:5.3458505 6:3.4103723 7:4.544122 8:-1.4750854 9:4.9624214 10:-1.8367559 11:6.021458 12:-2.5621274 13:3.0188615 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:228.69995 2:5.899241 3:10.176317 4:-1.4948785 5:7.017644 6:0.99932265 7:2.9151816 8:-2.0561256 9:4.4005847 10:-2.627258 11:4.4499464 12:-1.4297087 13:4.3462334 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:227.53535 2:5.190297 3:11.051997 4:-3.741604 5:3.6176047 6:0.95073366 7:2.1949782 8:-2.521612 9:2.4216738 10:-2.144531 11:5.0070763 12:-3.1025343 13:1.7771 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:227.43279 2:3.8487766 3:12.111251 4:0.43279073 5:4.0990033 6:2.919831 7:4.1508594 8:-1.8539937 9:3.3323257 10:-2.1830573 11:8.060405 12:-0.4750242 13:5.4413576 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:232.55711 2:5.4724803 3:11.190244 4:0.988698 5:4.732931 6:1.9239762 7:2.3182275 8:-2.7060342 9:5.0389543 10:-1.7322416 11:7.0381713 12:-2.7597845 13:4.170025 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:232.98627 2:6.332902 3:9.733551 4:-2.632766 5:4.6318564 6:2.157761 7:1.919526 8:-2.1384952 9:3.721391 10:-1.4251945 11:6.6122713 12:-3.1625566 13:2.7751982 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:229.01022 2:4.2203116 3:9.365778 4:-1.957329 5:4.257962 6:1.7964172 7:0.9733783 8:-2.9566782 9:2.753774 10:-2.3116415 11:4.700865 12:-2.1986454 13:3.1328828 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:225.52748 2:5.145952 3:11.94087 4:-0.7737941 5:4.32192 6:-1.4063396 7:1.1416091 8:-2.6170177 9:3.3960288 10:-1.0815327 11:7.2057567 12:-2.242955 13:3.4167683 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:228.66418 2:6.4718866 3:13.36856 4:0.5082353 5:4.0622644 6:-1.169833 7:0.0786849 8:-3.695376 9:4.4055204 10:-1.6224267 11:6.0948763 12:-3.630942 13:3.008175 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:228.11353 2:2.3887768 3:8.2884655 4:-1.270477 5:0.9221421 6:1.4431164 7:1.1646942 8:-3.300527 9:3.8014212 10:-3.3657424 11:6.8243155 12:-3.2575097 13:2.55342 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:225.70683 2:1.5625273 3:6.319268 4:-2.97375 5:1.6875765 6:1.4879448 7:0.4813306 8:-4.9591727 9:3.196297 10:-2.818101 11:5.393933 12:-3.3964367 13:3.2744482 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:240.4917 2:5.8157806 3:9.726558 4:1.4425821 5:2.9501605 6:-0.26170993 7:5.0956864 8:-2.8781972 9:2.3052235 10:-3.8762467 11:4.912307 12:-3.5135 13:2.5696628 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:232.61624 2:6.611798 3:11.473017 4:-0.50675386 5:4.6947165 6:0.683259 7:1.651221 8:-2.4783657 9:2.6692407 10:-3.5744882 11:5.7711554 12:-1.7196305 13:4.0270686 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.4743 2:4.231828 3:11.014021 4:0.17303327 5:5.029094 6:2.3571365 7:4.141954 8:-0.8645355 9:4.5316963 10:-2.1343791 11:6.844097 12:-2.2536771 13:5.2803526 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:229.3152 2:5.134426 3:11.609902 4:1.1095114 5:5.652296 6:0.29235873 7:1.8024421 8:-3.994023 9:1.2948005 10:-2.011262 11:5.7839823 12:-2.680226 13:5.3583264 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
