1 1:224.07526 2:8.607142 3:13.832029 4:-0.7023072 5:2.9335322 6:-2.2395172 7:2.7091725 8:-0.5777538 9:2.6050823 10:-3.9112697 11:5.874136 12:-3.7631285 13:2.8711731 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:225.70529 2:6.1254063 3:9.974325 4:-1.5028377 5:3.2309709 6:-0.5115848 7:4.524329 8:-0.06635258 9:4.173421 10:-3.694715 11:4.810439 12:-0.59951353 13:3.3062222 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:225.35568 2:5.766852 3:10.059795 4:-0.7500624 5:5.0787873 6:0.6924261 7:1.5307232 8:-1.8100736 9:5.796826 10:-3.1344914 11:4.0013485 12:-2.8572216 13:2.7214022 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:218.72586 2:2.665491 3:12.677144 4:-2.0429182 5:2.3604422 6:2.1957572 7:3.5434484 8:-1.1442025 9:4.0836163 10:-1.4464709 11:6.160574 12:-1.8210601 13:5.779411 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:224.02963 2:3.9306788 3:12.26389 4:-0.83137864 5:4.281639 6:2.9924984 7:3.5434363 8:-2.0220084 9:4.000508 10:-2.292601 11:6.6725793 12:-1.3580039 13:5.14861 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:221.84691 2:6.516978 3:10.355667 4:-2.2258375 5:4.856639 6:-0.9183844 7:0.8503374 8:-2.259937 9:1.3522698 10:-3.7152464 11:5.069531 12:-2.125788 13:3.2977176 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:222.44012 2:6.487821 3:10.474489 4:-3.580719 5:2.5037832 6:-1.9313707 7:-1.2451402 8:-2.9430554 9:3.2839043 10:-3.0522492 11:5.6354084 12:-2.6637843 13:3.4055572 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:228.00998 2:5.89895 3:9.675994 4:1.8850523 5:5.798525 6:-0.038978778 7:0.56213015 8:-3.788106 9:4.044909 10:-2.2611966 11:7.1909027 12:-1.929013 13:4.2501154 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:229.00124 2:7.456414 3:10.659132 4:-2.7380555 5:3.540207 6:-1.9448978 7:-1.0152317 8:-4.3046584 9:2.7383797 10:-2.3492694 11:4.9827733 12:-2.9413235 13:4.880729 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:229.3544 2:7.7344737 3:9.479408 4:-4.396929 5:-1.6637452 6:-2.6269503 7:-0.6190388 8:-2.7757425 9:6.125698 10:-1.9781566 11:5.673307 12:-0.49695814 13:5.548922 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:230.96011 2:10.483741 3:11.699537 4:-1.1082239 5:2.5825586 6:-1.7061788 7:1.4840224 8:-1.5075608 9:3.2811532 10:-3.9862642 11:5.87822 12:-2.7530823 13:4.6894026 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:227.00195 2:5.893445 3:9.853374 4:-0.23563193 5:2.8372486 6:-1.1581357 7:0.5926669 8:-3.9648802 9:3.8050091 10:-2.269854 11:5.708824 12:-1.5443335 13:5.4061193 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:227.04196 2:5.3701377 3:9.630779 4:-1.9548564 5:0.52617866 6:-0.6398899 7:2.7840734 8:-3.5678537 9:5.236957 10:-2.061859 11:4.869387 12:-1.6917856 13:3.2157047 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:225.9793 2:6.908529 3:10.778687 4:-1.2651784 5:3.1757278 6:0.4623765 7:2.1151576 8:-2.370159 9:4.7482023 10:-4.4688516 11:6.1315775 12:-2.382842 13:3.4251828 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:227.43546 2:8.461462 3:12.930254 4:0.97886044 5:2.3624954 6:0.3963381 7:1.325112 8:-1.7959305 9:5.5918827 10:-5.133241 11:4.8723063 12:-4.6144505 13:3.937534 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:221.55759 2:8.094095 3:13.24938 4:0.40198532 5:3.429246 6:-1.0454246 7:2.7590942 8:-2.3362274 9:2.1514108 10:-2.7490892 11:6.019619 12:-3.8108099 13:4.5241303 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:226.19452 2:7.3874793 3:11.764561 4:-1.294291 5:4.8403854 6:0.46621856 7:4.1029963 8:-0.8347584 9:3.9775949 10:-3.2630324 11:4.9594307 12:-2.7323143 13:3.5268657 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:222.6885 2:3.5024734 3:8.855349 4:-1.7100108 5:3.0279138 6:-0.108774476 7:1.996362 8:0.44133654 9:4.632711 10:-2.8153458 11:5.889452 12:-2.8114002 13:3.1609473 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:224.51833 2:4.233211 3:10.674278 4:0.27556068 5:4.10065 6:1.4457481 7:1.9034412 8:-0.6621865 9:5.6866417 10:-1.2859994 11:5.8132925 12:-3.191084 13:3.7445896 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:221.66672 2:4.812 3:9.407898 4:-2.6196654 5:2.7963338 6:-1.2738593 7:-0.09392089 8:-2.7588928 9:3.9476106 10:-2.6821604 11:3.935954 12:-2.730182 13:4.1862836 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:223.51546 2:7.5553412 3:11.537413 4:-3.649 5:2.3097079 6:-0.9748905 7:-0.07134014 8:-3.44774 9:5.287774 10:-2.504216 11:4.9024343 12:-1.8568002 13:4.8290386 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:236.2644 2:6.101372 3:6.621902 4:-1.1746224 5:3.328632 6:0.1479723 7:2.6640556 8:-4.3075523 9:3.5180674 10:-4.3491416 11:3.520733 12:-2.243966 13:5.46501 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:232.25179 2:6.6920347 3:7.043992 4:-1.6118327 5:2.236434 6:-1.8173091 7:1.1502594 8:-5.2374077 9:3.538603 10:-3.5803533 11:5.2488694 12:-1.2983005 13:5.7696776 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:224.70702 2:5.590135 3:9.977751 4:-1.4942883 5:2.72368 6:0.2611476 7:0.40509266 8:-3.394132 9:3.550999 10:-3.5844765 11:5.358279 12:-2.197233 13:3.3502815 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:226.15405 2:6.1945276 3:9.7386 4:-0.30206156 5:5.122663 6:0.83211744 7:0.8105651 8:-2.880604 9:3.8481379 10:-4.1591825 11:4.546605 12:-3.2495577 13:3.2444866 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:225.39204 2:6.966481 3:11.961797 4:-1.0216852 5:4.618447 6:1.2914448 7:2.998946 8:-2.6890154 9:4.8929386 10:-0.96848077 11:6.107909 12:-1.382693 13:4.864229 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:225.37831 2:7.7430315 3:11.130185 4:-0.33745614 5:3.3074374 6:0.06829826 7:2.9571288 8:-3.792348 9:4.386917 10:-0.5253555 11:7.9155364 12:-1.626939 13:3.034239 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:230.4054 2:7.5184145 3:12.529803 4:0.7966014 5:3.4202883 6:-2.4169176 7:1.5582193 8:-4.0709624 9:4.0502095 10:-1.8618733 11:7.987569 12:-1.5384914 13:4.4260116 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:227.20844 2:7.0614824 3:12.918041 4:-0.4333112 5:4.512611 6:-1.7841802 7:2.3025851 8:-3.0664077 9:3.4291728 10:-2.295449 11:7.033341 12:-1.3583589 13:3.4612758 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
1 1:229.0428 2:9.366676 3:12.347215 4:-2.1524806 5:2.9851806 6:-1.1950617 7:1.2682303 8:-3.780736 9:5.607895 10:-1.8383795 11:6.2692566 12:-1.5556622 13:5.050233 14:79.54461 15:6.2680435 16:3.166215 17:-0.29510924 18:2.449242 19:-1.4564285 20:0.2869076 21:-1.7638315 22:2.0033865 23:-0.91132295 24:1.4092638 25:-1.7819705 26:1.4958215 
