1 1:194.64185 2:2.8885968 3:3.647394 4:-1.9324852 5:0.24023668 6:-1.2074265 7:2.2821784 8:-2.4191382 9:2.081496 10:-2.232272 11:6.4019337 12:-4.4447894 13:1.1249545 14:194.64185 15:2.8885968 16:3.647394 17:-1.9324852 18:0.24023668 19:-1.2074265 20:2.2821784 21:-2.4191382 22:2.081496 23:-2.232272 24:6.4019337 25:-4.4447894 26:1.1249545 
1 1:228.13513 2:8.216671 3:9.899871 4:-3.0393786 5:-0.14855424 6:-2.1929548 7:2.2595599 8:-1.2654496 9:3.7685921 10:-4.56011 11:6.031664 12:-2.2706249 13:4.722882 14:228.13513 15:8.216671 16:9.899871 17:-3.0393786 18:-0.14855424 19:-2.1929548 20:2.2595599 21:-1.2654496 22:3.7685921 23:-4.56011 24:6.031664 25:-2.2706249 26:4.722882 
1 1:228.35538 2:3.015336 3:10.340087 4:-1.2183367 5:4.921294 6:-2.383608 7:2.2528853 8:-0.47899675 9:3.357904 10:-1.788584 11:8.936032 12:-0.76062995 13:1.46033 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
1 1:227.74203 2:4.40989 3:9.09349 4:-0.874055 5:3.9743173 6:-1.4349577 7:2.2458296 8:0.4513834 9:4.7468877 10:-2.0149724 11:7.422526 12:-2.1540413 13:2.1766212 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
1 1:224.70325 2:9.305848 3:11.632247 4:-0.6862773 5:2.424077 6:-0.9079254 7:4.1170177 8:-1.6439238 9:5.4855657 10:-2.2125723 11:5.6561084 12:-2.1136465 13:4.085686 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
1 1:226.53555 2:8.698735 3:10.172795 4:-0.16210891 5:2.8235373 6:0.45799878 7:5.976993 8:-0.82791626 9:4.008855 10:-3.0336516 11:8.96514 12:-1.9021912 13:2.9140706 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
1 1:225.91469 2:5.6663284 3:12.182503 4:-1.8493924 5:4.1089187 6:-0.71115977 7:2.768627 8:-1.0540541 9:3.7630088 10:-1.7197863 11:7.4360504 12:-1.4054672 13:5.889547 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
1 1:223.60583 2:3.6900585 3:11.932555 4:-2.5113423 5:2.9987946 6:1.7750176 7:1.2591841 8:-3.577534 9:3.2418892 10:-0.3851047 11:6.794013 12:-2.6025968 13:3.567077 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
1 1:231.87555 2:6.4687505 3:15.238814 4:-2.1707277 5:2.0237072 6:0.8709082 7:2.2180572 8:0.24417844 9:1.7023108 10:-1.8877977 11:6.755118 12:-3.1794028 13:1.4483248 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
1 1:230.2099 2:8.589202 3:13.109703 4:-1.9999408 5:2.8254793 6:-0.86193955 7:3.914768 8:-0.40394896 9:4.336865 10:-1.8016192 11:6.4537024 12:-3.4068432 13:2.0847037 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
1 1:228.02061 2:5.289315 3:10.025776 4:-1.3914059 5:2.8842044 6:-1.1038276 7:3.1348698 8:-0.4570493 9:2.326812 10:-3.2192078 11:7.212339 12:-2.174984 13:3.4237802 14:68.35506 15:1.6368511 16:2.776451 17:-1.0214057 18:1.5805157 19:-0.47013354 20:0.46345803 21:0.12456591 22:1.77488 23:-0.96967286 24:0.95860183 25:-0.5776199 26:1.3068153 
