1 1:223.71872 2:5.4985185 3:13.482829 4:-1.6452719 5:1.8193856 6:-0.16838393 7:3.1060174 8:-1.9785695 9:3.046029 10:-1.5087795 11:5.0046587 12:-2.5295978 13:2.7957754 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:226.5986 2:4.584345 3:14.069995 4:0.35118717 5:1.9716539 6:0.29081163 7:2.837227 8:-0.55660325 9:3.1532402 10:-2.67955 11:4.3363113 12:-2.3811471 13:3.7364264 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:227.61359 2:6.0052257 3:13.679406 4:1.0046285 5:3.0431006 6:1.0026759 7:1.6655539 8:0.32585955 9:3.5204978 10:-3.2528284 11:4.3329835 12:-3.4614851 13:3.927124 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:226.24298 2:2.1569912 3:9.921701 4:-2.1878242 5:-1.2500999 6:-2.415206 7:6.496231 8:3.4609573 9:2.4217594 10:-2.5031981 11:6.351229 12:-2.2744646 13:2.9661314 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.76588 2:4.0188956 3:10.186622 4:-0.46781778 5:-0.61295366 6:-3.5421457 7:3.3797565 8:2.3321688 9:2.7531023 10:-5.247811 11:4.1695404 12:-2.9244196 13:3.8093996 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:230.68881 2:3.1812646 3:11.247141 4:-2.1873274 5:3.3003361 6:-3.3295672 7:3.5355124 8:1.8027147 9:1.0222092 10:-2.044559 11:4.098567 12:-4.3864417 13:2.8772461 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:230.56975 2:2.3724334 3:10.973531 4:-0.72895825 5:2.1078866 6:-3.3423944 7:3.0170352 8:-0.08497883 9:0.83611375 10:-2.2117558 11:2.985234 12:-4.6761103 13:3.2729642 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:229.15158 2:2.843571 3:11.367377 4:-1.9130131 5:2.3654995 6:-2.763204 7:3.8992395 8:2.9759614 9:2.583907 10:-2.246544 11:5.0311623 12:-1.9050689 13:2.8659415 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:230.29181 2:3.6282876 3:12.527741 4:-1.3111761 5:-0.5418033 6:-2.5170488 7:6.3140254 8:3.0134547 9:3.3309379 10:-1.2091373 11:5.4630566 12:-1.8617588 13:3.404779 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:232.27101 2:4.4611683 3:13.951252 4:0.40920988 5:2.9765682 6:0.41788477 7:5.5803003 8:-0.28963083 9:0.8517041 10:-1.3375055 11:3.8821146 12:-2.3297517 13:4.692699 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:235.70726 2:4.575787 3:12.569957 4:0.316581 5:2.771516 6:-3.4843755 7:2.394254 8:-0.27364653 9:2.4040322 10:0.09854644 11:4.099995 12:-3.203525 13:4.603272 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:232.20142 2:5.4137564 3:13.360149 4:-0.41614985 5:3.6238294 6:-0.8734983 7:5.225228 8:1.4107444 9:3.1700761 10:-2.2957711 11:5.5936165 12:-3.3684375 13:3.7224398 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:232.89795 2:6.960109 3:13.660581 4:-1.1368567 5:3.580147 6:-1.0090926 7:2.6224697 8:0.48625648 9:4.412127 10:-2.921094 11:3.9690669 12:-3.9630952 13:4.961672 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:228.02681 2:2.5573506 3:10.664774 4:1.6502278 5:4.761888 6:0.45290643 7:5.7846003 8:2.4644077 9:5.68162 10:-1.2182546 11:4.674281 12:-3.4072595 13:3.5011618 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:225.39001 2:4.31231 3:13.037455 4:2.5424795 5:3.8943524 6:-0.7536919 7:3.718179 8:1.3234806 9:5.8598967 10:-2.7109416 11:4.5689445 12:-4.130106 13:1.9367139 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:223.70961 2:6.1700397 3:12.514288 4:-0.7316482 5:1.4034427 6:-3.29724 7:4.0715027 8:0.120696336 9:5.376525 10:-3.793024 11:1.5486293 12:-2.7490344 13:4.946202 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
