1 1:228.45227 2:7.093637 3:12.422365 4:1.5259745 5:5.532842 6:-1.6291168 7:3.7092714 8:-0.72757363 9:5.886678 10:-0.7375207 11:6.7043047 12:-2.3983731 13:5.5649767 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.84935 2:6.848278 3:9.5741 4:1.118391 5:4.080195 6:0.6438325 7:4.6658583 8:-0.94171 9:4.90027 10:-2.1896672 11:4.7613363 12:-4.739899 13:3.9927192 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:230.5151 2:6.450052 3:7.741758 4:-2.1586607 5:1.056466 6:0.43085733 7:5.3385773 8:-1.7636915 9:2.550818 10:-3.114726 11:5.794109 12:-2.8035328 13:3.9091713 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:225.03044 2:5.7814994 3:11.117123 4:2.1884973 5:4.448019 6:-0.58983 7:2.3761072 8:-3.1999629 9:4.4175024 10:-1.3535528 11:5.4668827 12:-1.7032048 13:3.5877497 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.51169 2:7.049956 3:11.922911 4:2.742337 5:5.7260857 6:-2.0827281 7:1.8089691 8:-2.1243064 9:6.932778 10:-2.1557438 11:3.5016453 12:-2.779522 13:3.9228835 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:222.94041 2:4.688819 3:10.205184 4:0.1872361 5:4.0803056 6:-2.31311 7:1.6762369 8:-0.4320451 9:4.1283655 10:-1.7263073 11:4.724029 12:-2.0794194 13:3.4111967 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:225.95793 2:5.803999 3:11.341094 4:0.5743492 5:3.7349908 6:-0.79395276 7:2.6144073 8:0.7573857 9:8.350952 10:-1.7135152 11:4.4061193 12:-2.9109156 13:2.8560724 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:222.55396 2:4.638822 3:11.434307 4:0.7264026 5:5.7131557 6:0.017062994 7:1.6752677 8:-1.3564947 9:7.3858266 10:-0.06517234 11:5.933146 12:-1.9411315 13:3.8651946 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:224.09428 2:5.096205 3:12.543777 4:2.1108084 5:6.8095427 6:-0.02400107 7:1.2851683 8:-3.186381 9:3.2995155 10:-2.1795096 11:5.8140984 12:-3.1446388 13:3.7480352 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:224.179 2:4.9829497 3:9.089101 4:-1.637632 5:7.1027546 6:-0.46165138 7:2.2282288 8:-1.250475 9:2.5047278 10:-3.1319206 11:3.2425196 12:-2.8115187 13:1.918523 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
