1 1:228.52849 2:9.767404 3:12.386189 4:-0.2404354 5:4.937697 6:-0.37336808 7:3.385248 8:-1.1494147 9:4.598048 10:-2.5317938 11:4.115541 12:-3.2541683 13:2.938029 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:226.78067 2:9.145386 3:12.866608 4:-0.2117744 5:6.7936497 6:0.77107793 7:4.3419175 8:0.5245046 9:3.9606268 10:-1.7278376 11:5.405823 12:-2.1008732 13:3.6832776 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:226.3307 2:6.788201 3:13.779541 4:0.33355892 5:3.4335096 6:0.29891026 7:2.511497 8:-2.629149 9:3.1835518 10:-1.5283927 11:7.363139 12:-2.0657406 13:4.2325363 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:227.10854 2:7.1250935 3:13.878542 4:0.21117686 5:4.7463617 6:-0.39162683 7:2.1325402 8:-3.623931 9:3.9094813 10:-3.9300053 11:3.8602514 12:-2.7276497 13:3.4251285 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:224.58806 2:6.0215664 3:10.42896 4:-1.7878418 5:4.2318897 6:0.62376946 7:2.466283 8:-2.3681712 9:4.030581 10:-3.218168 11:2.5750663 12:-4.7579904 13:1.9462258 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:227.78339 2:9.209299 3:13.074701 4:-0.53758866 5:4.927236 6:1.0435326 7:3.506975 8:-2.5079389 9:4.985629 10:-3.4669461 11:2.9092102 12:-4.3219585 13:4.5520263 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:227.92555 2:8.001492 3:12.402828 4:-1.5723375 5:5.691437 6:-0.13024883 7:4.129756 8:-0.9856349 9:4.1887774 10:-1.5466332 11:4.42794 12:-3.4320135 13:3.2192295 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:225.48534 2:7.143434 3:12.306686 4:-0.19406186 5:5.6153636 6:0.6852536 7:5.7066917 8:-0.15290436 9:5.24388 10:-0.7825819 11:6.3572297 12:-1.668904 13:4.9607234 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:226.08815 2:10.454931 3:11.1743765 4:-4.7823706 5:3.7928545 6:0.10551334 7:3.934264 8:-0.8166033 9:3.7687654 10:-0.93861353 11:4.900946 12:-4.24931 13:3.6734197 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:224.96338 2:9.762402 3:11.087209 4:-4.815025 5:0.3306544 6:-0.2632389 7:3.5088882 8:-1.307488 9:2.9166946 10:-2.523007 11:5.397867 12:-4.144739 13:4.087187 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:227.44131 2:8.404199 3:9.429554 4:-5.75137 5:0.87390274 6:-0.2523841 7:3.4838445 8:0.30296755 9:5.701601 10:-4.2984543 11:3.6488287 12:-2.6428726 13:3.9563909 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:227.08046 2:7.414009 3:11.586025 4:-3.3637476 5:1.4820937 6:-0.605281 7:3.338746 8:-1.2232349 9:6.1116457 10:-1.9366108 11:5.8747725 12:-2.136343 13:4.798414 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
