1 1:226.81189 2:5.256455 3:9.524629 4:-2.3371634 5:2.2788568 6:-1.5833523 7:4.2403445 8:-1.1093832 9:1.6533498 10:-4.3038077 11:3.2740586 12:-0.921601 13:4.2484365 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:229.6344 2:4.198906 3:11.091808 4:-1.4893718 5:2.124806 6:0.45999435 7:3.627431 8:-1.4312255 9:2.368788 10:-3.7330475 11:5.05623 12:-1.3985584 13:3.942653 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:227.50414 2:3.9736407 3:11.221443 4:-1.0155983 5:3.261129 6:1.2218479 7:5.474312 8:-0.9530776 9:1.994632 10:-2.9246042 11:4.7593975 12:-1.3311225 13:4.4716887 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:226.08559 2:6.0743556 3:10.433879 4:-1.7135422 5:2.6775534 6:0.12558293 7:1.8510576 8:-1.8626577 9:2.603378 10:-2.934833 11:6.1487346 12:-2.822828 13:3.7189944 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:224.39445 2:4.650148 3:12.279558 4:-0.99990726 5:3.8018818 6:-0.034632172 7:3.1992054 8:-1.9017115 9:2.4468606 10:-2.0411718 11:5.5963125 12:-2.0385847 13:3.065203 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:231.29565 2:4.955675 3:10.000016 4:-1.4617412 5:1.642686 6:-1.078743 7:6.562328 8:-1.0262457 9:3.6302013 10:-0.6986173 11:4.8811617 12:-2.051903 13:5.033967 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:229.65028 2:3.7613575 3:8.677867 4:-3.5140731 5:2.3840845 6:0.6781209 7:6.7174487 8:0.6041578 9:4.9653053 10:-0.4993049 11:4.713543 12:-2.511088 13:4.462059 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:228.52342 2:3.9984722 3:8.803565 4:-1.6095499 5:2.192913 6:0.93515354 7:5.7689643 8:-2.5487583 9:2.403442 10:-1.2860419 11:5.2416625 12:-2.447271 13:5.0271277 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:228.03957 2:1.9133942 3:7.914187 4:-0.14101416 5:2.8998315 6:2.855438 7:7.9422016 8:-1.851915 9:3.1128519 10:-1.8628259 11:5.3904533 12:-3.182746 13:3.8201072 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:225.88858 2:3.9334393 3:10.519534 4:1.3652976 5:3.7695189 6:0.92067516 7:5.6878114 8:-1.9123123 9:1.5694445 10:-4.7412486 11:3.0192232 12:-2.6831985 13:4.4165964 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:227.7661 2:4.5297832 3:11.3497715 4:0.81352556 5:0.917985 6:-0.99815524 7:4.9241304 8:0.36095768 9:3.511013 10:-4.818178 11:3.594341 12:-2.5370097 13:4.967768 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:229.43013 2:3.5179188 3:8.068456 4:-1.5936322 5:2.8432784 6:0.894699 7:2.482889 8:-3.6611052 9:2.775176 10:-2.4349413 11:5.6038303 12:-1.7422016 13:5.1783385 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:232.62682 2:2.7223573 3:7.2471747 4:-1.6161013 5:2.5953052 6:2.4512975 7:4.634041 8:-4.5047164 9:1.9094985 10:-1.8657018 11:5.991503 12:-1.2299361 13:5.615897 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:248.38203 2:9.830004 3:10.355188 4:4.1189437 5:5.44042 6:0.7049764 7:10.565856 8:-3.2242637 9:2.0054762 10:-5.8593454 11:2.1763813 12:-4.957375 13:5.469778 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:255.48157 2:13.48091 3:11.649194 4:2.5329156 5:5.4963384 6:1.0420132 7:11.472593 8:-3.7775419 9:2.341509 10:-4.6211743 11:3.1604252 12:-4.973194 13:6.273157 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:264.3698 2:16.937998 3:8.352736 4:2.548097 5:7.9303293 6:-1.5673469 7:13.233482 8:-2.4561384 9:2.8607905 10:-3.6161637 11:4.424238 12:-7.0692863 13:5.1953177 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:265.11163 2:16.755114 3:6.9935517 4:2.3997743 5:7.3479266 6:-0.6826516 7:12.771318 8:-1.9106704 9:3.63259 10:-4.279804 11:4.1456285 12:-6.675777 13:6.373506 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:270.16348 2:18.381115 3:7.3981366 4:-0.827322 5:9.840263 6:-0.41933855 7:10.338059 8:-2.1652699 9:4.0780926 10:-4.4316626 11:5.6277943 12:-5.5997396 13:6.12323 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:272.64572 2:17.51508 3:7.532927 4:-0.851683 5:9.00392 6:0.66675276 7:9.691662 8:-3.2178006 9:4.83659 10:-4.8983173 11:4.4119396 12:-4.9509096 13:5.790963 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:289.3268 2:18.152779 3:7.4436913 4:-1.7186149 5:7.0869365 6:-6.303909 7:8.100206 8:-3.3543937 9:4.064102 10:-2.5884073 11:4.5045967 12:-5.799896 13:4.8329816 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:295.0384 2:25.357616 3:7.604568 4:-4.53343 5:4.726195 6:-8.588415 7:6.312364 8:-5.120602 9:3.2233772 10:-3.6422408 11:5.7607203 12:-7.301829 13:5.49695 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:297.22086 2:28.020481 3:4.21646 4:-8.39933 5:4.966703 6:-7.8253384 7:8.643584 8:-3.4893377 9:2.6645906 10:-4.6537066 11:6.2809186 12:-5.473666 13:7.186119 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:303.4935 2:27.913319 3:0.16250056 4:-9.305755 5:6.3728366 6:-8.145234 7:9.051301 8:-3.092973 9:2.0203524 10:-5.9715567 11:7.2699523 12:-5.8187857 13:6.878565 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:308.74634 2:29.31956 3:-1.7156415 4:-10.141325 5:7.5346274 6:-6.7135315 7:8.46317 8:-3.3391623 9:3.5070498 10:-7.0395284 11:7.0754743 12:-4.3794775 13:7.056191 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:313.55383 2:25.701036 3:-1.5971224 4:-8.402762 5:8.215258 6:-5.611177 7:7.2528515 8:-2.963113 9:3.1627123 10:-6.391921 11:7.530192 12:-3.5771434 13:5.714236 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
1 1:314.37643 2:25.984715 3:-5.203458 4:-7.53442 5:11.724406 6:-6.4197545 7:5.140289 8:-4.570408 9:3.1140609 10:-4.6582184 11:9.413228 12:-3.2940533 13:4.951368 14:85.11325 15:5.232304 16:2.3682907 17:0.37917516 18:4.243824 19:-0.53069216 20:1.2126002 21:-1.3019165 22:1.2918103 23:-1.7939287 24:2.0723763 25:-0.49429026 26:1.7383393 
