1 1:226.62712 2:1.5602748 3:7.6811514 4:1.3990992 5:3.3148427 6:-0.39672393 7:7.3518047 8:-1.1965603 9:2.3499293 10:-1.006108 11:4.639067 12:-2.5318112 13:3.784942 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:229.94476 2:2.2343652 3:3.6353502 4:-2.1522584 5:3.036765 6:1.7070379 7:8.085963 8:-3.2559426 9:-0.067244135 10:-1.9177047 11:2.7093291 12:-4.332109 13:2.6683948 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:233.6892 2:4.1970315 3:5.4900746 4:0.006676359 5:2.7918632 6:0.8143407 7:7.0330725 8:-3.7332516 9:0.3569478 10:-1.1717063 11:2.9811962 12:-4.390002 13:5.0395427 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:229.01666 2:4.1823173 3:7.0182905 4:-1.1285634 5:4.3216968 6:1.340524 7:8.420493 8:-2.8399541 9:2.348623 10:2.8230019 11:6.8862915 12:-4.458224 13:3.6327212 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:231.52098 2:4.009392 3:8.946968 4:0.07647606 5:4.054381 6:0.3141079 7:7.3112288 8:-3.9513378 9:3.2738304 10:1.9954438 11:6.5658164 12:-2.474154 13:4.087227 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:229.37926 2:4.7908773 3:7.757898 4:1.357611 5:3.6647832 6:-3.201052 7:5.2977805 8:-2.9397497 9:0.84687567 10:-2.0028493 11:3.7576413 12:-3.744199 13:3.8673842 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:230.7793 2:1.521043 3:5.996137 4:1.5542357 5:2.1759622 6:-3.1328866 7:6.1965184 8:-1.4794455 9:1.3438983 10:-1.4783534 11:4.4142814 12:-2.2548366 13:4.6528177 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:231.90936 2:2.2935402 3:5.47708 4:-0.40769798 5:2.028773 6:-3.2395408 7:5.606064 8:-3.8622742 9:-2.506461 10:-1.4313182 11:5.1854897 12:-2.4164202 13:6.5805655 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:232.01851 2:0.13908224 3:3.2797546 4:-0.90738875 5:2.2891514 6:-1.8054883 7:6.9490633 8:-2.4189284 9:0.13060863 10:1.4159062 11:6.60768 12:-1.7532972 13:5.4666014 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:237.47333 2:3.73456 3:8.558486 4:5.450983 5:4.5327497 6:-2.1110456 7:9.554608 8:-4.4802055 9:-0.77983946 10:-0.8707568 11:2.997688 12:-3.029962 13:5.423772 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
