1 1:227.11737 2:3.2517402 3:12.609802 4:0.34233406 5:3.8802085 6:2.7539287 7:4.054793 8:-2.3832278 9:3.3556092 10:-4.385698 11:4.1621804 12:-3.045262 13:3.5947464 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:227.57571 2:4.7803035 3:10.202904 4:0.91343063 5:3.135371 6:0.14988074 7:1.3190461 8:-2.9200816 9:3.228451 10:-3.4460633 11:6.4413047 12:-3.315141 13:1.6658251 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:222.53911 2:2.4076376 3:10.766035 4:2.006263 5:4.922243 6:1.9001817 7:2.3806674 8:-2.5950584 9:2.8752062 10:-4.3739486 11:5.3823643 12:-1.8921459 13:2.3388572 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:222.87143 2:4.2289786 3:13.341164 4:4.955338 5:7.2345915 6:1.1780556 7:0.24439666 8:-3.5745246 9:3.3719716 10:-2.6906948 11:6.5085583 12:-0.32453275 13:4.5543604 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:220.58977 2:3.6384563 3:11.096313 4:0.9800537 5:3.1780958 6:1.2715237 7:1.1820271 8:-2.7069104 9:4.294709 10:-1.8599899 11:6.7370443 12:-0.19343041 13:3.6060314 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:225.92455 2:6.0661726 3:13.490269 4:1.415873 5:3.1601331 6:2.553512 7:1.980895 8:-1.6473836 9:4.202111 10:-4.9054494 11:5.949659 12:-1.8941228 13:3.814988 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:223.70015 2:5.339695 3:13.44537 4:0.60808253 5:3.1841707 6:3.9259748 7:1.6871895 8:-2.4948654 9:4.6386223 10:-4.5390973 11:4.4210696 12:-3.5027044 13:3.3425024 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:220.57278 2:5.6097193 3:12.732354 4:0.76354754 5:3.751439 6:0.03925031 7:2.9296446 8:-1.7852943 9:5.4701 10:-2.525003 11:4.563893 12:-0.899392 13:4.5842166 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:220.48923 2:6.4648895 3:13.853483 4:1.6189086 5:4.422627 6:-0.34614506 7:3.462554 8:-2.8385005 9:5.3123975 10:-0.9012247 11:6.095024 12:-1.65214 13:4.4348702 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
1 1:223.41257 2:3.104811 3:13.195661 4:1.0148438 5:4.831775 6:-1.1724929 7:2.0894136 8:-1.8585297 9:2.4481997 10:-3.795017 11:4.0592628 12:0.06951926 13:2.954114 14:85.186554 15:6.8959956 16:2.5629256 17:0.2729186 18:2.7834976 19:-2.4174657 20:0.7723489 21:-1.8218437 22:1.9907298 23:-0.9320181 24:0.9872948 25:-2.5087593 26:1.2822036 
