1 1:234.13454 2:4.3891206 3:9.55303 4:0.4873104 5:2.1770914 6:-4.1503453 7:2.881618 8:-0.9370504 9:1.959396 10:-1.3875934 11:4.259415 12:-3.0388584 13:3.7068877 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:234.20216 2:5.4514027 3:9.912999 4:1.8497527 5:2.116908 6:-4.533822 7:4.3696375 8:-1.1152334 9:2.9913883 10:-2.7426322 11:2.8926833 12:-3.638057 13:3.0057454 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:238.21924 2:4.1577444 3:10.531583 4:1.9958849 5:5.294479 6:-0.27467227 7:5.53147 8:0.94624686 9:2.7240877 10:-3.8257015 11:3.260081 12:-4.754932 13:2.4087214 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:236.36275 2:4.573371 3:12.052375 4:1.8362011 5:3.0569248 6:-2.5944765 7:3.5574343 8:1.0457965 9:5.2339816 10:-4.1804557 11:3.3921905 12:-3.3499782 13:2.4865232 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:231.91425 2:3.1520154 3:8.645002 4:2.358065 5:3.2018816 6:-0.7954345 7:1.4050177 8:-1.8382963 9:2.5788543 10:-2.365372 11:5.9250245 12:-2.7143757 13:2.0493257 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:232.7409 2:3.8080788 3:11.194445 4:2.6312368 5:2.647396 6:-1.5472097 7:1.1211203 8:-1.6503142 9:3.4569685 10:-2.3102522 11:4.455819 12:-2.5295694 13:1.9323229 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:233.6605 2:3.9174845 3:11.312806 4:2.69728 5:4.05705 6:-2.3909285 7:0.5658894 8:-0.7888071 9:4.2549376 10:-2.21289 11:5.5050626 12:-3.3759425 13:1.8919356 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:231.48732 2:3.1561334 3:9.361482 4:2.984505 5:4.4106035 6:-1.224918 7:0.25033253 8:-0.5791033 9:3.1343937 10:-2.9953163 11:5.8146515 12:-3.9150958 13:1.0490386 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:234.06213 2:4.4331822 3:7.592224 4:-0.47316223 5:1.7337707 6:-1.5434507 7:2.2073634 8:-1.7590506 9:2.7895458 10:-3.5961018 11:4.7194033 12:-1.607259 13:3.0662837 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
1 1:232.6312 2:4.055524 3:8.664156 4:-0.28542015 5:0.89657956 6:-1.7364079 7:2.0339737 8:-3.0453744 9:1.761956 10:-3.827232 11:5.5613613 12:0.22149679 13:2.8611865 14:91.69436 15:6.8946047 16:6.7314587 17:-0.40027574 18:1.8090204 19:-1.4917592 20:-0.8283394 21:-0.6605443 22:2.7978637 23:-0.40488976 24:0.36104533 25:-0.9378628 26:1.319871 
