1 1:230.84583 2:4.9711914 3:9.161162 4:1.3909923 5:3.9174702 6:-1.474504 7:1.447244 8:-1.8184122 9:3.466885 10:-2.750075 11:6.556091 12:-4.21856 13:5.05677 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:253.54831 2:-6.426428 3:8.133321 4:2.137632 5:2.6301014 6:-2.5197537 7:4.0239654 8:-2.2177393 9:2.5210772 10:-3.020404 11:7.2306843 12:-4.7307553 13:-1.0091021 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:248.24095 2:-2.2820096 3:9.97559 4:2.2860193 5:3.3809035 6:-2.879221 7:4.3694797 8:-3.603076 9:2.2466564 10:-2.725125 11:7.5821304 12:-4.8087506 13:-1.2969044 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:232.78885 2:7.4283214 3:11.405849 4:1.4837062 5:2.1045222 6:-0.78882813 7:0.19029364 8:-2.1518624 9:5.5369883 10:-2.3707273 11:6.0282483 12:-5.714225 13:2.1278112 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:232.48271 2:8.308059 3:9.995922 4:-0.73437804 5:2.3209105 6:-1.1158314 7:2.2744853 8:-0.73694855 9:5.080925 10:-4.2749743 11:5.4625936 12:-3.7143254 13:3.8950331 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.19427 2:7.710652 3:9.034017 4:-0.87215054 5:3.6227386 6:-1.4374825 7:1.9627179 8:-2.3748682 9:3.124071 10:-1.0560526 11:6.894187 12:-4.1907816 13:3.5561783 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.62576 2:4.504663 3:9.986044 4:-1.1840432 5:1.6277925 6:-4.259018 7:0.2533939 8:-1.9735897 9:4.1324873 10:-0.30702806 11:8.2816725 12:-2.514061 13:1.3653277 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.32973 2:6.5818434 3:11.879228 4:-1.443202 5:0.7364047 6:-1.6716815 7:0.115357146 8:-0.4344561 9:5.0875154 10:-3.3229969 11:4.9725842 12:-4.307462 13:3.3169076 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:226.36873 2:7.1991296 3:13.113091 4:-0.0641169 5:-0.3415978 6:-1.790651 7:2.6995113 8:-0.48063466 9:4.386444 10:-4.538264 11:5.470738 12:-3.216974 13:4.5556936 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.8874 2:5.8786983 3:10.160759 4:-0.8288603 5:0.7551952 6:-0.0813226 7:2.1779072 8:-1.2799954 9:5.2738013 10:-2.8072402 11:7.38531 12:-2.8262973 13:2.9026585 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
