1 1:242.84743 2:12.575834 3:7.7348456 4:-4.4058795 5:4.273821 6:-3.8047774 7:-0.82229424 8:-5.6004686 9:4.3290696 10:-2.5619378 11:3.4276037 12:-4.273584 13:4.308859 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:242.66711 2:13.451407 3:9.548745 4:-2.4817524 5:7.095045 6:0.2635718 7:1.7739967 8:-3.4291499 9:3.1267009 10:-3.8800628 11:1.3622291 12:-5.595966 13:4.5026655 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:239.94864 2:13.716468 3:8.933855 4:-2.1132767 5:7.792852 6:1.5759263 7:2.090756 8:-5.1446986 9:5.115656 10:-2.8833385 11:3.5917163 12:-4.6800976 13:4.900556 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:246.101 2:14.165035 3:10.98354 4:-2.1399107 5:7.108602 6:2.0324821 7:1.7051176 8:-6.7427607 9:4.7374496 10:-3.8133345 11:5.7356715 12:-3.5363753 13:3.9648523 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:242.18921 2:12.334 3:10.929535 4:-1.7146018 5:7.2847958 6:2.407483 7:2.3030784 8:-5.381305 9:5.324208 10:-4.4533877 11:3.9938192 12:-3.8792565 13:4.279927 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:240.24628 2:13.358553 3:12.499427 4:0.6883472 5:6.862976 6:-0.63962203 7:3.7973866 8:-3.8685198 9:5.1595736 10:-3.3370163 11:5.195764 12:-3.38405 13:2.3614044 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:242.12701 2:12.984674 3:10.88549 4:0.5800871 5:7.7081695 6:0.56177354 7:4.0177565 8:-3.4248753 9:6.8684673 10:-1.5419377 11:6.3302846 12:-3.3045497 13:3.4981618 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:243.75244 2:14.823888 3:11.498387 4:-0.6206458 5:6.8707843 6:0.58412737 7:3.4527502 8:-3.7539694 9:5.081412 10:-4.682499 11:6.359376 12:-3.9652123 13:3.5149045 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:242.17686 2:13.9039545 3:10.922943 4:-0.7542233 5:4.652093 6:0.2248794 7:5.958841 8:-2.0026557 9:5.9748898 10:-5.535378 11:4.461322 12:-4.2841363 13:3.5678701 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:237.2529 2:8.62624 3:9.014866 4:-3.2564673 5:-0.4313602 6:-0.98428077 7:1.9853799 8:-3.9752822 9:4.6988983 10:-2.3635466 11:4.684204 12:-3.9023147 13:3.4008727 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:247.95543 2:6.4752603 3:7.334294 4:-2.9156957 5:-0.94555926 6:0.44903144 7:1.3151938 8:-4.728944 9:6.029675 10:-3.7199483 11:6.352179 12:-1.1906025 13:0.8663523 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:244.23799 2:10.962563 3:9.129751 4:-1.4517834 5:6.1018023 6:-0.016357902 7:4.1258817 8:-3.217721 9:5.08016 10:-3.578353 11:4.561001 12:-4.540092 13:1.2561373 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:241.66756 2:13.493602 3:11.589495 4:-1.3794208 5:7.6927633 6:-0.60586506 7:4.165213 8:-2.3965204 9:3.9638727 10:-3.110857 11:6.688375 12:-3.8724055 13:2.3203382 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:245.43346 2:14.826822 3:11.955101 4:-1.8105367 5:5.22274 6:-2.9212728 7:1.2695268 8:-3.5240865 9:7.1970553 10:-3.623859 11:3.1874542 12:-4.431884 13:3.475139 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:245.61028 2:12.345645 3:12.6662655 4:-1.3969512 5:2.3124852 6:0.024423799 7:1.3458074 8:-3.326302 9:7.8281407 10:-2.9650452 11:3.875739 12:-3.2282147 13:2.3338876 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:242.92828 2:9.631068 3:11.320944 4:-3.5847428 5:2.4455974 6:2.8182926 7:2.3448012 8:0.014435774 9:6.9324646 10:-2.632759 11:8.222834 12:-1.9257895 13:3.5218318 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:247.37602 2:10.787536 3:12.792421 4:-3.5511377 5:3.4754117 6:2.9375682 7:1.768398 8:-2.4063768 9:5.201689 10:-2.7757232 11:8.225272 12:-2.394228 13:4.033946 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:243.96161 2:8.176988 3:9.748235 4:-4.1874385 5:-0.4023989 6:1.6008704 7:0.8792358 8:-0.8035793 9:7.040394 10:-2.6373966 11:8.286843 12:-1.6250552 13:5.5214257 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
1 1:242.96297 2:6.7072988 3:11.2631235 4:-3.656973 5:-0.37337017 6:0.72112757 7:-0.20077817 8:-1.8643286 9:5.5364017 10:-3.9604948 11:6.9553585 12:-2.690415 13:4.172891 14:71.3859 15:3.0630465 16:3.7268348 17:-0.19661608 18:1.0817087 19:0.29791474 20:0.996317 21:-1.3796465 22:1.0933124 23:-1.3088272 24:1.7864428 25:-0.5374862 26:1.4215667 
