1 1:229.7582 2:5.494487 3:12.088296 4:1.1871148 5:8.170185 6:-1.5725199 7:1.0490425 8:-4.0155454 9:2.8355331 10:-1.8726516 11:3.2140884 12:-0.46867105 13:5.9877553 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:233.1356 2:4.124558 3:9.684244 4:-0.4956705 5:6.508533 6:-1.8598859 7:1.3974322 8:-1.4153066 9:4.585575 10:-1.2604035 11:1.5451634 12:-0.9246144 13:3.8806725 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:232.29938 2:4.539613 3:10.833946 4:-2.2993667 5:6.8796606 6:-0.73911583 7:1.219883 8:-0.33560342 9:4.087944 10:0.5336263 11:5.559505 12:0.3539428 13:5.010654 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:231.44691 2:6.6207633 3:10.32746 4:-3.475226 5:3.5512135 6:0.15343708 7:3.0915813 8:-0.8289866 9:2.677724 10:-4.2541547 11:3.4172268 12:0.6471997 13:4.8703885 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:236.41896 2:5.210902 3:10.782892 4:0.4263741 5:3.0292137 6:-0.9072759 7:5.032637 8:-2.7321348 9:1.3500079 10:-2.2287126 11:4.4717684 12:-1.5782013 13:4.7396936 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:269.0943 2:-15.694882 3:7.539977 4:9.01634 5:0.9012793 6:-8.414593 7:11.542796 8:0.85493505 9:-1.1600343 10:1.29382 11:3.5732846 12:-0.9279224 13:3.471347 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:262.83603 2:-13.858159 3:8.543651 4:9.620945 5:1.480867 6:-8.84003 7:10.383161 8:-0.7569696 9:-2.6556869 10:-0.1425228 11:2.8716524 12:-0.20777911 13:4.4370756 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:237.71413 2:7.444506 3:12.671508 4:0.8716185 5:4.8253775 6:0.19799098 7:3.6889114 8:-3.8939035 9:1.277714 10:-5.2808967 11:3.175979 12:-3.591516 13:5.14864 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:241.26749 2:8.238133 3:11.015915 4:-0.040496178 5:4.3388486 6:-0.7104848 7:3.22677 8:-1.6927158 9:1.7995093 10:-4.935668 11:3.517609 12:-4.617316 13:5.902091 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:240.54454 2:8.331403 3:9.690714 4:-3.6468174 5:1.9161904 6:-3.5469167 7:5.2995667 8:-0.4539423 9:0.8735593 10:-3.012431 11:4.526862 12:-2.304768 13:6.729406 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:238.42963 2:9.059396 3:11.177349 4:-3.0036118 5:3.5893977 6:-1.2156186 7:6.58334 8:-2.1692028 9:0.56566924 10:-1.866012 11:4.5511117 12:-3.0976543 13:6.484543 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:239.1819 2:12.150937 3:10.268354 4:-2.1353104 5:4.2805667 6:1.008741 7:9.589518 8:-1.7776921 9:-0.05776859 10:-3.2669494 11:6.3187137 12:-3.625253 13:7.345513 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
