1 1:248.26291 2:4.183315 3:7.5205646 4:0.66449296 5:4.352521 6:0.13422044 7:5.2051487 8:-6.440212 9:-3.4843242 10:-3.938214 11:4.1468577 12:-4.7360773 13:1.5843607 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:246.16658 2:3.3034446 3:6.895478 4:0.7232192 5:2.540074 6:-1.6383568 7:7.463557 8:-5.4431963 9:-1.9932419 10:-3.48516 11:1.1949482 12:-5.7509294 13:2.8836997 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:243.99469 2:2.849392 3:6.262205 4:1.0629508 5:3.6352494 6:-3.4710925 7:7.0031962 8:-4.9058 9:-2.0144076 10:-2.8584363 11:1.0653594 12:-5.929732 13:1.4390122 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:244.52951 2:4.956154 3:6.052274 4:-0.5535046 5:3.1210003 6:-0.7733103 7:2.6678736 8:-5.509119 9:-0.21152559 10:-1.6673231 11:2.4828937 12:-4.991454 13:3.0776136 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:243.6111 2:4.7937818 3:5.909414 4:-0.84891725 5:4.497126 6:-0.52168095 7:2.1639793 8:-6.168916 9:-1.096234 10:-1.9572071 11:5.1229973 12:-3.5180817 13:3.6190627 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:238.06508 2:6.012688 3:8.4803705 4:0.36252114 5:5.98543 6:-0.8593344 7:4.3325834 8:-1.9212227 9:0.8744261 10:-4.8593125 11:2.931648 12:-4.9653573 13:2.83974 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:234.00945 2:3.497135 3:5.815568 4:0.35783124 5:4.707666 6:-1.4139735 7:4.2634754 8:-1.0999207 9:1.9635838 10:-2.6611066 11:3.0064838 12:-4.2723203 13:2.3758385 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:235.30438 2:6.8338423 3:8.800568 4:-0.819417 5:2.635871 6:-2.3400087 7:3.8768418 8:-3.4104629 9:0.9040482 10:-3.9739387 11:3.885094 12:-1.9665226 13:3.7638156 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:236.04378 2:6.4880586 3:9.173484 4:0.18277751 5:4.4872446 6:-0.12752678 7:3.5684664 8:-4.39217 9:2.2709348 10:-4.6116667 11:3.1374936 12:-1.8810529 13:6.455402 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:234.74115 2:9.116273 3:10.572791 4:-0.75286263 5:6.704555 6:-0.8747058 7:3.2622128 8:-2.7437987 9:0.61141753 10:-2.9292839 11:4.6368723 12:-3.3661551 13:2.9262686 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
