1 1:221.72733 2:7.2081165 3:12.340541 4:-1.5590677 5:1.2775471 6:-2.9577389 7:5.65971 8:1.0330358 9:5.1117396 10:-2.8170106 11:5.300667 12:-5.5537286 13:2.6578698 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.68234 2:5.8973875 3:11.634034 4:-0.9830126 5:4.2228203 6:-0.01672368 7:2.1473064 8:-1.4729364 9:3.0893846 10:-1.6720854 11:6.749739 12:-1.7638476 13:3.2512648 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.63947 2:7.6488867 3:12.701683 4:-1.4602736 5:2.8646295 6:-0.03656499 7:3.1141024 8:-0.64240545 9:3.237855 10:-3.7555468 11:5.7599645 12:-1.5749582 13:4.8101883 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.29932 2:4.3586426 3:9.976556 4:1.1000117 5:3.1843028 6:-2.5866446 7:2.3755198 8:-0.5823054 9:4.67531 10:-3.110869 11:6.665531 12:-1.9217591 13:3.991538 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:226.04068 2:9.048001 3:12.1130905 4:0.55296916 5:3.3651934 6:-1.1139467 7:3.1261466 8:-1.9752536 9:4.3143606 10:-4.582047 11:4.9667974 12:-3.4999478 13:4.1862645 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:220.58376 2:6.794679 3:10.522568 4:-0.2992665 5:0.77737844 6:-2.1133456 7:4.096684 8:1.4101017 9:5.7221227 10:-3.056466 11:6.9040956 12:-0.72516084 13:4.2225957 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.41243 2:9.133127 3:13.278534 4:-0.025965957 5:0.78897184 6:-1.5457441 7:2.7843406 8:-0.4466322 9:7.044936 10:-1.9516876 11:6.449194 12:-2.6532993 13:3.832527 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.47247 2:7.3894014 3:12.606321 4:0.29946694 5:3.0457695 6:-1.7445375 7:3.5571747 8:0.22992863 9:5.483164 10:-1.8807462 11:6.0382123 12:-1.839714 13:4.428928 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.57156 2:7.1595106 3:12.680265 4:-0.5965857 5:1.561461 6:-1.8322272 7:3.1177301 8:0.6564354 9:4.3458447 10:-2.41171 11:6.7944183 12:-1.7434446 13:3.4510558 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:219.0127 2:4.728199 3:9.66285 4:-2.1153667 5:1.7751845 6:-0.78890693 7:3.1385689 8:-1.0761368 9:2.9808102 10:-2.188226 11:5.9943705 12:-1.7600322 13:4.3061113 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
