2 1:294.923 2:-9.375693 3:5.1617956 4:1.7560422 5:-1.5552385 6:-4.6442475 7:3.9093595 8:-0.2571815 9:1.6608014 10:-4.363309 11:-0.055972684 12:0.6418856 13:2.466698 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:296.23804 2:-10.088813 3:4.8792496 4:0.9946122 5:-1.3816606 6:-3.129521 7:2.784995 8:-1.0947256 9:0.46053368 10:-3.4556406 11:1.2156929 12:0.5453106 13:3.7129073 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:293.8166 2:-9.882676 3:5.179519 4:1.3180728 5:-2.0833669 6:-4.6212063 7:2.096169 8:-2.0969365 9:0.60575217 10:-3.2493691 11:1.1433566 12:0.883069 13:3.199501 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:303.8321 2:-10.306133 3:-1.029809 4:-1.2006035 5:1.1164773 6:-6.4723125 7:2.3675082 8:1.8439761 9:0.80569166 10:-1.8589752 11:2.5078523 12:-3.1770837 13:0.77672255 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:300.87708 2:-6.967006 3:4.3321066 4:-5.853917 5:-2.4029906 6:-4.6085043 7:1.5002402 8:0.35476947 9:-0.33129075 10:-1.9765363 11:1.588585 12:-2.9620087 13:-0.1471092 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:305.1557 2:-4.50043 3:8.806504 4:-5.3652296 5:-1.4177085 6:-0.29130378 7:3.821098 8:0.22609764 9:0.9250284 10:-1.6827942 11:0.76639843 12:-2.6217754 13:1.148218 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:296.86652 2:-5.286828 3:7.075845 4:-4.4399877 5:-1.9158576 6:-2.366977 7:2.645573 8:-1.9375645 9:1.2061185 10:-0.33345726 11:4.407026 12:-2.0397995 13:0.96320325 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:292.29138 2:-7.3550043 3:5.9162464 4:-5.4363394 5:-3.6046424 6:-1.8806593 7:1.288746 8:-3.1759436 9:-0.5053068 10:-2.704867 11:2.3244748 12:-2.9241164 13:0.28178588 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:299.7044 2:-6.9474244 3:6.419611 4:-6.3400097 5:-4.600496 6:-1.6669533 7:4.376669 8:0.42261815 9:2.6091754 10:-0.904938 11:1.9251091 12:-3.5451283 13:0.9420597 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:298.56543 2:-7.5513372 3:3.8239472 4:-7.04858 5:-4.6126924 6:-1.7365644 7:3.468815 8:-1.8306407 9:1.3024857 10:-1.277066 11:2.7203453 12:-2.8695812 13:1.6756535 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:303.77032 2:-9.433733 3:3.5700717 4:-6.630425 5:-2.3707006 6:-1.9199544 7:-0.8371134 8:-1.2892553 9:-0.15831627 10:-3.266968 11:4.6819572 12:-3.2834384 13:3.8466563 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:321.54846 2:-20.988148 3:-0.90848047 4:-5.3862705 5:2.0396135 6:-2.5325623 7:-3.8038945 8:0.81488496 9:0.11383362 10:-2.252382 11:4.1266804 12:-7.399996 13:1.9658667 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:298.65793 2:-4.9594364 3:3.6141896 4:-5.949394 5:-0.78233874 6:-3.1231377 7:0.88983935 8:-1.1752499 9:1.2228937 10:-3.1623316 11:3.8804233 12:-0.98267806 13:2.281694 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:307.4307 2:-9.9323 3:8.715425 4:-9.131965 5:-2.4066446 6:-0.91830045 7:-0.2655458 8:-2.178562 9:-0.41669694 10:-3.0085783 11:2.2890728 12:-3.4335809 13:0.098924175 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:312.36392 2:-6.1820574 3:3.2620986 4:-9.837243 5:-2.1681063 6:-1.729042 7:1.2391032 8:-4.2057705 9:0.36164638 10:-1.523812 11:3.846878 12:-2.6806924 13:0.005190678 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:299.83304 2:-5.395105 3:6.397724 4:-6.8636727 5:-2.021743 6:-2.1958294 7:3.507173 8:-0.95387787 9:2.1455376 10:-0.6687893 11:1.8219966 12:-3.312393 13:0.7160508 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:300.1983 2:1.725941 3:9.806833 4:-4.2019396 5:-0.4283605 6:-1.1583287 7:3.9518864 8:-1.7425648 9:2.0867078 10:-0.28903943 11:2.1872349 12:-4.9349194 13:0.44052154 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:298.92407 2:2.1851227 3:8.613561 4:-4.8333874 5:0.11122603 6:-2.2232375 7:4.2385793 8:-2.6373672 9:1.8202523 10:-1.1889626 11:3.1542614 12:-2.5442667 13:1.0106214 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:287.70218 2:-0.85483766 3:4.617742 4:-6.711113 5:-3.0606654 6:-3.7024422 7:4.5488553 8:-1.984454 9:2.2767546 10:-1.8011607 11:4.5866404 12:-0.94800526 13:1.4471843 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:303.6615 2:-8.640566 3:5.164331 4:-0.6971508 5:-3.3954892 6:-2.3815649 7:3.97493 8:-4.1396117 9:1.8769553 10:-2.7079115 11:2.401659 12:0.93791205 13:1.8251146 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:296.7054 2:-5.507113 3:5.26149 4:-2.6124802 5:-2.0303361 6:-2.704874 7:3.9505835 8:-1.7651644 9:0.80862767 10:-1.6850128 11:1.5921856 12:-0.99135333 13:0.7426293 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:284.59784 2:-1.1824933 3:6.938684 4:-4.6566 5:-1.8119967 6:-3.3475797 7:3.617768 8:-2.0735323 9:1.5183538 10:-1.031932 11:2.076111 12:-3.632178 13:0.8633237 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:278.27118 2:-1.620732 3:4.6682744 4:-5.8384056 5:-2.855164 6:-5.0401845 7:1.807843 8:-3.1489127 9:0.50963193 10:-2.9943438 11:3.367534 12:-2.663707 13:2.4531167 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:278.60248 2:-0.6246677 3:5.128408 4:-6.8143964 5:-2.4305096 6:-3.1121864 7:2.2837288 8:-5.51925 9:0.28486076 10:-1.6492025 11:4.2418313 12:-2.0894823 13:2.473334 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:277.0456 2:-2.3033 3:3.629138 4:-8.450801 5:-2.849358 6:-4.0465946 7:3.036361 8:-2.7248714 9:1.5283387 10:-3.0822735 11:1.852609 12:-2.6746345 13:1.7328861 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:276.98154 2:-1.7820306 3:4.5657926 4:-4.802566 5:-1.8225188 6:-4.118276 7:3.518082 8:-2.2649586 9:1.5921043 10:-2.2743173 11:3.767309 12:-1.6937962 13:1.7133605 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:278.33105 2:-2.8144562 3:3.298946 4:-5.1494474 5:-0.47978452 6:-2.8639638 7:3.9401498 8:-1.9334506 9:0.7016647 10:-3.281937 11:2.091986 12:-3.2840464 13:0.86600035 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:277.6606 2:-2.8138883 3:4.5483522 4:-4.81126 5:-1.3350503 6:-2.165468 7:2.8715055 8:-3.2547638 9:0.57550395 10:-2.2814128 11:3.3354783 12:-2.740842 13:0.5382144 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:278.98718 2:-1.4710953 3:6.756552 4:-4.6260095 5:-2.6751175 6:-4.4567986 7:2.3606608 8:-3.507784 9:-0.014886111 10:-2.8842099 11:2.9678907 12:-2.3578715 13:0.70978135 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:275.18677 2:-6.0005956 3:4.1468496 4:-5.0641036 5:-2.6202068 6:-2.6829066 7:1.8458332 8:-2.9980357 9:0.39826906 10:-2.6469781 11:3.0768836 12:-2.0727649 13:1.3806002 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:276.2876 2:-2.8017955 3:5.4863157 4:-3.7985332 5:-1.1384772 6:-2.963518 7:3.734594 8:-3.1649864 9:-0.3372892 10:-4.4019303 11:3.0678248 12:-2.478119 13:0.7926086 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:276.27957 2:-3.7543716 3:5.5804706 4:-1.9438875 5:-1.6989856 6:-2.3204248 7:3.9248111 8:-2.0125763 9:1.4772421 10:-2.789897 11:2.4733582 12:-3.202012 13:1.2529204 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:275.77634 2:-5.6920643 3:4.5844283 4:-1.6768862 5:-1.0093589 6:-1.3839687 7:3.099559 8:-3.474407 9:0.31691757 10:-2.8429513 11:1.9679627 12:-2.921662 13:0.8085089 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
2 1:274.03775 2:-5.991365 3:3.129154 4:-2.0087416 5:-1.4356551 6:-3.9344263 7:2.8360987 8:-3.085152 9:2.751971 10:-1.7912116 11:3.4265924 12:-3.2401495 13:-0.380761 14:108.417694 15:0.83602166 16:5.1928954 17:2.0290735 18:2.2338896 19:-0.80535275 20:1.0408002 21:-1.0630856 22:1.2041352 23:-2.4616861 24:2.0838065 25:-0.06855452 26:-0.7546155 
