2 1:261.20468 2:-9.491754 3:6.0526123 4:1.3206915 5:0.84415954 6:-4.2960835 7:1.5164157 8:-0.90565383 9:1.7543856 10:-1.2808506 11:1.6489887 12:-3.8789158 13:1.1101602 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.43988 2:-7.7594056 3:6.7812147 4:2.8333478 5:2.356702 6:-4.034621 7:2.560394 8:-2.7917004 9:0.6335117 10:-2.522762 11:2.3858888 12:-2.509381 13:1.6362052 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.46637 2:-10.134978 3:5.4720144 4:3.0818937 5:1.9299153 6:-5.464739 7:2.244492 8:-1.6866719 9:0.5981123 10:-1.4442241 11:2.3357215 12:-2.7568884 13:2.1829462 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:255.99269 2:-9.661346 3:4.2099752 4:0.4380355 5:1.4386904 6:-4.617505 7:1.5881054 8:-1.5143031 9:0.055822555 10:-1.6823443 11:2.361804 12:-3.391048 13:2.7703943 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:256.44946 2:-10.480151 3:4.1304774 4:0.4232599 5:2.0772526 6:-2.8664906 7:2.7874823 8:-0.8739069 9:2.2117898 10:-0.09691472 11:2.4011936 12:-1.8838516 13:3.1610732 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:256.9528 2:-10.085829 3:5.9860415 4:2.0993245 5:2.0625484 6:-2.7893083 7:3.5737047 8:-0.860986 9:1.1619904 10:-0.749835 11:2.040352 12:-3.0072887 13:2.8812811 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.98218 2:-10.390535 3:7.204741 4:2.7831128 5:3.4923024 6:-1.9551084 7:1.8976517 8:-0.276397 9:1.3929179 10:-1.4349467 11:0.8377113 12:-3.361328 13:3.6300979 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.66364 2:-10.221657 3:6.442256 4:1.8361833 5:2.1753695 6:-3.134461 7:1.6397023 8:-0.36964825 9:1.7707347 10:0.23202233 11:2.2935927 12:-2.9447076 13:3.1058683 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:254.6031 2:-10.487775 3:6.3444695 4:1.2587142 5:2.5608835 6:-2.482382 7:2.0939217 8:-2.3247116 9:0.8837824 10:-0.78570753 11:1.647722 12:-2.133186 13:3.1802208 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:259.83417 2:-8.229381 3:8.079956 4:1.0832838 5:1.2403506 6:-4.0480943 7:1.9497064 8:-1.9788444 9:1.7783532 10:-1.043045 11:1.7246618 12:-2.2122502 13:2.6077254 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
