1 1:277.13208 2:-10.827803 3:4.74819 4:1.2948384 5:-0.081227206 6:-2.8675127 7:3.7722132 8:0.0012108451 9:0.96961635 10:-3.8931828 11:-2.1166556 12:-3.6019835 13:1.9263935 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:295.56873 2:-4.756058 3:7.1434054 4:-4.185984 5:-4.133587 6:-2.2289405 7:3.0269604 8:-2.7077625 9:2.549446 10:-0.9056219 11:1.7072809 12:-1.0018163 13:3.3274107 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:295.01044 2:-3.371631 3:14.566682 4:-0.29000148 5:2.39739 6:-0.50375783 7:5.777648 8:0.77259517 9:3.1722655 10:-1.4637191 11:2.5137932 12:-2.0204532 13:2.873482 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:276.2755 2:-8.397503 3:12.138413 4:3.433152 5:2.924063 6:-0.22095612 7:4.0444407 8:0.9127983 9:1.8036555 10:-1.3404399 11:3.6901805 12:-3.0224469 13:2.614626 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:302.47873 2:-14.204275 3:0.73211336 4:3.6831965 5:1.5818932 6:-4.879753 7:2.9544961 8:-1.8743035 9:2.2970562 10:-1.6158073 11:1.018452 12:-3.4437366 13:-0.014362021 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:280.2046 2:-13.358404 3:3.1109347 4:3.6710393 5:3.286108 6:-3.2942894 7:2.3358564 8:-1.1905898 9:1.2328653 10:-2.4442685 11:2.036145 12:-2.6299896 13:1.0433527 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:264.4267 2:-10.460889 3:7.5540648 4:3.7876008 5:4.524145 6:-2.488678 7:0.8471303 8:-2.0637095 9:-0.35164112 10:-3.3061209 11:1.0121934 12:-2.6524625 13:2.0731006 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:260.80963 2:-11.281205 3:7.0381975 4:3.1321537 5:3.2881598 6:-1.5254005 7:2.2048814 8:-2.6683092 9:0.4446564 10:-3.0695448 11:0.75747013 12:-3.5195892 13:1.278374 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:262.67697 2:-9.91857 3:6.17871 4:1.8488213 5:1.5851153 6:-2.2966878 7:2.3964956 8:-2.8114953 9:-0.0807993 10:-3.877232 11:0.9569148 12:-2.9249592 13:1.2532914 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:273.4474 2:-10.10139 3:5.218951 4:1.9777931 5:-0.5521802 6:-4.278114 7:3.7146676 8:-1.3065698 9:1.4842229 10:-3.1219246 11:0.39303797 12:0.5424741 13:2.838221 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:272.05984 2:-9.345264 3:6.030285 4:1.6996733 5:-1.3280135 6:-5.3039117 7:1.4966797 8:-2.811176 9:0.5204801 10:-3.2869267 11:1.6150457 12:-0.23691025 13:0.9331413 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:271.07874 2:-8.224848 3:6.342242 4:1.8602704 5:-1.5908128 6:-3.0200121 7:1.9981009 8:-3.8322194 9:1.3691877 10:-3.9704938 11:0.8678148 12:-0.6934657 13:1.9596262 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:307.2833 2:9.787367 3:12.666968 4:-3.7781181 5:1.3146567 6:-3.4183629 7:6.673141 8:-2.584605 9:2.847836 10:-2.762965 11:1.989307 12:-1.9876221 13:1.1440881 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:292.8329 2:4.0292873 3:13.337381 4:0.6470597 5:1.8114566 6:-1.6285152 7:5.8649616 8:-0.56553245 9:3.9699702 10:-2.6514454 11:2.4162033 12:-2.598752 13:1.9227722 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:274.00043 2:-6.4387302 3:4.01142 4:-1.6439803 5:1.7747759 6:-1.8412375 7:2.948284 8:-3.4205463 9:2.3805048 10:-1.9752381 11:2.7252023 12:-1.6467178 13:0.017651115 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:264.4359 2:-7.193109 3:7.4978266 4:0.99213874 5:2.3983767 6:-1.6221216 7:2.8307693 8:-2.4680846 9:-0.3810208 10:-3.4283724 11:0.45355538 12:-3.4547246 13:0.41383564 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:275.46002 2:-2.876585 3:6.3424134 4:-2.1635807 5:2.0761428 6:-3.3175595 7:3.5030704 8:0.21968424 9:1.007641 10:-3.0676045 11:2.235044 12:-3.3257911 13:1.9932939 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:264.63596 2:-7.9685726 3:6.1673837 4:-2.051298 5:-0.1718963 6:-3.022938 7:3.3503633 8:-0.4102428 9:-0.23850793 10:-2.668406 11:2.0066323 12:-2.1776233 13:2.5299428 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:261.74658 2:-7.311771 3:5.080737 4:-0.5729333 5:3.5307155 6:-1.4885721 7:2.5049746 8:-1.3606251 9:0.77517474 10:-3.0949774 11:-0.0826642 12:-3.785008 13:2.3112469 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:261.65802 2:-9.157958 3:4.5832205 4:-1.2465903 5:0.28111136 6:-3.446297 7:3.5702522 8:-1.904697 9:-0.444024 10:-3.2536495 11:0.5316388 12:-2.7435012 13:2.6226602 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:260.79617 2:-10.800411 3:4.8508806 4:-0.7774634 5:1.6795294 6:-2.0532851 7:1.49971 8:-2.0080323 9:0.2388766 10:-2.9778013 11:1.0592691 12:-0.6753265 13:1.9478168 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:264.84528 2:-11.520082 3:4.0767236 4:-1.0435199 5:1.7534353 6:-0.81676054 7:3.1943681 8:-0.5447656 9:0.43662426 10:-1.8381342 11:2.5158257 12:-0.63633424 13:2.865144 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:265.52225 2:-9.105667 3:5.704701 4:-0.21490394 5:3.1086516 6:-0.6488341 7:4.321583 8:-0.2968874 9:0.8122271 10:-3.7806144 11:-0.7646566 12:-2.430359 13:2.119685 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:265.33405 2:-8.316405 3:5.704658 4:-1.3714072 5:1.9971074 6:-0.8668074 7:3.8220906 8:-0.1540813 9:1.7405735 10:-2.749284 11:-0.0065889307 12:-3.558922 13:1.3299912 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:263.9265 2:-7.763712 3:6.2189603 4:-0.7434252 5:2.58115 6:-2.1368053 7:2.4848547 8:-1.2298493 9:0.17743514 10:-4.08887 11:0.40185687 12:-2.3311605 13:1.3083181 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:265.12268 2:-7.2021594 3:6.8396597 4:-0.58444005 5:1.3697131 6:-2.5721831 7:1.5571185 8:-0.8492295 9:-0.031622972 10:-4.2926064 11:0.46603373 12:-1.7250079 13:3.3708067 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:266.52426 2:-8.023862 3:5.9573975 4:0.4198123 5:1.3048997 6:-2.3076859 7:2.429113 8:-1.6676254 9:0.22751124 10:-1.5119413 11:3.48444 12:-1.0201182 13:3.226095 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:272.74158 2:-3.4624326 3:9.878298 4:0.74074656 5:2.1190305 6:-0.9385773 7:4.203226 8:-0.7056854 9:2.8302462 10:-0.75277764 11:2.8907325 12:-3.3046088 13:1.0245256 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:277.9912 2:-2.96227 3:7.557021 4:-0.5271883 5:0.7803779 6:-1.8112154 7:5.5488615 8:-1.4315183 9:1.6999937 10:-0.064637765 11:3.7527163 12:-2.6591637 13:1.2574501 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
