1 1:281.19284 2:-1.1549807 3:8.869174 4:0.46790996 5:-0.2590681 6:-6.2760997 7:1.6151662 8:-1.9194235 9:0.9572808 10:-1.8437884 11:3.2572165 12:-4.1914644 13:1.4566698 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:282.44894 2:-0.4315423 3:7.6742344 4:0.10637657 5:0.5090513 6:-6.5688725 7:2.1810925 8:-1.0608846 9:2.4641955 10:-2.9198096 11:2.214679 12:-2.1968136 13:2.8598185 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:279.30945 2:-0.6652527 3:8.788912 4:0.102649555 5:0.81217253 6:-6.196184 7:2.0437841 8:-1.0801374 9:2.1735857 10:-1.8507658 11:2.0613415 12:-3.7414398 13:1.0487263 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:278.71625 2:-0.7400856 3:9.104507 4:0.5446983 5:1.216051 6:-6.1750727 7:1.8827306 8:-2.2558827 9:3.3244424 10:-1.8630887 11:2.0747116 12:-3.1643496 13:1.281187 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:276.32718 2:-2.2545173 3:7.6528873 4:-0.036887698 5:1.7477823 6:-5.5670366 7:2.024961 8:-1.0712466 9:2.6025236 10:-0.45778143 11:2.3086627 12:-4.3757305 13:0.83885235 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:273.5031 2:-2.0804515 3:7.1084266 4:1.0603229 5:2.6449678 6:-4.6668854 7:1.9374862 8:-1.9459194 9:1.5403552 10:-2.3173947 11:2.1627126 12:-3.6455877 13:1.1769997 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:281.0852 2:0.85409814 3:9.564836 4:1.1879085 5:2.4348357 6:-5.547915 7:2.018507 8:-1.1000783 9:2.8535848 10:-1.7281702 11:2.1929264 12:-3.849585 13:2.3003125 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:276.06763 2:-0.9194281 3:8.45559 4:-0.046167806 5:0.95844376 6:-6.4000087 7:1.8838549 8:-1.2323529 9:3.0595834 10:-1.5431154 11:2.4888518 12:-4.323765 13:1.0441636 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:272.0792 2:-2.49154 3:6.9140706 4:1.4938693 5:1.831472 6:-5.5705624 7:0.7669381 8:-1.3323503 9:4.332842 10:0.49004713 11:2.8978322 12:-4.349118 13:0.6914669 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:275.5518 2:-2.0315683 3:5.712991 4:0.4628675 5:4.3194394 6:-3.0385852 7:1.5335006 8:-3.255131 9:0.7321371 10:-0.3718814 11:2.8608916 12:-3.8686855 13:1.9458268 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
