2 1:272.8717 2:-5.7029824 3:5.234353 4:-0.89340436 5:1.7942569 6:-1.9994019 7:1.3038325 8:-3.6532156 9:1.7853686 10:-1.5881251 11:1.613134 12:-4.3979373 13:0.102116324 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:265.2392 2:-7.2505264 3:6.828803 4:-0.28492638 5:-0.030009365 6:-2.6993887 7:1.3342166 8:-2.4809997 9:2.0255244 10:-1.4146004 11:2.0560203 12:-2.8649263 13:1.1237111 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:263.63373 2:-8.019831 3:4.0382314 4:-2.0432162 5:0.6234063 6:-3.1991076 7:2.1000097 8:0.11701062 9:3.2397363 10:-1.7336196 11:2.0965483 12:-1.9629527 13:2.7066696 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:260.28918 2:-8.624119 3:4.7802505 4:0.55492055 5:3.1319492 6:-2.0678287 7:1.8273562 8:-1.9625088 9:0.31984246 10:-3.0293157 11:0.9288067 12:-2.2320952 13:1.9166143 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:264.6986 2:-6.9636154 3:5.4305525 4:0.72079587 5:0.12290296 6:-3.779605 7:3.26707 8:-1.8218638 9:2.8549376 10:-0.27725995 11:4.178601 12:-0.34361 13:0.6931873 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:265.42395 2:-6.6020694 3:7.1141243 4:0.3533571 5:0.7524911 6:-1.7494056 7:4.173458 8:-1.8503042 9:1.3573246 10:-3.1884706 11:1.2929077 12:-2.8287609 13:-0.6668391 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:258.63266 2:-9.067154 3:6.0407686 4:-0.57642865 5:2.101427 6:-2.9323847 7:1.0361081 8:-2.4318175 9:0.26769704 10:-1.7952617 11:1.986389 12:-1.3641804 13:2.216239 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:273.7087 2:-4.4312053 3:4.1790566 4:-6.996061 5:-0.8825937 6:-2.0042775 7:2.9323492 8:-0.3269624 9:1.1911638 10:-2.2059014 11:0.5129194 12:-3.9205918 13:2.392966 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:307.94476 2:-7.1126385 3:4.8986106 4:-5.9762235 5:1.1128176 6:-0.32324424 7:1.4540126 8:-0.3973483 9:2.663995 10:-4.403053 11:-2.909104 12:-2.9551158 13:1.7443789 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:297.18027 2:-7.159042 3:7.1063404 4:-4.68231 5:2.4765248 6:1.5976576 7:2.9461462 8:-0.48830327 9:1.99078 10:-4.8588142 11:-1.4833857 12:-2.3674426 13:1.6495284 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
