2 1:262.0222 2:-9.445421 3:3.437912 4:1.5535681 5:2.601773 6:-3.6199267 7:2.991822 8:-1.8472455 9:2.1962767 10:0.20813884 11:2.8884296 12:-3.3666604 13:2.5155928 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:260.78165 2:-12.488147 3:0.93030274 4:-0.917186 5:-0.053961262 6:-5.6452713 7:1.9693793 8:-0.14559774 9:1.9837723 10:0.2661088 11:3.5015328 12:-3.1692626 13:2.0572746 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.6303 2:-9.48393 3:4.2438016 4:1.0809809 5:2.3506536 6:-3.4148862 7:2.705543 8:-0.12316802 9:2.5759254 10:0.9557111 11:3.0700648 12:-4.124349 13:1.3954189 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.3914 2:-10.078903 3:3.5034246 4:1.9590809 5:1.9956276 6:-4.8677635 7:2.5767562 8:0.44446483 9:1.9622035 10:0.7337128 11:4.5561085 12:-4.202858 13:1.4840866 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.37198 2:-11.222568 3:3.0844247 4:0.2491917 5:-0.7435719 6:-7.1934404 7:0.59696794 8:-1.7376374 9:1.1061287 10:0.9627915 11:3.1412978 12:-3.4962745 13:1.9096304 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:263.1781 2:-9.763713 3:4.1312046 4:0.43991882 5:1.0103065 6:-4.4270263 7:1.3806537 8:-1.7285125 9:0.6201377 10:0.28019914 11:3.3114078 12:-3.2942362 13:2.7247448 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.12482 2:-10.422187 3:4.309715 4:2.1144867 5:1.5990394 6:-5.3380027 7:2.8771496 8:-0.83539975 9:1.2967036 10:0.09424032 11:2.6178596 12:-3.7241492 13:2.0951972 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.36288 2:-10.129692 3:3.077496 4:-0.18272237 5:0.06398552 6:-6.1095552 7:2.1768477 8:-1.5245961 9:2.1639879 10:0.36938214 11:3.0893166 12:-4.5699863 13:-0.60377425 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.2807 2:-8.489058 3:4.4179387 4:2.026494 5:1.8617684 6:-6.321788 7:2.374643 8:-0.77323914 9:2.3722754 10:0.84135646 11:2.7789495 12:-5.309739 13:1.3287948 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:258.96133 2:-11.303891 3:2.1490407 4:0.7625244 5:1.5392308 6:-4.684736 7:3.0326612 8:0.047334217 9:2.425098 10:0.49106306 11:2.3599086 12:-4.361607 13:1.3224944 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:261.84094 2:-8.852533 3:4.6218567 4:1.8118188 5:0.97010803 6:-5.6543326 7:3.4752715 8:-1.1541785 9:0.92146945 10:0.099240415 11:3.2117145 12:-4.574003 13:1.0840205 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:262.98486 2:-9.362202 3:3.718808 4:2.6300385 5:2.4127228 6:-5.4692006 7:2.6560078 8:-1.8005129 9:0.8424012 10:-0.47843993 11:4.320722 12:-3.281929 13:1.4435536 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:258.4407 2:-11.35556 3:1.3760431 4:1.7506998 5:2.1603656 6:-5.771227 7:3.229143 8:-1.3582348 9:0.88422513 10:-1.1723686 11:3.224741 12:-2.197107 13:2.1235437 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:260.14365 2:-9.688796 3:5.1641326 4:3.432025 5:1.3537788 6:-7.4006414 7:2.1222484 8:-1.213528 9:1.2818602 10:0.019539945 11:4.2316294 12:-2.8019788 13:2.4070404 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:264.16507 2:-6.765015 3:7.57925 4:3.9055874 5:3.29368 6:-5.872992 7:2.6325092 8:-2.3372579 9:1.0255017 10:-0.55125 11:3.3945336 12:-2.9338253 13:1.7668618 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:265.72443 2:-6.7246037 3:4.3786283 4:1.8128078 5:2.5761497 6:-4.561465 7:3.1389306 8:-1.4097452 9:1.4872189 10:-0.49698856 11:3.541471 12:-2.2998867 13:3.0392795 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:272.80444 2:-4.6425176 3:5.9462614 4:1.1841156 5:5.052386 6:-2.8655586 7:4.2239337 8:-1.2788861 9:1.1138127 10:-1.2356108 11:4.061665 12:-2.0487678 13:3.2696388 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:265.78235 2:-6.3249006 3:6.60798 4:3.258427 5:5.351357 6:-4.4073396 7:4.2315903 8:-1.4554393 9:1.1212162 10:0.42655942 11:4.809822 12:-2.6177938 13:2.2276695 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:263.0087 2:-7.783091 3:4.517148 4:3.4381382 5:4.9323997 6:-5.250405 7:2.8562837 8:-0.2766962 9:0.98837036 10:0.4549588 11:4.465333 12:-2.9943683 13:1.5301176 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:266.3408 2:-9.807742 3:5.206684 4:0.84942555 5:2.054967 6:-2.4314673 7:3.7467701 8:1.2802155 9:0.37853003 10:1.5747358 11:3.5535421 12:-3.2225094 13:3.5450926 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
