2 1:273.31912 2:-5.637425 3:4.3112445 4:-3.2649677 5:-0.9513364 6:-3.1511388 7:4.187653 8:-1.6637841 9:0.6955297 10:-1.4701116 11:3.2879248 12:-2.5678716 13:1.6332794 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:274.94467 2:-6.0645576 3:5.5831337 4:-0.025071185 5:0.26557246 6:-5.57433 7:2.805603 8:-1.3235179 9:0.9180676 10:-3.1916273 11:0.3641082 12:-2.9315438 13:2.0152674 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:280.59598 2:-4.821879 3:5.840635 4:0.44693813 5:-0.35460052 6:-4.132765 7:2.7825103 8:-2.2727594 9:2.4081306 10:-1.7113917 11:1.4004034 12:-1.6752219 13:3.950142 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:279.72058 2:-5.6803555 3:6.7515087 4:1.2090746 5:0.3958339 6:-3.2043931 7:3.8092628 8:-3.7608933 9:0.47161892 10:-1.407739 11:1.5015371 12:-2.4923732 13:2.313457 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:295.51395 2:-5.8048444 3:6.897274 4:0.66962403 5:-0.09936938 6:-2.5461068 7:1.6032628 8:-2.9926414 9:2.4913983 10:-3.1573524 11:-1.6394947 12:-0.23995714 13:1.9747038 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:307.65833 2:0.84351456 3:12.535751 4:0.60370785 5:-1.8164628 6:-2.0838616 7:2.3919551 8:-3.3918405 9:2.2533789 10:-4.111711 11:0.1341945 12:0.5896878 13:2.1179378 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:272.96613 2:-2.5165946 3:6.1013494 4:1.1943269 5:2.0728683 6:-6.013775 7:2.5890858 8:-2.2416139 9:2.0262322 10:-0.9786218 11:2.4309404 12:-4.437289 13:2.0168822 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:268.14285 2:-5.3009796 3:3.6473267 4:-0.8134845 5:3.0172148 6:-4.7711234 7:1.9497774 8:-2.4171028 9:0.26089108 10:-2.842495 11:2.327565 12:-3.2998502 13:0.5337101 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:265.36545 2:-6.446611 3:5.414267 4:-0.99593323 5:0.24052379 6:-6.609866 7:0.17827027 8:-3.2144983 9:0.38803884 10:-0.9766661 11:2.130535 12:-4.220726 13:-0.22126377 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:266.24 2:-7.839999 3:6.3019333 4:2.5178602 5:2.7175322 6:-4.2669373 7:2.812194 8:-1.2223599 9:2.3436463 10:0.47235674 11:3.9492612 12:-1.6075763 13:0.50035936 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
