2 1:256.36435 2:-11.843458 3:3.5199785 4:1.7572261 5:3.124625 6:-1.4720955 7:3.530684 8:-0.74797255 9:2.2334094 10:-0.7169984 11:2.3173957 12:-4.4261556 13:0.2867467 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:259.28217 2:-12.133555 3:2.49734 4:0.5917454 5:1.9054717 6:-2.5349097 7:4.304984 8:-1.8165315 9:1.1282083 10:-1.0789354 11:1.5161703 12:-3.4184606 13:1.9279734 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:260.00226 2:-12.16673 3:3.7267282 4:0.46686694 5:4.022912 6:-3.0240908 7:4.5447607 8:1.4329088 9:2.2288954 10:0.591954 11:2.125743 12:-1.8376755 13:2.283356 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.52106 2:-12.639243 3:2.8082945 4:0.8023376 5:3.4622886 6:-3.580824 7:2.6069317 8:-0.28536454 9:2.6796427 10:0.50938296 11:2.7068481 12:-1.6040987 13:2.2340422 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.7368 2:-10.255968 3:4.1428246 4:-0.14171612 5:1.4687676 6:-3.4943547 7:2.0752804 8:-1.912489 9:1.510003 10:-0.3030745 11:2.6240368 12:-1.6067291 13:2.4072394 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:270.95267 2:-5.746789 3:4.7206206 4:-4.1986403 5:-1.8012154 6:-4.29526 7:3.1486373 8:-1.6359668 9:3.9469883 10:-0.3845697 11:1.9945904 12:-3.553057 13:-0.61654586 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:261.68347 2:-6.684325 3:5.7454457 4:-0.6916317 5:0.103241965 6:-3.7888134 7:2.7044854 8:-0.52621204 9:2.331593 10:-1.9313656 11:0.9701756 12:-4.1308126 13:2.071893 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:263.12082 2:-7.57404 3:5.015605 4:-0.9487452 5:0.72184676 6:-4.541542 7:2.0196323 8:-1.0659125 9:2.4319136 10:-1.2404908 11:1.0327327 12:-2.9534342 13:3.1765063 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:265.7637 2:-6.764454 3:5.0145807 4:-2.7952962 5:0.2307411 6:-3.3667946 7:2.8622286 8:-0.8538658 9:0.31632692 10:-1.8694642 11:1.2126529 12:-3.08875 13:2.2947972 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:265.31546 2:-5.8717093 3:5.119555 4:-3.3610194 5:1.1368424 6:-3.3077662 7:2.9586148 8:-1.963559 9:0.9342829 10:-0.47666836 11:2.0388062 12:-1.619376 13:3.0117595 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:261.86646 2:-8.856484 3:4.984929 4:-1.3108846 5:0.82898915 6:-2.7580228 7:3.4299655 8:1.1189545 9:1.8869666 10:-0.46098354 11:2.652452 12:-1.7484478 13:3.6193337 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:260.7386 2:-7.6646433 3:6.1277676 4:-0.47890896 5:1.0366988 6:-3.2633247 7:3.2106776 8:-0.5675504 9:1.577358 10:0.40773472 11:3.2175527 12:-3.0071375 13:3.44833 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:258.95712 2:-8.845942 3:5.5070047 4:0.84584963 5:1.7706938 6:-2.979442 7:4.152513 8:-1.3591722 9:0.66037315 10:-0.7421552 11:1.5423063 12:-4.5213976 13:2.137952 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:261.27176 2:-8.168812 3:4.8570094 4:0.81227636 5:1.9113144 6:-4.5808992 7:3.0088365 8:-0.25808823 9:0.9646103 10:-1.663197 11:2.8594902 12:-3.699685 13:2.2943556 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:258.79565 2:-11.351009 3:5.4757676 4:2.8293254 5:2.5816803 6:-3.4171045 7:4.176184 8:0.4376455 9:1.815215 10:0.256747 11:3.1284306 12:-3.5992815 13:1.674053 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:265.92734 2:-5.3585515 3:5.7914615 4:0.6277932 5:2.3673913 6:-3.8563628 7:3.3182445 8:-0.8560914 9:0.7648597 10:-0.48732504 11:2.4956875 12:-2.2426817 13:3.6090782 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:262.3725 2:-7.577413 3:6.3262086 4:0.52712417 5:3.9568346 6:-2.661398 7:3.7635555 8:-1.0049378 9:0.7820646 10:-1.271809 11:2.4999912 12:-2.3566818 13:3.3509185 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:259.4112 2:-9.218142 3:5.998811 4:0.87164193 5:2.7134216 6:-2.4060674 7:3.420599 8:-0.5874512 9:1.7301168 10:-1.0911745 11:1.3197019 12:-3.6725488 13:1.2630888 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
