1 1:261.45087 2:-4.7777944 3:10.282334 4:-1.301811 5:2.4693906 6:-0.27806118 7:3.3721893 8:-1.0180455 9:2.0423443 10:-1.4782647 11:1.9033502 12:-2.0340211 13:3.130874 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:260.91843 2:-6.751042 3:8.030679 4:-2.69285 5:1.7662578 6:-0.61838263 7:3.192009 8:-0.7303941 9:1.9249433 10:-1.153652 11:3.7431123 12:-1.556732 13:1.7747787 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:261.8286 2:-7.6195436 3:6.735018 4:-3.0012078 5:-0.088084176 6:-0.51765627 7:3.1714313 8:-1.5640074 9:3.670675 10:-1.427891 11:1.668261 12:-0.8240799 13:1.4220023 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:264.94385 2:-4.689172 3:7.443151 4:-0.78840303 5:2.8145773 6:-2.417115 7:3.0669837 8:-2.2130678 9:1.8218088 10:-4.07272 11:0.27225733 12:-1.9112049 13:2.1069093 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:273.07385 2:-8.96189 3:4.0046983 4:3.440721 5:0.994334 6:-4.1375055 7:2.132199 8:-3.5439246 9:4.1605 10:-4.0457225 11:-0.57216215 12:0.048222985 13:3.9639118 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:259.62088 2:-6.588903 3:8.765498 4:-1.7055516 5:1.0380324 6:0.052513186 7:3.1248398 8:-1.8003575 9:1.2354993 10:-1.3723321 11:3.0431647 12:-1.6783807 13:1.6239736 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:264.47748 2:-1.9303358 3:10.490017 4:-0.64742047 5:2.8295028 6:-1.9203244 7:1.8140594 8:-2.2659674 9:0.84297955 10:-2.9046957 11:2.0975516 12:-1.9812967 13:0.99133 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:264.3467 2:-2.0127344 3:9.935872 4:-1.0882009 5:3.1817966 6:-1.2495384 7:1.6626232 8:-1.815026 9:1.9490823 10:-2.0018241 11:2.8401835 12:-3.0398543 13:1.8587534 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:264.68768 2:-2.283568 3:8.681178 4:-2.0119472 5:2.5987413 6:-2.9396489 7:0.36720923 8:-2.7456267 9:0.87394 10:-1.9609013 11:3.4758844 12:-1.7518117 13:1.1494519 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:262.03665 2:-2.8550303 3:10.261412 4:-2.2011766 5:2.041638 6:-2.3670056 7:2.4975224 8:-1.289443 9:1.9254893 10:-0.45474243 11:3.4812925 12:-0.57816327 13:2.4891784 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:261.7746 2:-3.5924106 3:9.899085 4:-1.8239528 5:0.84675497 6:-2.3257487 7:2.2650876 8:-1.675439 9:1.8552951 10:-1.4368445 11:1.5069265 12:-2.1727617 13:2.9468906 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:262.47794 2:-4.1455216 3:7.757903 4:-2.792783 5:0.82443357 6:-3.5924513 7:1.6871244 8:-1.621663 9:1.966733 10:-1.9764338 11:2.3882391 12:-1.7016592 13:2.152848 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:261.2916 2:-3.5497198 3:8.931325 4:-1.8624656 5:1.3732572 6:-2.2015328 7:2.3975365 8:-0.8909087 9:1.7234983 10:-2.9962099 11:2.4035792 12:-1.256523 13:2.6862128 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:260.35883 2:-2.3345184 3:11.033377 4:-2.9121642 5:0.21964696 6:-3.6076753 7:1.2630558 8:-1.6398665 9:2.1344202 10:-2.0664053 11:3.865163 12:0.21984626 13:3.1292882 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
