1 1:272.59387 2:-12.62507 3:9.254879 4:2.1048326 5:1.2646505 6:-3.5450873 7:-0.9410813 8:-2.6821985 9:-0.4581251 10:-2.7305698 11:-0.27024588 12:-2.617185 13:0.0013233831 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:276.86572 2:-11.762891 3:12.176854 4:1.3526057 5:-1.318621 6:-4.3554955 7:-0.24618791 8:-2.3155472 9:0.8635985 10:-1.5656269 11:-0.34374744 12:-0.8804668 13:0.5964009 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:286.02792 2:-13.663911 3:13.1979 4:2.186579 5:-2.7825966 6:-4.4681916 7:0.8423141 8:-3.9025273 9:-0.60711515 10:-1.580624 11:0.30532965 12:1.3246359 13:1.2982099 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:303.80072 2:-13.926739 3:1.7549973 4:-4.2190604 5:-0.9601351 6:-4.2844424 7:-0.33050713 8:-2.2731938 9:1.7192001 10:-0.8657332 11:0.89289093 12:-0.61417204 13:-2.7758174 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:286.4521 2:-12.728984 3:3.6945567 4:-3.5202303 5:1.2133524 6:-3.5045984 7:0.31254 8:-2.5685375 9:0.290636 10:-1.2775109 11:-1.5264612 12:-2.6850884 13:-2.6601887 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:262.36935 2:-10.548824 3:7.3206897 4:0.8195665 5:1.7896394 6:-3.5637817 7:0.52365535 8:-2.5025334 9:0.50371915 10:-1.6139544 11:1.3351868 12:-3.899758 13:0.7250319 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:257.15402 2:-13.0244875 3:3.5541062 4:0.28283513 5:1.566967 6:-3.7736962 7:2.028164 8:-1.0522337 9:1.3731977 10:-1.4900078 11:3.1112313 12:-0.44455916 13:3.5315623 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:256.26733 2:-12.323919 3:5.7331233 4:1.154158 5:2.5667067 6:-3.1184235 7:1.6958904 8:-2.2855146 9:-0.5278108 10:-1.6624602 11:1.4868851 12:-3.7369764 13:0.3446118 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:258.09583 2:-12.500727 3:4.0686555 4:-1.4338844 5:1.9466487 6:-2.3460977 7:0.13017817 8:-3.4461515 9:-1.5349625 10:-2.095441 11:4.689328 12:-0.289108 13:1.3683808 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:262.1964 2:-9.670131 3:4.1163197 4:-0.18865319 5:4.9434524 6:-2.0797243 7:-0.424471 8:-4.2484846 9:-2.3411722 10:-1.5510075 11:6.169015 12:0.34960672 13:0.898886 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
