2 1:314.26614 2:5.5007834 3:10.387369 4:-0.9143862 5:-0.95368797 6:-1.1360961 7:5.317264 8:-2.9739988 9:3.5286505 10:-2.591259 11:3.5568285 12:-1.7199239 13:1.199641 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:302.92505 2:3.376559 3:12.077436 4:-0.24674147 5:1.1639563 6:-0.58797395 7:6.866653 8:-1.2999387 9:4.671179 10:-2.16647 11:3.535496 12:-2.343399 13:1.5870668 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:279.50204 2:-10.92104 3:9.126445 4:2.1338418 5:-0.63994116 6:-0.028746378 7:3.3788962 8:-0.61059976 9:1.3436003 10:-3.583546 11:1.0620507 12:-3.3866 13:3.1604548 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:282.59753 2:-11.365145 3:8.79935 4:0.42390534 5:-0.3216128 6:-1.6324855 7:-0.54906046 8:-2.1669378 9:1.8602344 10:-2.577668 11:0.9478968 12:-1.8504761 13:2.7870145 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:284.1029 2:-13.697283 3:8.744804 4:1.2866226 5:1.4916097 6:-1.0370002 7:1.0171267 8:-0.95932513 9:2.4555871 10:-2.2754385 11:0.7221385 12:-2.6302764 13:0.9575619 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:282.6953 2:-13.76897 3:7.6149154 4:2.0172415 5:3.3441753 6:-0.7092747 7:1.541174 8:1.3326128 9:1.2767842 10:-2.837964 11:1.4786395 12:-2.529844 13:0.8480442 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:283.3217 2:-13.003241 3:8.189596 4:1.7903264 5:-0.22014832 6:-2.0718508 7:-0.2594763 8:-2.2265656 9:1.018606 10:-3.581285 11:0.28003347 12:-3.0677404 13:0.430236 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:277.53247 2:-11.233685 3:5.72229 4:-0.13892901 5:0.20588163 6:-2.0679295 7:1.3993111 8:-1.4301296 9:2.764507 10:-1.4721062 11:0.032519884 12:-4.630464 13:1.0038443 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:298.75397 2:3.2754405 3:6.6063933 4:-5.74904 5:2.0187426 6:0.8778376 7:2.6199667 8:-5.284562 9:-0.3845347 10:-4.9093504 11:1.1564919 12:-5.829288 13:0.13217579 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:295.74265 2:2.289572 3:8.38777 4:-3.104971 5:2.3772495 6:-0.0357734 7:4.7883925 8:-4.472869 9:-0.4300095 10:-4.2173657 11:0.5374708 12:-6.2718663 13:-1.318955 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
