2 1:201.11508 2:-9.248 3:2.851929 4:-1.2490544 5:0.4901431 6:-9.258418 7:-1.4043112 8:-2.6059272 9:1.845956 10:-0.23718041 11:3.1470954 12:-1.5311614 13:4.3517036 14:201.11508 15:-9.248 16:2.851929 17:-1.2490544 18:0.4901431 19:-9.258418 20:-1.4043112 21:-2.6059272 22:1.845956 23:-0.23718041 24:3.1470954 25:-1.5311614 26:4.3517036 
2 1:266.42944 2:-6.756805 3:3.8233092 4:-0.14479813 5:0.59614944 6:-7.044503 7:0.9907208 8:-2.8055358 9:0.31227803 10:0.04277102 11:3.479811 12:-2.582767 13:3.4166183 14:266.42944 15:-6.756805 16:3.8233092 17:-0.14479813 18:0.59614944 19:-7.044503 20:0.9907208 21:-2.8055358 22:0.31227803 23:0.04277102 24:3.479811 25:-2.582767 26:3.4166183 
2 1:270.62024 2:-8.704623 3:6.951008 4:1.7331444 5:0.6955124 6:-5.4030285 7:0.49199197 8:-0.7804951 9:2.6273565 10:-0.13941792 11:3.4689639 12:-0.6465866 13:2.9192572 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:272.47028 2:-6.75592 3:7.487807 4:2.8736236 5:1.420239 6:-5.202422 7:1.5749083 8:-1.3560913 9:3.2080836 10:-1.7799981 11:1.1522254 12:-1.7167764 13:1.4973104 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:273.58817 2:-9.399415 3:5.108533 4:-0.9357767 5:-1.5496051 6:-6.2335067 7:1.0174047 8:-2.6966546 9:0.20884416 10:-2.399163 11:-0.12348853 12:-2.3887181 13:0.9623569 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:268.0495 2:-8.851033 3:6.838886 4:0.9876447 5:-0.26116532 6:-5.848427 7:1.7017205 8:-0.5602798 9:3.0564866 10:1.6139456 11:2.086148 12:-1.7665557 13:2.0934215 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:268.40863 2:-8.114448 3:7.12916 4:3.5164175 5:0.68839633 6:-7.0219007 7:0.214101 8:-1.6890664 9:1.9107438 10:-1.0765066 11:3.4245086 12:-0.018006086 13:1.9836758 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:270.771 2:-11.454634 3:4.949425 4:0.43071318 5:-1.9858052 6:-7.2119503 7:1.6803768 8:-2.5816872 9:0.4641506 10:-0.8160544 11:1.7767804 12:0.679852 13:1.6085299 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:268.48453 2:-9.314075 3:4.498985 4:2.2378907 5:1.5549536 6:-4.503478 7:2.7431784 8:-3.3013475 9:1.8135993 10:0.19413386 11:3.3396573 12:-1.2126718 13:0.84289074 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:269.58188 2:-11.218872 3:5.819657 4:2.8671043 5:1.1627053 6:-4.058521 7:2.784643 8:-1.3908617 9:3.2464104 10:1.1342188 11:2.6805882 12:0.41833287 13:0.69156456 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:263.6042 2:-9.916564 3:3.1329415 4:0.38983178 5:0.60998183 6:-5.3818917 7:3.169134 8:-0.20314355 9:3.8939853 10:1.8543512 11:3.7912605 12:-2.3669226 13:0.5313166 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:269.34467 2:-6.137078 3:5.2985806 4:0.91385263 5:0.75200206 6:-6.7539806 7:1.7366782 8:-1.6620729 9:3.7346635 10:1.6207752 11:2.6537502 12:-1.8300534 13:0.71979666 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:264.631 2:-7.2487054 3:5.5016384 4:0.36411986 5:1.5542004 6:-7.3199315 7:1.295345 8:-0.33002275 9:3.5155494 10:2.036814 11:4.1595807 12:-2.408758 13:2.8170002 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:266.00436 2:-9.203664 3:4.493769 4:-1.732055 5:-1.742908 6:-5.99269 7:1.9526772 8:-0.8568314 9:0.7958354 10:-0.1048685 11:4.1837044 12:-1.4265445 13:1.197783 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:264.31445 2:-10.09042 3:4.6648474 4:0.6342153 5:0.74328804 6:-4.6323376 7:1.9314677 8:-2.0063224 9:0.98026067 10:-2.2601879 11:2.5529153 12:-2.3095784 13:0.8121765 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
2 1:264.41473 2:-8.133646 3:4.4514446 4:1.2024417 5:2.124864 6:-5.552351 7:3.0757165 8:-1.0073048 9:2.5858943 10:0.5203705 11:2.880581 12:-2.8673143 13:1.4831164 14:100.78381 15:6.4647737 16:4.00734 17:-0.47587746 18:1.8085723 19:0.37552732 20:2.222953 21:-3.7530594 22:1.0543613 23:-0.77282137 24:1.7183924 25:-0.71786135 26:1.5026487 
