1 1:258.81677 2:-12.170782 3:7.383425 4:2.804751 5:5.201124 6:-2.09182 7:1.4001614 8:-2.5544088 9:-0.6196358 10:-3.1183224 11:0.82606506 12:-1.7877407 13:2.19083 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:259.76553 2:-11.611012 3:7.2646847 4:4.8125844 5:4.616763 6:-2.003439 7:1.8809805 8:-1.6248292 9:0.66670287 10:-2.928638 11:2.1731427 12:-0.9505008 13:2.5538402 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:272.65894 2:-11.774696 3:4.328142 4:2.0921779 5:1.4024243 6:-7.8137207 7:2.0315325 8:0.11715541 9:-0.18021844 10:-6.0872445 11:1.7895116 12:-0.46473566 13:-0.023703564 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:267.1963 2:-12.290315 3:6.598395 4:2.299333 5:3.5732539 6:-4.584424 7:1.6906793 8:0.18488789 9:0.0776461 10:-3.9301462 11:1.8132286 12:-0.20903099 13:0.13158776 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:268.5679 2:-14.034831 3:6.491923 4:-0.30733424 5:-0.05919583 6:-2.1261015 7:0.0020351466 8:-1.4476795 9:2.4618602 10:-2.3902438 11:2.0442948 12:-1.9576735 13:1.5164053 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:268.71542 2:-12.573082 3:7.2820354 4:1.6923712 5:0.9493652 6:-1.4634527 7:-0.33944607 8:-1.187726 9:3.1501162 10:-2.3477135 11:2.6097498 12:-1.2317849 13:1.189761 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:257.6179 2:-12.953967 3:5.5405016 4:0.30180693 5:2.4892776 6:-1.7978377 7:2.063334 8:-0.3748142 9:-0.6315998 10:-3.3147235 11:0.96559185 12:-3.6606905 13:0.3246006 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:258.65933 2:-13.642166 3:6.082913 4:3.278254 5:3.3810956 6:-2.1678236 7:2.5200934 8:-1.3533313 9:0.07234991 10:-1.7787375 11:1.7577527 12:-2.5163271 13:0.972338 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:269.18436 2:-17.857653 3:4.551431 4:6.0196643 5:2.8405325 6:-4.0433965 7:1.8544154 8:-1.7561052 9:0.20865107 10:-1.4411507 11:0.64560175 12:-1.5980772 13:3.0567584 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:288.7544 2:-13.136343 3:7.0236983 4:4.754252 5:2.2963102 6:-5.889304 7:-1.5930884 8:-2.1110833 9:-2.1363428 10:-3.415087 11:0.92065114 12:0.0070125163 13:1.8022058 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:305.91162 2:-16.422527 3:5.9116874 4:1.0588939 5:0.74891764 6:-4.673473 7:-1.1531202 8:-3.1238394 9:2.3794339 10:-1.8086311 11:1.1675245 12:0.28075337 13:0.6170265 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:296.51608 2:-14.4380665 3:6.12714 4:2.402685 5:1.6411048 6:-2.4051096 7:-1.0033377 8:-2.5167449 9:4.0458255 10:-1.5373377 11:1.4749906 12:-0.10545448 13:2.2886846 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:280.52475 2:-8.106968 3:5.8648677 4:0.8743438 5:2.0081577 6:-1.5236686 7:2.6798253 8:-1.6959442 9:0.16503766 10:-2.2553077 11:1.6012119 12:-2.7740746 13:1.8580389 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:284.23114 2:-10.7552395 3:1.2920865 4:0.49608982 5:2.3183408 6:-3.585107 7:-0.5842779 8:-2.040419 9:-0.7009206 10:-3.5081074 11:1.0006882 12:-4.624804 13:2.2426538 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:290.82773 2:-17.34747 3:6.184699 4:2.9693642 5:2.1234386 6:-3.8180702 7:-1.9824624 8:-0.79975426 9:0.090984516 10:-3.9294124 11:0.74438953 12:-3.530659 13:0.3437297 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:288.49872 2:-14.208043 3:7.600434 4:-1.4218073 5:1.0452446 6:-0.1106582 7:-2.307883 8:-2.4984112 9:-0.12872466 10:-3.721961 11:0.636725 12:-4.1538377 13:-0.10688005 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:283.7798 2:-2.8349032 3:6.7400007 4:1.893195 5:3.4435544 6:-2.807432 7:3.3522556 8:-1.7072438 9:0.84656215 10:-2.9799063 11:2.5806735 12:-2.9166825 13:2.7924013 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:282.00342 2:-7.897617 3:3.8238838 4:1.5783564 5:2.5992603 6:-1.3291519 7:3.2627532 8:-2.6620464 9:-0.98630345 10:-4.667361 11:0.7976863 12:-3.0619538 13:2.255507 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:276.3407 2:-5.352876 3:3.458948 4:0.025347488 5:4.510058 6:-1.9308678 7:3.0128963 8:-2.0678213 9:0.8709012 10:-1.4997845 11:3.162039 12:-2.323014 13:3.1663697 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:277.2343 2:-5.434766 3:4.369207 4:1.0399708 5:4.3044205 6:-1.8091277 7:2.8208845 8:-2.2933037 9:0.17035341 10:-4.84609 11:0.70682955 12:-3.9429862 13:0.36618474 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:278.8712 2:-4.5780725 3:2.3881407 4:-0.50505924 5:2.011705 6:-4.4304266 7:2.0215807 8:-3.4302285 9:-0.36877683 10:-3.4768145 11:2.3304243 12:-1.8835652 13:1.9929832 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:283.93097 2:-4.371884 3:1.7983323 4:0.49362078 5:2.6477416 6:-4.0076437 7:3.3841991 8:-3.056666 9:0.6419824 10:-4.2947283 11:0.6176144 12:-3.3717966 13:1.4106946 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:299.73245 2:-10.5847225 3:-4.777971 4:-2.172873 5:4.18655 6:-2.0773623 7:3.1458793 8:-3.033456 9:1.1036112 10:-4.218873 11:0.18170102 12:-3.2046092 13:0.7324119 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:285.84335 2:-6.3252177 3:4.1254373 4:-0.63577104 5:3.716134 6:-3.302909 7:1.9449697 8:-2.3260102 9:0.25918424 10:-5.778779 11:-0.7604486 12:-2.717008 13:0.8472828 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:285.0277 2:-6.4282293 3:5.0776124 4:0.3976922 5:5.257738 6:-1.7600062 7:1.7119559 8:-3.320848 9:1.1928846 10:-1.827131 11:1.0434281 12:-3.4117029 13:0.9845554 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:283.57068 2:-5.4477496 3:4.2370114 4:1.0370741 5:5.406596 6:-2.5218055 7:2.2545698 8:-2.447248 9:0.23581547 10:-3.6886716 11:0.29425615 12:-3.6121893 13:1.8108609 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:284.26556 2:-5.281219 3:2.2095237 4:-1.0256671 5:5.2569566 6:-3.5218632 7:1.3869497 8:-1.8703116 9:0.14574876 10:-3.7945325 11:1.7195072 12:-4.279227 13:1.395757 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:282.7818 2:-4.289199 3:3.6952655 4:-0.84506005 5:4.980935 6:-2.276737 7:2.2502532 8:-3.437614 9:0.40158898 10:-2.6601155 11:1.3917285 12:-3.7182512 13:1.9301691 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:282.80734 2:-8.581819 3:3.2524943 4:0.8370027 5:3.9548905 6:-2.6157286 7:1.6060314 8:-1.2863438 9:1.9340711 10:-3.08226 11:1.2299397 12:-5.2219853 13:-0.05142551 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:281.5712 2:-5.8170853 3:4.2586827 4:-0.4496762 5:4.057713 6:-4.461952 7:0.9094436 8:-1.21715 9:0.2077964 10:-3.7787282 11:0.71855134 12:-6.220201 13:-0.6090618 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
1 1:281.9957 2:-5.6897316 3:4.544845 4:-1.377787 5:2.0436428 6:-4.4594183 7:2.9803505 8:-1.3900278 9:0.66740566 10:-2.931441 11:2.6377807 12:-3.1066093 13:0.99123806 14:102.32607 15:-0.86808413 16:3.3629248 17:1.7514411 18:3.5877664 19:0.030032605 20:0.6540468 21:-0.36493888 22:1.854757 23:-1.6598561 24:0.73178166 25:0.18288541 26:0.95929444 
