2 1:320.24927 2:-15.751965 3:6.6273384 4:0.73516977 5:2.649886 6:0.24675316 7:-1.5516098 8:-3.6898978 9:3.1969304 10:-1.4149714 11:-2.8544915 12:-3.1912668 13:0.51195747 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:298.3265 2:-15.671285 3:7.077232 4:1.010064 5:3.1410995 6:0.07214711 7:-0.7739575 8:-1.6279787 9:3.1010492 10:0.2498671 11:-1.4258579 12:-2.3789706 13:0.6720657 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:284.41187 2:-12.994882 3:5.4071565 4:0.62487626 5:2.9851158 6:-0.8212753 7:-1.413806 8:-1.5085173 9:2.9093044 10:-0.8290638 11:0.8554984 12:-3.1973343 13:1.6118068 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:283.22372 2:-10.53254 3:3.1294572 4:0.17423539 5:3.1476812 6:-1.7332816 7:0.056936577 8:-2.3162892 9:1.9115134 10:-1.7930864 11:1.2815608 12:-2.4996884 13:1.8631586 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:280.87903 2:-8.073114 3:4.3224354 4:1.3664457 5:4.606333 6:1.5926428 7:2.1646702 8:-1.8952091 9:2.59082 10:-2.5508828 11:1.3267407 12:-4.0391335 13:1.4087585 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:280.66425 2:-7.6422815 3:3.9184413 4:1.7380886 5:4.7853355 6:-0.37102434 7:0.82823443 8:-3.4099286 9:3.024939 10:-1.7308526 11:1.9877062 12:-3.0154202 13:1.5175128 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:281.85025 2:-6.387122 3:2.634283 4:-1.9360553 5:4.6556444 6:-0.4006816 7:0.80618525 8:-2.6133175 9:2.1749246 10:-2.2640026 11:2.0157497 12:-2.5939944 13:1.1707207 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:279.48215 2:-7.260249 3:2.369618 4:-1.4487544 5:3.830549 6:-0.8115319 7:0.9185618 8:-3.777316 9:1.8252109 10:-3.0481567 11:1.759804 12:-2.6890047 13:2.395566 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:286.9626 2:-8.916279 3:2.5433853 4:-1.6479843 5:4.1136537 6:-1.3128039 7:1.2225292 8:-3.0455625 9:2.459553 10:-2.1162734 11:1.3220762 12:-1.9451188 13:0.6124531 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:296.86847 2:-6.988115 3:3.3185134 4:-3.2065716 5:1.4592054 6:-2.5985339 7:1.041352 8:-3.6431353 9:1.3695245 10:-1.7344301 11:0.08197142 12:-1.3870142 13:0.17002359 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:293.821 2:-7.518367 3:2.5842314 4:-3.8606663 5:0.27049854 6:-0.7232345 7:0.8760423 8:-3.6089451 9:2.7698724 10:-0.55130523 11:0.8891025 12:-1.2006572 13:1.8369766 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:294.17368 2:-7.818771 3:1.3926831 4:-2.530975 5:3.1901488 6:2.0993571 7:2.7459133 8:-2.3781302 9:3.4479966 10:-2.5081635 11:0.9833857 12:-2.6240811 13:2.1177988 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:290.64636 2:-7.4626126 3:0.8184308 4:-3.0022047 5:2.8617136 6:-0.51398164 7:1.0536978 8:-3.4641354 9:1.860808 10:-3.6678631 11:1.4884613 12:-2.5741496 13:2.572489 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:282.7678 2:-5.277332 3:0.9069558 4:-2.8716207 5:3.3369377 6:-1.0831242 7:1.4497479 8:-3.5607052 9:3.1558442 10:-0.5941834 11:2.4558527 12:-3.096065 13:1.3932633 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:282.6534 2:-4.127752 3:1.8064277 4:-3.9658637 5:4.707409 6:0.32255843 7:3.3517268 8:-1.6535232 9:2.8102782 10:-1.5338746 11:2.6472383 12:-3.7580326 13:0.12095066 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:283.00644 2:-4.7939205 3:1.2344769 4:-1.6382463 5:7.4886928 6:0.8687555 7:3.125629 8:-3.5565748 9:1.570247 10:-2.021387 11:-0.058822304 12:-5.3532023 13:0.23893824 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:288.8039 2:-3.0044346 3:2.1527839 4:-3.451545 5:5.0074267 6:-0.9501966 7:2.542518 8:-2.5272212 9:2.090505 10:-1.3665599 11:2.2890372 12:-2.647778 13:1.3798981 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:284.93835 2:-4.1430235 3:0.7844939 4:-3.4285705 5:4.320326 6:-0.78271836 7:3.647187 8:-1.90572 9:0.44632715 10:-3.396102 11:1.5848777 12:-2.8000274 13:2.0346715 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:284.73987 2:-2.3470933 3:1.6245711 4:-2.6345966 5:4.596339 6:-0.8731616 7:4.1317677 8:-2.9259555 9:2.8218992 10:-0.15549988 11:3.4956553 12:-3.3761144 13:1.3348683 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:286.28387 2:-1.8291548 3:2.665093 4:-4.694374 5:2.999854 6:-1.5635052 7:2.613482 8:-2.8992863 9:2.657863 10:0.077538885 11:3.571218 12:-3.2656214 13:2.2474687 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
2 1:286.3402 2:-1.9870415 3:4.999602 4:0.25439036 5:4.6429763 6:-1.0142533 7:3.56671 8:-2.7556612 9:1.461594 10:-1.3572557 11:4.7646666 12:-1.390903 13:1.365876 14:102.1392 15:0.78807884 16:2.0795155 17:0.42262742 18:1.5275176 19:0.12664992 20:1.6403137 21:-1.3549111 22:0.52518976 23:-1.9684496 24:1.4185597 25:-0.67621493 26:-0.01815195 
