2 1:303.4463 2:-3.5788717 3:8.345385 4:-1.5814352 5:-1.0291293 6:-0.091525465 7:2.356645 8:-3.202602 9:3.1126764 10:-4.2569394 11:0.7781721 12:-1.437479 13:4.3927364 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:293.66312 2:-6.1946535 3:5.2080493 4:-4.3235083 5:-1.1930053 6:-1.1338712 7:5.2581863 8:-1.0524232 9:1.3466989 10:-3.0308094 11:-1.416065 12:-2.452795 13:2.6147494 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:289.04144 2:-7.9789248 3:6.391001 4:-2.2259452 5:-1.2675397 6:-1.8561386 7:3.1276917 8:-2.3494508 9:1.3592396 10:-1.923462 11:0.5069719 12:-1.3134465 13:3.8408148 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:280.37 2:-9.056691 3:6.088687 4:-1.637698 5:1.0592489 6:-2.097295 7:3.4166827 8:-3.2109468 9:-1.5664763 10:-2.312503 11:-0.4532553 12:-2.6647935 13:2.6274097 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:276.001 2:-8.530753 3:7.456332 4:-0.43781537 5:1.7013402 6:-2.5395339 7:5.3727922 8:0.7032949 9:1.0200284 10:-1.2480643 11:0.8573453 12:-1.8879781 13:1.808186 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:271.02844 2:-6.444234 3:6.6480074 4:-1.1151983 5:3.3658204 6:-2.2504752 7:3.4259224 8:-1.0847684 9:1.4634757 10:-2.1923647 11:2.3441343 12:-1.8433018 13:2.6732602 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:275.09897 2:-5.2407074 3:7.274873 4:-1.076732 5:3.7128174 6:-2.3733985 7:3.225643 8:-0.124795265 9:0.8928929 10:-2.3353593 11:1.1225367 12:-2.9588757 13:1.6587445 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:273.24304 2:-5.3039346 3:8.495339 4:-0.24765934 5:1.8562108 6:-1.4940425 7:4.257996 8:-1.7507554 9:-1.0957136 10:-4.354387 11:-0.12969887 12:-2.7018487 13:1.7100139 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:268.624 2:-5.726472 3:8.742209 4:0.27493745 5:1.0347917 6:-3.3999484 7:3.230542 8:-1.649278 9:0.030963035 10:-4.350686 11:0.17667262 12:-3.7558377 13:0.25006166 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:265.0886 2:-5.279494 3:6.990825 4:-1.4306169 5:1.1711558 6:-4.2501197 7:3.6039705 8:-0.6610378 9:1.0353093 10:-2.1286426 11:2.6346374 12:-2.2300634 13:2.0855432 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:265.67163 2:-3.7242663 3:8.241639 4:-1.487321 5:0.6247216 6:-4.11931 7:3.6805348 8:0.3718504 9:1.1602445 10:-3.000769 11:0.92163336 12:-3.287629 13:1.8457208 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:264.69742 2:-4.8970838 3:6.025072 4:-1.9055136 5:1.5609723 6:-3.3783424 7:3.3370554 8:-0.21860306 9:1.5243279 10:-3.064982 11:0.012184909 12:-3.5122213 13:2.0891995 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:275.70993 2:-1.4226034 3:6.748497 4:-2.4900744 5:2.6503189 6:-1.0851519 7:3.1126313 8:-1.8294069 9:2.0833237 10:-2.3165143 11:1.6160486 12:-2.7828867 13:1.6512433 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:285.2954 2:-1.6048307 3:5.324321 4:-4.216203 5:2.2491736 6:-0.06903708 7:2.6893415 8:-2.5385344 9:1.8436043 10:-4.07363 11:-0.007522838 12:-2.705429 13:2.466794 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:285.50516 2:-2.3203244 3:4.5760455 4:-5.7029734 5:1.7731678 6:-0.7717561 7:1.8277556 8:-2.7816055 9:1.9330752 10:-2.714884 11:1.1471051 12:-1.8996693 13:4.472199 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:292.61572 2:0.8909386 3:6.895827 4:-3.7828343 5:2.0141487 6:-0.17406952 7:1.9116979 8:-2.656366 9:3.3646135 10:-1.3930471 11:1.8894596 12:-2.3157609 13:2.3929372 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:325.62485 2:-3.7257037 3:15.687281 4:4.473661 5:-1.1602032 6:-1.475598 7:3.329102 8:-4.890181 9:0.004833642 10:-1.3435358 11:1.999307 12:0.6679234 13:2.719941 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:322.58865 2:-10.737992 3:10.096593 4:-0.3759932 5:-3.71769 6:-1.1726627 7:5.7576785 8:-2.4233065 9:-1.1211141 10:-1.4164679 11:1.9434869 12:2.4875863 13:1.3114182 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:314.3687 2:-9.178438 3:8.211692 4:-0.45383686 5:-3.4604056 6:-0.6786225 7:6.0564284 8:-1.1631163 9:1.0603675 10:0.34416196 11:1.1445886 12:0.48365 13:0.82350683 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:299.48425 2:-5.4398165 3:6.316041 4:-4.266263 5:-4.432705 6:-2.641765 7:4.029601 8:-3.1750605 9:1.9172233 10:-0.8586757 11:-0.38769698 12:-2.0980551 13:0.97899896 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
