1 1:260.79276 2:-8.564157 3:4.1700854 4:2.4407034 5:1.3100474 6:-6.57821 7:2.2000132 8:-1.5004994 9:1.5242879 10:-1.463344 11:2.2316084 12:-3.9723094 13:2.6210015 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:261.1693 2:-9.635019 3:3.9071486 4:2.3673055 5:2.111633 6:-5.82121 7:3.281037 8:-0.7781906 9:1.74392 10:-1.2805108 11:1.136615 12:-4.2639136 13:1.3841761 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:261.9456 2:-8.920208 3:3.30106 4:0.94772655 5:1.7720953 6:-5.698621 7:1.2345264 8:-1.9896829 9:-0.10933922 10:-2.171085 11:1.796474 12:-2.9116366 13:2.9452257 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:263.73788 2:-7.3120832 3:4.361258 4:1.2896281 5:2.0453224 6:-5.8494883 7:1.6709448 8:-1.3846592 9:1.1236567 10:-2.0277717 11:1.4747466 12:-4.988347 13:0.7785836 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:261.56644 2:-8.751881 3:5.2255054 4:3.3545024 5:2.4942825 6:-4.1069627 7:3.321948 8:-2.0830936 9:-0.37603548 10:-2.365495 11:3.1295009 12:-3.523656 13:1.2144678 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:261.23505 2:-8.195459 3:4.534355 4:1.8853732 5:3.6336923 6:-4.8724165 7:3.9622934 8:-0.23622787 9:1.7472689 10:1.079228 11:4.2963824 12:-2.8151188 13:1.6092291 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:261.3712 2:-8.561567 3:6.5098104 4:4.068619 5:1.4992051 6:-6.1301594 7:2.4909167 8:-0.482942 9:2.2001746 10:-0.09701863 11:2.5012515 12:-3.09975 13:2.271678 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:264.01352 2:-7.173142 3:5.6547236 4:1.953696 5:1.5878854 6:-5.68119 7:2.1661305 8:-0.926696 9:2.7000756 10:-0.33797076 11:2.6627915 12:-3.947706 13:3.0393434 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:274.51358 2:-7.955507 3:4.105216 4:4.5729003 5:1.8970921 6:-5.9117417 7:1.6323626 8:-1.5342289 9:3.725715 10:-1.9914917 11:3.6309147 12:-3.4479115 13:0.6724355 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:285.2235 2:-11.49925 3:-0.7165599 4:4.2423663 5:5.4366617 6:-3.260852 7:-0.55796057 8:0.40705183 9:4.8627596 10:-2.5888212 11:2.001752 12:-4.3556566 13:1.7801243 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
