1 1:254.99347 2:-9.064373 3:6.320197 4:-1.5521873 5:0.9763224 6:-1.0931951 7:3.0037234 8:-2.1210232 9:2.441508 10:-1.2566733 11:2.7477283 12:-1.4672834 13:0.13747615 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:258.6541 2:-7.801727 3:7.0360856 4:-0.85813427 5:1.6768882 6:-0.059674256 7:2.2369447 8:-1.2223866 9:2.8859732 10:-2.3514664 11:1.6075656 12:-3.0706608 13:1.3478701 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:254.1609 2:-7.863408 3:6.747699 4:-1.1998162 5:-0.829884 6:-1.9503429 7:2.051176 8:-0.7518872 9:3.8506603 10:-1.429523 11:0.85020256 12:-2.9713328 13:2.5958574 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:258.0932 2:-6.573087 3:8.301572 4:-1.8185478 5:0.02781115 6:-2.189686 7:1.593082 8:-1.0200018 9:1.4787325 10:-2.0814538 11:1.1184629 12:-1.679748 13:1.2196474 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:257.01746 2:-6.861465 3:8.723608 4:0.33269456 5:2.5362113 6:-0.1785758 7:3.6439152 8:-1.3656477 9:2.3082325 10:-1.3474373 11:3.5055232 12:-1.2820685 13:0.33257598 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:257.7869 2:-6.9764566 3:8.201351 4:-1.3792039 5:2.0909731 6:-1.4610641 7:2.0018091 8:-2.7084687 9:2.0739462 10:-0.38434657 11:4.1721883 12:-0.055857617 13:1.4678887 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:255.9821 2:-6.5223374 3:9.517916 4:0.56439984 5:2.08703 6:-1.9869285 7:1.2084438 8:-2.5199754 9:-0.33811975 10:-1.6874471 11:3.3584843 12:-1.0537537 13:1.6802671 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:256.82858 2:-7.7097588 3:7.121917 4:-1.9793515 5:0.13747181 6:-2.267456 7:0.07466709 8:-3.2810147 9:0.5571194 10:-2.5297272 11:1.8901826 12:-2.7466478 13:-0.71409506 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:257.1984 2:-6.9980006 3:9.382479 4:-0.20142007 5:1.8444184 6:-0.28034523 7:1.9894621 8:-3.2506106 9:0.02486715 10:-3.2799838 11:2.373673 12:0.19623972 13:2.3957837 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:252.64882 2:-8.0871935 3:8.005808 4:0.06439794 5:1.8859429 6:-0.17333703 7:0.7442427 8:-3.8871305 9:2.0192893 10:-2.0406704 11:0.6845994 12:-3.0334432 13:-0.07807515 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:256.06784 2:-7.116594 3:9.060986 4:-0.18227597 5:2.8263447 6:-1.2739246 7:0.54506105 8:-1.6428183 9:2.1324513 10:-1.8677019 11:2.7482092 12:-1.300201 13:1.5085831 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:253.34673 2:-6.753106 3:9.230698 4:0.0110806525 5:1.901627 6:-1.2539533 7:1.1280869 8:-2.7087262 9:1.2773697 10:-2.8804824 11:1.6680819 12:-1.7026566 13:1.0313615 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:254.78352 2:-7.924877 3:8.49845 4:-1.5483215 5:0.75947344 6:-2.5098104 7:-0.29078895 8:-2.0382698 9:2.5468748 10:-2.0701566 11:0.46625435 12:-2.5750484 13:0.6818085 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:252.01602 2:-7.777588 3:8.312118 4:0.14221582 5:2.449203 6:-0.55482626 7:0.7082076 8:-2.4574177 9:2.501469 10:-2.5673318 11:0.03978828 12:-2.7857435 13:0.56324357 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:255.8215 2:-6.983679 3:9.231675 4:0.38469532 5:3.2638123 6:-1.8822722 7:0.96567714 8:-1.0413609 9:1.029462 10:-1.6026682 11:0.7086448 12:-3.6062686 13:0.3342492 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:257.18768 2:-7.0350375 3:10.8319025 4:-0.58867747 5:1.7733817 6:-1.0631104 7:1.0332279 8:-0.8291941 9:2.6521623 10:-1.8801517 11:2.2202272 12:-2.519232 13:0.8133565 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:270.55484 2:-2.8857954 3:8.9573145 4:-1.7197284 5:2.9617686 6:-0.34884876 7:2.4002502 8:-1.9977696 9:2.5939834 10:-2.3673615 11:2.7040696 12:-1.9535825 13:1.9464202 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:259.1945 2:-5.8481884 3:9.501444 4:-0.4877495 5:2.0034006 6:-0.91097254 7:2.6327007 8:-2.2519047 9:1.2845653 10:-1.0742428 11:3.0516527 12:-2.1310146 13:2.5024667 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:256.80853 2:-7.9142323 3:10.018182 4:1.3529829 5:0.5598395 6:-1.9137911 7:1.3775262 8:-3.4688766 9:1.3977963 10:-0.962039 11:3.34733 12:-0.20078248 13:1.728539 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:255.76424 2:-9.758807 3:7.3538275 4:-2.4197938 5:-0.48744503 6:-2.1480947 7:0.13905206 8:-2.9911792 9:1.6485363 10:-1.0131032 11:2.5161326 12:-0.70794296 13:2.4745975 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:257.39218 2:-8.4338875 3:9.346474 4:1.6818436 5:2.736698 6:-0.16236909 7:0.8202139 8:-4.4497538 9:1.5304751 10:-1.3125721 11:1.6286694 12:-0.97914714 13:3.183158 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:261.44498 2:-5.684701 3:11.030035 4:0.5559805 5:2.8335526 6:-0.47493196 7:1.3103745 8:-2.6868563 9:3.2217736 10:0.13649395 11:2.9994428 12:-0.9473003 13:3.058529 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
