2 1:261.7874 2:-10.836825 3:1.713714 4:2.298491 5:4.1555643 6:-4.042327 7:4.046181 8:-0.08816431 9:2.3565922 10:0.850536 11:3.689423 12:-3.9520154 13:1.8190544 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:260.72656 2:-10.74238 3:2.3625505 4:1.0209345 5:2.0876527 6:-5.269126 7:1.3384428 8:-0.98665196 9:2.6955128 10:0.6354369 11:3.087478 12:-4.0562506 13:2.3297224 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:277.01508 2:-0.065931275 3:5.042905 4:-2.9141192 5:1.0319893 6:-4.804646 7:3.924851 8:-0.35567576 9:2.4546707 10:1.3471124 11:4.735355 12:-4.1416426 13:2.2855027 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:276.3482 2:-0.5460198 3:5.447805 4:-2.0408645 5:1.0325519 6:-3.5586133 7:5.737779 8:-0.90052074 9:2.7946427 10:0.4850646 11:4.987413 12:-2.2253616 13:2.749861 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:267.09363 2:-6.3554897 3:5.124334 4:-0.90600115 5:1.1740588 6:-6.156039 7:2.9389002 8:-0.9772158 9:0.7762191 10:-0.5321588 11:2.988432 12:-3.371513 13:2.840627 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:264.55844 2:-7.858327 3:3.8940995 4:1.7684468 5:4.5484724 6:-2.8391588 7:5.6467314 8:-0.07749399 9:1.047073 10:0.11950538 11:4.1362557 12:-4.6154747 13:1.0021017 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:267.4546 2:-7.6939497 3:3.4657495 4:1.5829301 5:3.1460128 6:-3.5904393 7:4.750153 8:-1.2649447 9:2.2131426 10:0.18329869 11:2.4546242 12:-4.6595345 13:1.1215006 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:260.90884 2:-11.407464 3:2.1787 4:0.66733915 5:3.6458838 6:-5.1340194 7:1.5465641 8:-1.6107675 9:1.5011599 10:2.2124867 11:3.3991208 12:-3.551059 13:1.3719199 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:262.41852 2:-8.904389 3:2.8552542 4:1.0596906 5:4.1731787 6:-3.5067148 7:1.5483484 8:-1.1814065 9:2.8503597 10:0.036989957 11:1.9304237 12:-4.859973 13:1.8505421 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:264.26862 2:-7.646724 3:4.6668153 4:2.77999 5:4.2574735 6:-3.2668855 7:3.028345 8:-0.43606848 9:2.39307 10:0.3839654 11:3.7183604 12:-4.5172815 13:1.2113081 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:261.59485 2:-9.075147 3:4.047786 4:2.130839 5:3.6636078 6:-4.4547772 7:2.9214344 8:-1.0092279 9:1.0018921 10:-0.5762188 11:2.5689328 12:-3.195047 13:2.3601794 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:272.25525 2:-15.7932625 3:4.6446056 4:-0.15655409 5:-1.1418631 6:-3.7523623 7:0.25658602 8:-1.1035808 9:2.4856455 10:-0.072455324 11:4.198543 12:-3.6961915 13:0.9862362 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:271.45932 2:-17.53033 3:6.9938087 4:1.8812269 5:-0.111903384 6:-1.1666476 7:0.88502485 8:-1.191734 9:3.0639358 10:0.40854046 11:3.8537645 12:-3.9082417 13:1.3845758 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:264.34888 2:-8.884586 3:5.546738 4:1.97798 5:3.4918036 6:-3.1127303 7:3.7804322 8:-0.21357416 9:1.5775266 10:0.70617306 11:3.0676847 12:-2.8854213 13:2.429016 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:264.01068 2:-8.2576 3:5.3235116 4:2.5087233 5:3.2234035 6:-3.8850114 7:3.7478843 8:-1.1069697 9:3.1439753 10:1.2428219 11:3.0114143 12:-2.9308763 13:2.1073003 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
