1 1:277.29675 2:-7.2892065 3:2.0063071 4:-0.735243 5:2.3934531 6:-3.3513064 7:2.5418594 8:-2.8958209 9:0.5675013 10:-1.5299639 11:4.1731195 12:-1.2231648 13:2.8672628 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:276.6965 2:-6.443178 3:3.7172909 4:0.36864915 5:3.5593185 6:-1.3916327 7:4.915552 8:-0.0039638667 9:1.518161 10:-2.3722708 11:2.5476887 12:-4.1056895 13:1.4143116 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:275.58154 2:-6.1959763 3:4.0956736 4:-0.80524224 5:2.3687592 6:-2.812264 7:1.9481093 8:-2.0086508 9:2.015591 10:-0.38007912 11:3.1170466 12:-3.4848983 13:1.4576293 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:276.20627 2:-4.4867997 3:4.8689876 4:-0.45468894 5:1.4976481 6:-3.1167593 7:3.7324364 8:-1.6650463 9:1.1643075 10:-1.3916909 11:2.619973 12:-3.872183 13:1.7012689 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:275.6785 2:-5.862536 3:5.026379 4:-0.0488909 5:1.9524117 6:-0.3577679 7:4.810189 8:-2.177438 9:1.1633062 10:-2.724833 11:2.4061956 12:-2.4800339 13:3.0322247 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:277.3995 2:-7.7126946 3:2.3796291 4:0.38331965 5:3.585391 6:-3.30784 7:3.629198 8:0.7925494 9:1.492689 10:-2.6303272 11:3.5443692 12:-3.0583234 13:2.6746225 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:275.11166 2:-6.69128 3:4.641638 4:0.9019307 5:1.3005627 6:-3.9323573 7:5.2574377 8:1.6125584 9:3.8379362 10:-1.2501624 11:3.8796277 12:-2.6922753 13:3.2691607 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:274.16284 2:-7.786975 3:5.0558796 4:0.45546323 5:1.2825984 6:-2.7835824 7:5.641191 8:0.5577497 9:2.5495155 10:-0.86655354 11:2.4820385 12:-2.9276443 13:2.0332549 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:272.68768 2:-7.118602 3:3.2378101 4:-1.0794325 5:0.80957866 6:-2.969306 7:5.598728 8:-0.1280199 9:1.8629911 10:-2.417797 11:3.1791275 12:-1.9414651 13:1.651414 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:274.21512 2:-6.6375017 3:4.930618 4:-0.82851493 5:1.4519529 6:-3.1821737 7:3.7188482 8:0.4448652 9:3.225436 10:-0.9214506 11:3.1642792 12:-2.500486 13:1.4056386 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
