2 1:296.33194 2:-3.0945137 3:9.149331 4:-3.936039 5:-2.4770498 6:-1.9586551 7:2.4814346 8:-1.0800495 9:-0.7869396 10:-4.5773597 11:-0.81290084 12:-2.5728478 13:2.5617013 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:286.28287 2:-1.7493205 3:9.501993 4:-2.242046 5:0.06317845 6:-0.51442057 7:4.7368884 8:-1.9631065 9:0.28853986 10:-3.0888214 11:0.40818816 12:-1.6910788 13:4.068519 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:287.5874 2:-10.986948 3:10.036444 4:-0.099530004 5:-1.5681373 6:-2.8465202 7:4.2908916 8:-1.5734844 9:1.9686036 10:-1.8642305 11:-2.2997744 12:-2.3162181 13:2.9406059 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:302.99335 2:-18.92033 3:2.508249 4:3.2765238 5:5.9008675 6:-2.698049 7:-1.5037163 8:-4.195379 9:4.2473307 10:-4.2912135 11:-0.7264941 12:-3.5084274 13:-1.0044258 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:284.03818 2:-15.72401 3:3.927728 4:0.55184203 5:4.084698 6:-1.0346513 7:-1.4508363 8:-1.3446114 9:2.8438857 10:-3.1777139 11:-0.3600599 12:-4.0669765 13:0.70198244 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:277.50098 2:-16.838291 3:4.7332945 4:2.7005415 5:3.8383312 6:-0.4272296 7:-0.21546496 8:0.77796125 9:2.7396038 10:-3.0975351 11:0.1623778 12:-3.0552578 13:1.5884771 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:268.20706 2:-11.133195 3:3.881642 4:-0.71310437 5:2.102226 6:-3.1639776 7:1.8331238 8:1.7194436 9:1.423624 10:-3.2675457 11:2.080739 12:-1.717059 13:1.9062592 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:266.76596 2:-13.211691 3:1.9653237 4:-1.1150233 5:3.1115294 6:-2.094804 7:3.5725799 8:1.1499759 9:1.3320147 10:-3.1263669 11:-0.50906163 12:-1.6845038 13:2.4561343 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:260.7834 2:-9.90427 3:4.9505177 4:0.7082267 5:2.154525 6:-2.7332268 7:1.1846182 8:-1.0003649 9:2.1589355 10:-1.6744976 11:1.2347127 12:-3.7166865 13:2.803289 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:270.51974 2:-7.0505195 3:4.0028124 4:-1.1134487 5:2.1121159 6:-2.9020567 7:2.104148 8:-2.1799939 9:1.2095933 10:-4.3636403 11:-1.0958157 12:-5.3522415 13:0.6533803 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:267.20132 2:-6.9631524 3:4.699329 4:-1.2513477 5:0.5847271 6:-3.5828073 7:3.167756 8:-0.5984471 9:2.0065455 10:-2.216795 11:0.0043888115 12:-4.7716265 13:0.7466977 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:273.3245 2:-8.008728 3:8.92498 4:1.7355933 5:0.8712832 6:-1.1093 7:3.1204436 8:-0.89723945 9:1.913502 10:-2.1370597 11:0.4705081 12:-0.76504505 13:2.6494474 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:271.71045 2:-7.120563 3:6.5217695 4:0.014369933 5:2.8830822 6:-0.8959774 7:3.244585 8:-1.8057649 9:0.48500124 10:-3.4702291 11:0.9560882 12:-0.38419715 13:2.946606 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:272.14944 2:-7.6303973 3:3.6228652 4:-1.5093333 5:2.0637164 6:-4.2930126 7:2.3047466 8:0.19853728 9:0.027882677 10:-3.344311 11:1.177599 12:-2.514692 13:0.20581776 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:274.4539 2:-2.201472 3:5.7552667 4:-1.0829206 5:3.2602446 6:-1.8845074 7:3.8520458 8:-1.3310624 9:2.0770483 10:-2.5567245 11:1.6442387 12:-3.5715768 13:1.8102026 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:271.19406 2:-4.2414804 3:8.178211 4:-0.17410718 5:3.2072065 6:-1.8262471 7:3.5675056 8:-2.0037212 9:1.2165258 10:-2.3205264 11:1.3782117 12:-2.0325162 13:0.7282876 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:269.0922 2:-7.1519527 3:4.5412116 4:-1.4421377 5:0.8832904 6:-3.6812868 7:2.762738 8:-0.9763773 9:1.4789872 10:-1.8451405 11:0.28521255 12:-2.7549589 13:1.5228306 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:267.8797 2:-8.981322 3:1.749508 4:-3.9824488 5:1.1359689 6:-2.1651945 7:2.615674 8:-0.05089516 9:3.5296535 10:-1.8673913 11:0.37243852 12:-3.5104392 13:1.0371227 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:268.4972 2:-6.335666 3:3.1114051 4:-1.851805 5:3.5640247 6:-2.698422 7:1.7871838 8:-1.4569442 9:1.1351933 10:-4.2209864 11:0.42517275 12:-3.95562 13:1.6516963 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
