2 1:277.8597 2:-1.2509185 3:2.2106037 4:-3.3396263 5:1.5421151 6:-5.735686 7:5.8385754 8:2.0325992 9:2.9218876 10:-1.9929363 11:2.1654828 12:-3.780007 13:3.549593 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:280.99612 2:-0.79340374 3:4.1964893 4:-2.1544278 5:1.3345119 6:-4.9312596 7:4.8972483 8:1.1269788 9:3.286999 10:-1.1157881 11:1.650513 12:-4.1186595 13:4.659267 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:278.69186 2:0.21833166 3:3.1406229 4:-3.4266298 5:1.3042544 6:-6.9510136 7:4.03345 8:-0.95540816 9:3.131697 10:-1.9167936 11:-0.45885015 12:-4.116692 13:3.976397 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:279.38306 2:-0.08540086 3:7.1250615 4:-1.412525 5:2.4809735 6:-5.870161 7:3.0245059 8:-0.3100512 9:2.198522 10:-1.8580277 11:0.7587791 12:-4.170132 13:3.5618515 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:289.12598 2:-4.6266017 3:0.5999486 4:0.7019448 5:2.3457751 6:-3.287916 7:3.5175695 8:-4.534597 9:3.761736 10:-1.2819324 11:1.2293574 12:-4.630053 13:1.687789 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:325.22412 2:-13.938157 3:-10.901808 4:-0.088790305 5:5.249382 6:-1.5192083 7:3.4266124 8:-7.2929153 9:5.306908 10:-0.85023683 11:2.6572165 12:-3.718696 13:-0.27270937 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:284.1693 2:-4.7175436 3:-2.527207 4:-2.4818485 5:2.170384 6:-4.3368616 7:2.6129863 8:-3.937134 9:5.823058 10:0.69393975 11:2.5990846 12:-3.389553 13:1.1790029 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:276.7829 2:-2.3824484 3:3.8448133 4:-2.0899003 5:0.19104317 6:-7.7480493 7:2.5293043 8:-2.971477 9:2.79598 10:0.7876713 11:3.7988927 12:-3.7919672 13:3.3426502 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:275.82953 2:-2.8948407 3:3.0466194 4:-1.9212173 5:1.0281098 6:-8.411276 7:0.5824017 8:-3.4771144 9:1.3950622 10:-0.35926554 11:2.3280537 12:-4.0324736 13:2.6640878 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:272.42914 2:-3.3521311 3:6.0185914 4:1.533776 5:0.4792063 6:-7.779934 7:3.0703537 8:-0.92515147 9:3.6611414 10:0.60115874 11:4.787704 12:-3.3632872 13:2.1483712 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
