1 1:266.65775 2:-7.6374717 3:4.223045 4:0.9811981 5:0.5157157 6:-6.4882555 7:2.323479 8:-2.6997192 9:1.8413885 10:0.5080114 11:6.363024 12:-1.9898341 13:1.5457615 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:265.99155 2:-6.803715 3:5.259832 4:1.0410508 5:2.9168117 6:-4.30901 7:1.8677225 8:-3.8067458 9:0.7457566 10:-0.49176955 11:3.4027352 12:-2.039607 13:2.191428 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:291.29544 2:4.9117355 3:6.55115 4:0.1829919 5:10.091568 6:-0.09009089 7:2.057673 8:-7.4747853 9:-0.65698624 10:-1.450319 11:5.46893 12:-3.053753 13:3.0138292 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:273.0774 2:-3.7264354 3:7.529979 4:3.0739634 5:5.376395 6:-2.230625 7:2.2995887 8:-1.5209413 9:2.6239748 10:-0.51623696 11:5.0180626 12:-2.8557403 13:1.6761914 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:270.9351 2:-5.775412 3:6.5205646 4:3.076584 5:3.0451653 6:-4.6586027 7:2.7320068 8:0.105056785 9:3.4733996 10:-0.5244073 11:4.447234 12:-3.222892 13:2.4109924 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:271.47668 2:-7.6961136 3:5.0532775 4:1.9112436 5:2.2436938 6:-4.0478716 7:2.2811952 8:-0.4776231 9:3.592457 10:-1.88048 11:2.721859 12:-3.6744983 13:1.4664556 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:272.396 2:-3.179067 3:7.000017 4:3.9314494 5:4.2832007 6:-4.489733 7:1.9108957 8:-2.0693815 9:4.796994 10:0.4672738 11:2.6253185 12:-4.5156093 13:1.8399048 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:272.11963 2:-5.2589474 3:4.4381394 4:1.9216601 5:2.5956895 6:-5.477515 7:0.682827 8:-1.8752117 9:3.2489176 10:0.45862225 11:4.048434 12:-3.675357 13:2.4898288 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:272.54016 2:-5.984746 3:4.56687 4:1.5399425 5:2.3066132 6:-4.2722254 7:1.965342 8:-2.7479765 9:3.820023 10:1.0610933 11:4.5682693 12:-2.162212 13:2.7705023 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:273.05087 2:-4.459515 3:5.5375223 4:1.0947027 5:2.6441402 6:-3.29727 7:1.777239 8:-2.3536644 9:4.4027867 10:0.0031004918 11:3.4848728 12:-2.0486705 13:2.3763251 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:273.61752 2:-5.1905 3:5.6250863 4:1.7404976 5:5.1251254 6:-1.6292609 7:4.1548743 8:-1.3921713 9:4.4207296 10:1.367839 11:4.00309 12:-2.3962235 13:3.1683044 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:296.17538 2:9.94023 3:14.724055 4:2.7280953 5:9.056907 6:-0.9106102 7:5.7733707 8:-4.284336 9:4.919373 10:1.327133 11:7.3357906 12:-3.48721 13:3.9373896 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:301.5529 2:12.802693 3:16.85889 4:2.0813363 5:7.238006 6:-3.3250372 7:7.607942 8:-2.5448833 9:5.5636973 10:0.18528126 11:8.25565 12:-2.644421 13:5.1326466 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:307.6561 2:14.122538 3:16.100035 4:1.0007112 5:7.2063713 6:-4.149353 7:3.1820233 8:-3.1166108 9:7.178449 10:0.18643779 11:6.9447966 12:-4.2689943 13:5.1604123 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:307.98715 2:16.711525 3:17.176153 4:-1.1321958 5:5.457408 6:-4.5017786 7:5.00098 8:-2.1623662 9:6.00783 10:-0.7236107 11:7.209974 12:-3.4301817 13:7.7002454 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:322.14026 2:13.615264 3:20.986057 4:-3.7529266 5:5.2565327 6:-1.4167463 7:3.3556402 8:-2.753341 9:3.8479362 10:-4.1020484 11:6.1776123 12:-1.7297305 13:4.176869 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:331.8609 2:17.251818 3:22.707294 4:-4.534307 5:5.7095613 6:-1.7368312 7:2.2430477 8:-5.6670456 9:3.1125538 10:-4.197776 11:5.5369034 12:-2.9652133 13:4.2528133 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:333.5992 2:22.340908 3:20.147564 4:-4.037033 5:4.0090613 6:-6.074581 7:3.157017 8:-6.483271 9:3.264744 10:-3.8708885 11:5.753662 12:-3.6860085 13:5.016107 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:337.94543 2:23.655622 3:18.098896 4:-4.0999103 5:2.013142 6:-4.51388 7:3.9010465 8:-6.334679 9:4.3137774 10:-5.523949 11:7.276403 12:-4.2761664 13:4.665108 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:335.499 2:27.266068 3:18.290468 4:-5.9795566 5:1.8456694 6:-4.0695834 7:4.358979 8:-7.6150284 9:5.8735294 10:-5.8368144 11:7.8823667 12:-7.3630285 13:4.4149966 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:336.9883 2:28.543156 3:17.54313 4:-7.6679363 5:0.84133303 6:-3.496249 7:5.9214964 8:-6.775746 9:5.105326 10:-6.5094047 11:6.938758 12:-6.737823 13:4.4884896 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:344.50726 2:25.866695 3:15.89307 4:-8.435637 5:1.4337336 6:-2.3383896 7:4.817624 8:-6.0148096 9:4.9732294 10:-6.0834837 11:5.681646 12:-6.7364964 13:4.332965 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:339.91074 2:29.635542 3:16.658957 4:-10.071398 5:-0.074627794 6:-2.1252534 7:7.4199834 8:-5.001328 9:4.175934 10:-8.843362 11:6.531306 12:-6.5139375 13:4.726442 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:340.96326 2:30.316807 3:14.211706 4:-11.866291 5:0.64457554 6:-1.2626026 7:10.538397 8:-5.4777765 9:2.8265247 10:-7.921959 11:5.9273596 12:-7.982032 13:4.5779533 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:341.0983 2:29.450033 3:14.310439 4:-12.052913 5:0.5598594 6:0.9456743 7:11.921132 8:-4.8320274 9:1.7331542 10:-8.172124 11:5.334557 12:-7.6570473 13:5.218235 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:345.71613 2:29.214033 3:11.17458 4:-14.576341 5:4.9857397 6:3.5214872 7:12.909168 8:-4.7584887 9:2.3310742 10:-8.186716 11:4.4496913 12:-7.0446796 13:5.5189347 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:346.61893 2:25.499271 3:10.459901 4:-12.033427 5:6.376473 6:4.845435 7:12.685567 8:-3.9583175 9:2.5073059 10:-8.220047 11:4.4005485 12:-5.982507 13:4.939507 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:343.28027 2:26.202112 3:10.475534 4:-13.221977 5:7.55881 6:6.2870693 7:14.080544 8:-4.228481 9:2.8454456 10:-7.6185055 11:4.865975 12:-4.6923294 13:5.5232835 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:337.53918 2:24.184185 3:10.973401 4:-11.281664 5:7.4348073 6:5.749129 7:15.036723 8:-3.056389 9:2.4669418 10:-6.9874372 11:5.25163 12:-4.0443125 13:5.7857404 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:332.70306 2:25.890295 3:10.179274 4:-14.257037 5:8.424767 6:7.019441 7:17.099504 8:-3.257854 9:2.363773 10:-5.644805 11:5.8082185 12:-5.1954494 13:6.710556 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:330.12537 2:22.81301 3:11.563498 4:-10.729969 5:6.8742194 6:5.334359 7:16.83402 8:-0.98103136 9:2.6072083 10:-6.6813207 11:6.065913 12:-4.443371 13:6.487967 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:325.63644 2:19.163527 3:12.600579 4:-8.133351 5:4.7973003 6:2.7906406 7:16.543486 8:0.60766447 9:3.5138764 10:-5.6127834 11:5.2035804 12:-4.57722 13:4.367007 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
1 1:323.25775 2:12.279784 3:15.261863 4:-4.731102 5:3.5938833 6:2.2806952 7:12.560879 8:1.4937023 9:3.8567882 10:-3.8062897 11:3.6643903 12:-5.0810823 13:3.9599278 14:93.50559 15:5.526081 16:6.895492 17:1.0823718 18:1.3630887 19:-1.5939485 20:1.2831233 21:-1.6874387 22:1.2903893 23:-1.2057686 24:1.6252556 25:-1.512353 26:1.5827312 
