2 1:262.7706 2:-6.151303 3:5.8532376 4:0.6929159 5:2.6974556 6:-4.72892 7:3.554331 8:-0.4601573 9:2.503911 10:1.0641786 11:3.0745935 12:-2.4867334 13:3.2273655 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:264.39447 2:-6.2601113 3:6.3098454 4:0.82574177 5:1.942323 6:-5.7653856 7:2.9181058 8:-0.08359188 9:3.3759193 10:1.1899575 11:3.7575378 12:-4.4103837 13:1.2428575 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:266.26477 2:-5.900229 3:7.02183 4:3.446452 5:2.9986393 6:-8.042729 7:0.8258861 8:-1.2970519 9:2.6798394 10:0.5287384 11:3.4629908 12:-3.7889957 13:-0.42293426 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:264.03125 2:-6.3258243 3:5.5878053 4:1.7355094 5:1.9045514 6:-4.6063633 7:4.4932065 8:0.50670874 9:4.2534785 10:-0.7110939 11:3.7499495 12:-3.0596993 13:1.0709324 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:267.36984 2:-5.0715876 3:6.1997766 4:1.9374077 5:3.7330167 6:-3.7144246 7:3.1050844 8:-1.8289772 9:2.674342 10:0.6004472 11:3.7671041 12:-2.1185577 13:1.245281 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:270.0788 2:-4.4880624 3:6.041314 4:-0.12043436 5:1.7329061 6:-1.5543935 7:5.7258306 8:-0.70134896 9:2.1542528 10:-1.8683898 11:2.3521059 12:-3.178365 13:0.79853094 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:262.32065 2:-6.923462 3:6.5853815 4:3.0050607 5:2.6992087 6:-5.257951 7:4.277771 8:0.533153 9:4.0335526 10:1.1619978 11:4.677067 12:-3.1113503 13:1.4626228 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:262.15433 2:-7.2350593 3:6.016093 4:0.05413744 5:1.5445892 6:-5.1296415 7:4.726361 8:1.4157405 9:4.61157 10:1.5731434 11:4.6733327 12:-2.4315896 13:1.5892886 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:264.84006 2:-6.0274243 3:5.552728 4:0.4193149 5:1.1520753 6:-5.8988624 7:2.4408245 8:-2.1008005 9:2.3348446 10:-0.59502167 11:2.2205265 12:-2.5794127 13:2.8545039 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:264.53708 2:-6.533823 3:5.1894054 4:1.4699584 5:1.9928161 6:-5.4387293 7:2.7315946 8:-2.2553513 9:2.1653519 10:-0.2892473 11:2.7411225 12:-3.7433503 13:2.0386696 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
