1 1:266.70938 2:-7.608599 3:5.8637085 4:1.9104178 5:2.51509 6:-1.2676759 7:2.430877 8:-1.9067357 9:2.2665253 10:-2.9412134 11:1.2563689 12:-2.3743463 13:0.18786374 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.1168 2:-6.10896 3:7.637238 4:1.9744022 5:2.9722311 6:-1.6666375 7:2.4403546 8:-1.7437203 9:3.1699805 10:-2.132286 11:1.7147071 12:-0.9024412 13:3.2604444 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:267.2321 2:-4.4837637 3:8.682733 4:1.8378866 5:3.2708163 6:-1.115178 7:3.2646787 8:-1.525188 9:3.9679914 10:-1.7563293 11:2.1256073 12:-1.0239315 13:1.3155987 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:270.76437 2:-3.2400718 3:9.00454 4:0.5420345 5:1.1545887 6:-2.2371168 7:3.5170476 8:-2.9483058 9:2.550824 10:-1.0769945 11:0.5805509 12:-2.9392545 13:1.1579106 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:267.2494 2:-4.7968745 3:7.414863 4:-0.14406766 5:2.9249635 6:-1.7092744 7:3.4550676 8:-0.6894458 9:2.0307212 10:-3.0888755 11:-0.18258391 12:-2.128504 13:1.6854548 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:263.36142 2:-7.0842376 3:7.9361496 4:1.1137652 5:3.7224712 6:-1.8716896 7:2.8942385 8:-0.018983183 9:2.1667092 10:-2.2274125 11:0.86104685 12:-2.4954298 13:0.9384324 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:265.71448 2:-5.85465 3:6.6844096 4:-0.7902254 5:1.2897167 6:-2.8655872 7:2.4729006 8:-0.5412665 9:3.4408932 10:-1.4615856 11:0.19163163 12:-4.4137554 13:0.56958306 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.58 2:-5.042575 3:8.01616 4:-0.54629236 5:1.5878773 6:-2.5957386 7:3.040962 8:-1.606809 9:3.0250664 10:-0.49392116 11:0.461166 12:-2.1323261 13:2.316822 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:266.30652 2:-5.8071957 3:9.300278 4:1.3520715 5:2.1438956 6:-1.3987739 7:3.4799426 8:-1.5230551 9:3.107559 10:-0.09446359 11:1.4386729 12:-1.9999249 13:1.9069469 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.01016 2:-4.1069565 3:8.556863 4:0.13211954 5:1.4743103 6:-1.7439979 7:1.9592446 8:-2.938983 9:3.9534938 10:-0.24426845 11:0.8056483 12:-3.6327305 13:1.3713402 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
