2 1:192.58604 2:2.4363363 3:9.743507 4:-1.3774981 5:3.5835476 6:-6.2417116 7:5.2039113 8:-5.032653 9:3.8680568 10:-3.7172227 11:2.6510968 12:-3.4422336 13:2.830155 14:192.58604 15:2.4363363 16:9.743507 17:-1.3774981 18:3.5835476 19:-6.2417116 20:5.2039113 21:-5.032653 22:3.8680568 23:-3.7172227 24:2.6510968 25:-3.4422336 26:2.830155 
2 1:143.40326 2:1.556015 3:9.103169 4:-4.4639444 5:6.757308 6:-4.999883 7:5.5236063 8:-5.1938276 9:5.4641714 10:-4.7704577 11:5.096634 12:-4.750922 13:5.921516 14:143.40326 15:1.556015 16:9.103169 17:-4.4639444 18:6.757308 19:-4.999883 20:5.5236063 21:-5.1938276 22:5.4641714 23:-4.7704577 24:5.096634 25:-4.750922 26:5.921516 
2 1:147.56435 2:1.4472564 3:7.6699758 4:-4.0856047 5:6.0813785 6:-4.770034 7:4.477785 8:-4.9426537 9:5.3599796 10:-4.289636 11:5.0259967 12:-4.715843 13:4.550197 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
2 1:147.56435 2:1.4472564 3:7.6699758 4:-4.0856047 5:6.0813785 6:-4.770034 7:4.477785 8:-4.9426537 9:5.3599796 10:-4.289636 11:5.0259967 12:-4.715843 13:4.550197 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
2 1:145.28865 2:1.4995756 3:7.198533 4:-4.0947223 5:5.2517586 6:-4.381169 7:4.512276 8:-4.296889 9:4.8835855 10:-4.0483184 11:4.2618504 12:-4.4347243 13:4.6581903 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
2 1:145.28865 2:1.4995756 3:7.198533 4:-4.0947223 5:5.2517586 6:-4.381169 7:4.512276 8:-4.296889 9:4.8835855 10:-4.0483184 11:4.2618504 12:-4.4347243 13:4.6581903 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
2 1:134.24724 2:2.3111198 3:7.658561 4:-3.4083424 5:5.2773232 6:-4.4480295 7:4.009529 8:-4.1320076 9:4.627487 10:-3.6626303 11:4.386509 12:-3.7754893 13:4.9211717 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
2 1:134.24724 2:2.3111198 3:7.658561 4:-3.4083424 5:5.2773232 6:-4.4480295 7:4.009529 8:-4.1320076 9:4.627487 10:-3.6626303 11:4.386509 12:-3.7754893 13:4.9211717 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
2 1:125.79558 2:1.5610198 3:8.000235 4:-1.6821363 5:4.6380897 6:-3.1584382 7:4.4640975 8:-3.3127308 9:3.7549536 10:-2.59137 11:2.6772819 12:-3.2108796 13:4.2051973 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
2 1:125.79558 2:1.5610198 3:8.000235 4:-1.6821363 5:4.6380897 6:-3.1584382 7:4.4640975 8:-3.3127308 9:3.7549536 10:-2.59137 11:2.6772819 12:-3.2108796 13:4.2051973 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
2 1:140.55327 2:2.0230064 3:8.373815 4:-1.4123601 5:5.419989 6:-2.7350097 7:2.5575054 8:-0.86549956 9:3.3531609 10:-4.2791314 11:4.0632105 12:-4.107235 13:2.8705764 14:54.57679 15:-2.2395253 16:5.1884265 17:0.36004436 18:2.041451 19:-0.74496436 20:0.8497916 21:-0.118826866 22:-0.24024582 23:-0.16370215 24:-0.46207246 25:-0.38265845 26:-0.5321113 
