2 1:194.07399 2:3.471822 3:4.4642215 4:-1.1616585 5:0.8555725 6:-2.280077 7:2.610821 8:-3.9213798 9:3.1479547 10:-0.08437756 11:3.216694 12:-2.8414795 13:5.0272384 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:194.07399 2:3.471822 3:4.4642215 4:-1.1616585 5:0.8555725 6:-2.280077 7:2.610821 8:-3.9213798 9:3.1479547 10:-0.08437756 11:3.216694 12:-2.8414795 13:5.0272384 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:195.03418 2:4.5818057 3:7.246157 4:1.5223186 5:4.2735558 6:-0.5411103 7:1.1822126 8:-4.81481 9:2.965596 10:-1.1276709 11:2.9132829 12:-3.4777627 13:6.1734424 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:195.03418 2:4.5818057 3:7.246157 4:1.5223186 5:4.2735558 6:-0.5411103 7:1.1822126 8:-4.81481 9:2.965596 10:-1.1276709 11:2.9132829 12:-3.4777627 13:6.1734424 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:193.33818 2:3.7585013 3:6.517695 4:-1.4663169 5:2.0384355 6:-5.9268727 7:-0.49788374 8:-4.1633716 9:2.3336112 10:-1.1763271 11:2.279731 12:-1.3302135 13:6.281101 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:193.33818 2:3.7585013 3:6.517695 4:-1.4663169 5:2.0384355 6:-5.9268727 7:-0.49788374 8:-4.1633716 9:2.3336112 10:-1.1763271 11:2.279731 12:-1.3302135 13:6.281101 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:199.21306 2:7.224159 3:6.7247486 4:-0.78979343 5:2.0805018 6:-0.9515157 7:1.4816116 8:-6.209116 9:0.60398006 10:-4.441723 11:3.0489933 12:-5.344643 13:3.2300277 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:199.21306 2:7.224159 3:6.7247486 4:-0.78979343 5:2.0805018 6:-0.9515157 7:1.4816116 8:-6.209116 9:0.60398006 10:-4.441723 11:3.0489933 12:-5.344643 13:3.2300277 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:192.47032 2:5.8411927 3:9.169146 4:-1.0854712 5:2.2820487 6:-3.2887256 7:3.030805 8:-3.1266463 9:2.2782679 10:-1.19992 11:2.2545433 12:-4.8857765 13:2.754711 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:192.47032 2:5.8411927 3:9.169146 4:-1.0854712 5:2.2820487 6:-3.2887256 7:3.030805 8:-3.1266463 9:2.2782679 10:-1.19992 11:2.2545433 12:-4.8857765 13:2.754711 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:194.86674 2:2.8452058 3:3.7311745 4:-0.20209593 5:3.163104 6:-3.2427392 7:1.6529688 8:-1.6608937 9:1.7924428 10:-3.7010598 11:0.77322793 12:-3.2900987 13:3.962085 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:194.86674 2:2.8452058 3:3.7311745 4:-0.20209593 5:3.163104 6:-3.2427392 7:1.6529688 8:-1.6608937 9:1.7924428 10:-3.7010598 11:0.77322793 12:-3.2900987 13:3.962085 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:191.39809 2:2.9064336 3:6.2199397 4:-1.9612583 5:1.5184363 6:-1.123987 7:4.5880566 8:-0.62036484 9:-0.87989604 10:-1.1049503 11:4.5001445 12:-3.8388476 13:3.8019984 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:191.39809 2:2.9064336 3:6.2199397 4:-1.9612583 5:1.5184363 6:-1.123987 7:4.5880566 8:-0.62036484 9:-0.87989604 10:-1.1049503 11:4.5001445 12:-3.8388476 13:3.8019984 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:192.60362 2:2.0673378 3:7.82386 4:0.1881367 5:-1.1729909 6:-1.5331335 7:2.9764266 8:-1.6885285 9:1.4056083 10:-4.365881 11:3.523185 12:-4.0209446 13:4.431004 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:192.60362 2:2.0673378 3:7.82386 4:0.1881367 5:-1.1729909 6:-1.5331335 7:2.9764266 8:-1.6885285 9:1.4056083 10:-4.365881 11:3.523185 12:-4.0209446 13:4.431004 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:190.10416 2:3.612872 3:9.19625 4:0.38603514 5:0.12754382 6:-4.3789835 7:1.7212988 8:-2.3132603 9:2.5926805 10:-1.4754162 11:4.036268 12:-3.8093722 13:4.716899 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:190.10416 2:3.612872 3:9.19625 4:0.38603514 5:0.12754382 6:-4.3789835 7:1.7212988 8:-2.3132603 9:2.5926805 10:-1.4754162 11:4.036268 12:-3.8093722 13:4.716899 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:195.83278 2:5.6496882 3:4.9770956 4:-1.9080783 5:4.391796 6:-3.9612975 7:-0.79751194 8:-1.477923 9:2.4294093 10:-4.3426166 11:2.4370704 12:0.117398486 13:2.9483044 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:195.83278 2:5.6496882 3:4.9770956 4:-1.9080783 5:4.391796 6:-3.9612975 7:-0.79751194 8:-1.477923 9:2.4294093 10:-4.3426166 11:2.4370704 12:0.117398486 13:2.9483044 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:199.24484 2:7.029399 3:6.670225 4:-4.7952676 5:1.4454464 6:-3.4783897 7:0.77108675 8:-2.1683362 9:5.4418173 10:-2.6564329 11:3.0779703 12:-1.3359662 13:4.6747546 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:199.24484 2:7.029399 3:6.670225 4:-4.7952676 5:1.4454464 6:-3.4783897 7:0.77108675 8:-2.1683362 9:5.4418173 10:-2.6564329 11:3.0779703 12:-1.3359662 13:4.6747546 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:196.88422 2:2.3420832 3:7.2415786 4:0.35092786 5:1.2185521 6:-6.271976 7:0.09823129 8:-1.635498 9:1.7608206 10:-1.8615628 11:4.973476 12:-2.8238642 13:0.86437684 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:196.88422 2:2.3420832 3:7.2415786 4:0.35092786 5:1.2185521 6:-6.271976 7:0.09823129 8:-1.635498 9:1.7608206 10:-1.8615628 11:4.973476 12:-2.8238642 13:0.86437684 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:197.98701 2:-0.4547608 3:-1.269802 4:-2.9385645 5:4.244707 6:-1.8702257 7:0.7714395 8:-3.1434026 9:2.6271446 10:-1.2532314 11:4.988887 12:0.1642549 13:5.594335 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:197.98701 2:-0.4547608 3:-1.269802 4:-2.9385645 5:4.244707 6:-1.8702257 7:0.7714395 8:-3.1434026 9:2.6271446 10:-1.2532314 11:4.988887 12:0.1642549 13:5.594335 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:201.09465 2:-0.30886048 3:6.914383 4:1.0350775 5:2.4340234 6:-1.7698052 7:1.269915 8:-1.9764866 9:3.8811908 10:-1.187774 11:0.8890703 12:-1.8069787 13:5.8578997 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:201.09465 2:-0.30886048 3:6.914383 4:1.0350775 5:2.4340234 6:-1.7698052 7:1.269915 8:-1.9764866 9:3.8811908 10:-1.187774 11:0.8890703 12:-1.8069787 13:5.8578997 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:201.93173 2:-0.0072780517 3:5.014799 4:1.3805175 5:5.8950677 6:-0.9006924 7:2.9895563 8:0.008140548 9:1.3621422 10:-2.8438919 11:2.26116 12:-3.3347614 13:4.093759 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:201.93173 2:-0.0072780517 3:5.014799 4:1.3805175 5:5.8950677 6:-0.9006924 7:2.9895563 8:0.008140548 9:1.3621422 10:-2.8438919 11:2.26116 12:-3.3347614 13:4.093759 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:198.69391 2:-3.1870134 3:8.531404 4:5.4842353 5:7.5357976 6:-2.6898675 7:0.04240169 8:-0.95614725 9:3.0297005 10:-0.42178398 11:0.5824748 12:-3.2818744 13:1.2386323 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:198.69391 2:-3.1870134 3:8.531404 4:5.4842353 5:7.5357976 6:-2.6898675 7:0.04240169 8:-0.95614725 9:3.0297005 10:-0.42178398 11:0.5824748 12:-3.2818744 13:1.2386323 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:200.19559 2:-0.68587935 3:5.4020524 4:-0.9160829 5:1.7804191 6:-4.3625407 7:-0.27003506 8:-2.2719786 9:3.5345967 10:-0.36220863 11:2.9926305 12:-2.0196989 13:1.7698122 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:200.19559 2:-0.68587935 3:5.4020524 4:-0.9160829 5:1.7804191 6:-4.3625407 7:-0.27003506 8:-2.2719786 9:3.5345967 10:-0.36220863 11:2.9926305 12:-2.0196989 13:1.7698122 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:207.18294 2:-0.538788 3:3.295275 4:-0.20524053 5:3.506183 6:-1.1612871 7:1.5604134 8:-0.81210077 9:2.504821 10:0.6017625 11:1.407512 12:-3.2546833 13:2.4914703 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:207.18294 2:-0.538788 3:3.295275 4:-0.20524053 5:3.506183 6:-1.1612871 7:1.5604134 8:-0.81210077 9:2.504821 10:0.6017625 11:1.407512 12:-3.2546833 13:2.4914703 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:206.28108 2:-3.7846055 3:1.0306807 4:0.9016658 5:4.131953 6:-3.2233603 7:1.1983842 8:-2.0199218 9:0.544896 10:-2.020634 11:1.6394519 12:-1.9410523 13:3.6571012 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:206.28108 2:-3.7846055 3:1.0306807 4:0.9016658 5:4.131953 6:-3.2233603 7:1.1983842 8:-2.0199218 9:0.544896 10:-2.020634 11:1.6394519 12:-1.9410523 13:3.6571012 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:205.52495 2:-2.4014866 3:2.1060908 4:1.3406639 5:5.8952093 6:-0.32262218 7:-1.0269417 8:-4.890504 9:1.2503554 10:-2.9835434 11:3.75033 12:0.9413776 13:2.447336 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
