2 1:211.0566 2:4.948313 3:3.251115 4:1.9570723 5:4.353346 6:-0.98606443 7:3.4781833 8:-3.3857322 9:3.69996 10:-3.2942586 11:1.2565997 12:-4.577065 13:3.6221972 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:211.0566 2:4.948313 3:3.251115 4:1.9570723 5:4.353346 6:-0.98606443 7:3.4781833 8:-3.3857322 9:3.69996 10:-3.2942586 11:1.2565997 12:-4.577065 13:3.6221972 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:208.61536 2:3.7213006 3:3.5549154 4:-0.034400385 5:4.4778876 6:-1.7560782 7:0.82238406 8:-2.9986582 9:5.941171 10:-3.3623488 11:2.1976805 12:-2.282572 13:1.4320632 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:208.61536 2:3.7213006 3:3.5549154 4:-0.034400385 5:4.4778876 6:-1.7560782 7:0.82238406 8:-2.9986582 9:5.941171 10:-3.3623488 11:2.1976805 12:-2.282572 13:1.4320632 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.51184 2:7.637522 3:6.187354 4:-0.6665966 5:8.7501955 6:0.39856234 7:2.3181164 8:-3.4200742 9:6.4122787 10:-4.45077 11:2.3755507 12:-2.467902 13:1.7941692 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.51184 2:7.637522 3:6.187354 4:-0.6665966 5:8.7501955 6:0.39856234 7:2.3181164 8:-3.4200742 9:6.4122787 10:-4.45077 11:2.3755507 12:-2.467902 13:1.7941692 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.16992 2:1.947438 3:0.20997795 4:-5.43926 5:4.102832 6:-2.5695853 7:1.1959022 8:-3.8055472 9:4.077529 10:-2.87828 11:1.9029132 12:-2.7208476 13:0.74727225 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.16992 2:1.947438 3:0.20997795 4:-5.43926 5:4.102832 6:-2.5695853 7:1.1959022 8:-3.8055472 9:4.077529 10:-2.87828 11:1.9029132 12:-2.7208476 13:0.74727225 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.51477 2:6.8840156 3:6.3122454 4:-2.3038979 5:6.5119896 6:-0.07245645 7:0.32084578 8:-5.4352922 9:3.961503 10:-3.0420504 11:0.5705078 12:-1.5975205 13:2.0149877 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.51477 2:6.8840156 3:6.3122454 4:-2.3038979 5:6.5119896 6:-0.07245645 7:0.32084578 8:-5.4352922 9:3.961503 10:-3.0420504 11:0.5705078 12:-1.5975205 13:2.0149877 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
