1 1:208.66656 2:10.377251 3:3.1229055 4:-4.371448 5:6.820536 6:-1.886986 7:2.8748124 8:-2.5647423 9:1.9940906 10:-3.856524 11:2.25831 12:-4.713093 13:5.945438 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:208.66656 2:10.377251 3:3.1229055 4:-4.371448 5:6.820536 6:-1.886986 7:2.8748124 8:-2.5647423 9:1.9940906 10:-3.856524 11:2.25831 12:-4.713093 13:5.945438 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.46417 2:8.032745 3:4.0610747 4:-3.9380488 5:1.3045579 6:-1.9389688 7:4.06771 8:-2.6512368 9:2.227262 10:-3.2240553 11:3.0386734 12:-4.5004 13:3.7786052 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.46417 2:8.032745 3:4.0610747 4:-3.9380488 5:1.3045579 6:-1.9389688 7:4.06771 8:-2.6512368 9:2.227262 10:-3.2240553 11:3.0386734 12:-4.5004 13:3.7786052 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:201.30316 2:6.528138 3:6.0552416 4:0.43629828 5:3.2244396 6:2.7135258 7:3.9378428 8:-7.174775 9:-0.49815202 10:-4.856148 11:5.863266 12:-0.46039096 13:5.1780133 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:201.30316 2:6.528138 3:6.0552416 4:0.43629828 5:3.2244396 6:2.7135258 7:3.9378428 8:-7.174775 9:-0.49815202 10:-4.856148 11:5.863266 12:-0.46039096 13:5.1780133 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.56906 2:7.3941097 3:6.3908353 4:-2.9592903 5:5.9057865 6:-2.386105 7:4.9683642 8:0.019013885 9:1.3957368 10:-1.1384737 11:3.5106544 12:-1.7078003 13:4.9995155 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.56906 2:7.3941097 3:6.3908353 4:-2.9592903 5:5.9057865 6:-2.386105 7:4.9683642 8:0.019013885 9:1.3957368 10:-1.1384737 11:3.5106544 12:-1.7078003 13:4.9995155 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:209.40959 2:10.059447 3:3.4954352 4:-3.9026299 5:5.374395 6:-2.337519 7:2.1854887 8:-3.3416574 9:2.5444524 10:-2.2953534 11:3.1205423 12:-4.3229823 13:6.8956704 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:209.40959 2:10.059447 3:3.4954352 4:-3.9026299 5:5.374395 6:-2.337519 7:2.1854887 8:-3.3416574 9:2.5444524 10:-2.2953534 11:3.1205423 12:-4.3229823 13:6.8956704 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.16219 2:6.054269 3:6.3535304 4:2.1389904 5:8.511988 6:0.17468439 7:3.2224696 8:-3.6913674 9:0.123989135 10:-4.4922805 11:3.1001253 12:-2.4931998 13:2.3309095 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.16219 2:6.054269 3:6.3535304 4:2.1389904 5:8.511988 6:0.17468439 7:3.2224696 8:-3.6913674 9:0.123989135 10:-4.4922805 11:3.1001253 12:-2.4931998 13:2.3309095 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:206.8306 2:8.39403 3:5.4632454 4:-4.386422 5:6.1604247 6:-1.4310995 7:6.325774 8:-1.9082851 9:2.6922522 10:-0.836211 11:2.029663 12:-3.9292526 13:3.6903489 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:206.8306 2:8.39403 3:5.4632454 4:-4.386422 5:6.1604247 6:-1.4310995 7:6.325774 8:-1.9082851 9:2.6922522 10:-0.836211 11:2.029663 12:-3.9292526 13:3.6903489 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
