1 1:198.15877 2:2.594445 3:5.701953 4:-5.9453697 5:1.4506431 6:0.20103906 7:0.51295745 8:-2.0698483 9:2.6577005 10:-1.5662174 11:2.3854036 12:-1.0676475 13:1.6994323 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.15877 2:2.594445 3:5.701953 4:-5.9453697 5:1.4506431 6:0.20103906 7:0.51295745 8:-2.0698483 9:2.6577005 10:-1.5662174 11:2.3854036 12:-1.0676475 13:1.6994323 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.78358 2:2.765343 3:7.199268 4:-3.0386703 5:7.3932776 6:-1.3894682 7:-0.87518275 8:-1.5073081 9:2.7625983 10:-0.32373062 11:0.26904553 12:-2.6524844 13:2.7519126 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.78358 2:2.765343 3:7.199268 4:-3.0386703 5:7.3932776 6:-1.3894682 7:-0.87518275 8:-1.5073081 9:2.7625983 10:-0.32373062 11:0.26904553 12:-2.6524844 13:2.7519126 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.60486 2:-0.34729123 3:6.4272346 4:-1.8993676 5:7.086014 6:-2.0736158 7:0.7282425 8:-0.10106277 9:0.93156105 10:-1.9788128 11:1.0569191 12:-2.8077219 13:-0.010525056 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.60486 2:-0.34729123 3:6.4272346 4:-1.8993676 5:7.086014 6:-2.0736158 7:0.7282425 8:-0.10106277 9:0.93156105 10:-1.9788128 11:1.0569191 12:-2.8077219 13:-0.010525056 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.01381 2:1.2946013 3:8.814177 4:-3.0128343 5:6.015267 6:-0.008568349 7:2.2291188 8:0.6739643 9:1.9903636 10:-3.886771 11:0.62873876 12:-0.64323354 13:0.7300936 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.01381 2:1.2946013 3:8.814177 4:-3.0128343 5:6.015267 6:-0.008568349 7:2.2291188 8:0.6739643 9:1.9903636 10:-3.886771 11:0.62873876 12:-0.64323354 13:0.7300936 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:204.61606 2:0.21802345 3:6.256559 4:-5.843069 5:2.4537835 6:-4.0079007 7:0.84881026 8:-1.3495833 9:1.9535621 10:-0.26482934 11:1.3465343 12:-0.93370473 13:0.6453069 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:204.61606 2:0.21802345 3:6.256559 4:-5.843069 5:2.4537835 6:-4.0079007 7:0.84881026 8:-1.3495833 9:1.9535621 10:-0.26482934 11:1.3465343 12:-0.93370473 13:0.6453069 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.94708 2:0.4134255 3:7.3397098 4:-2.7308426 5:5.6446915 6:-1.5929567 7:0.37764758 8:-1.9710717 9:1.9142832 10:-2.6783674 11:2.0964706 12:-0.11683308 13:0.3281122 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.94708 2:0.4134255 3:7.3397098 4:-2.7308426 5:5.6446915 6:-1.5929567 7:0.37764758 8:-1.9710717 9:1.9142832 10:-2.6783674 11:2.0964706 12:-0.11683308 13:0.3281122 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:201.48468 2:1.0505563 3:3.2299435 4:-6.1535883 5:2.5764163 6:-3.4935086 7:1.9245771 8:-0.48734012 9:2.0089602 10:-0.64102036 11:1.7812661 12:-2.5152009 13:1.846373 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:201.48468 2:1.0505563 3:3.2299435 4:-6.1535883 5:2.5764163 6:-3.4935086 7:1.9245771 8:-0.48734012 9:2.0089602 10:-0.64102036 11:1.7812661 12:-2.5152009 13:1.846373 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:203.39154 2:1.4052551 3:7.1270046 4:-2.5473824 5:5.535504 6:-1.349216 7:2.3137228 8:-0.44509852 9:2.0267756 10:-0.07136366 11:3.7338912 12:-3.0629687 13:1.6337011 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:203.39154 2:1.4052551 3:7.1270046 4:-2.5473824 5:5.535504 6:-1.349216 7:2.3137228 8:-0.44509852 9:2.0267756 10:-0.07136366 11:3.7338912 12:-3.0629687 13:1.6337011 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:193.37158 2:-0.7359053 3:7.6808014 4:-2.1067069 5:4.9082127 6:-0.86335933 7:2.9704595 8:2.694593 9:2.9200647 10:-1.2716082 11:2.3719072 12:-0.8668363 13:-1.1559511 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:193.37158 2:-0.7359053 3:7.6808014 4:-2.1067069 5:4.9082127 6:-0.86335933 7:2.9704595 8:2.694593 9:2.9200647 10:-1.2716082 11:2.3719072 12:-0.8668363 13:-1.1559511 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:194.9918 2:0.46834993 3:5.8585615 4:-4.1025386 5:8.677953 6:-2.7598248 7:-0.6858119 8:-0.61251545 9:1.5094469 10:-1.1060244 11:3.0047417 12:-0.6809809 13:0.3541862 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:194.9918 2:0.46834993 3:5.8585615 4:-4.1025386 5:8.677953 6:-2.7598248 7:-0.6858119 8:-0.61251545 9:1.5094469 10:-1.1060244 11:3.0047417 12:-0.6809809 13:0.3541862 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:193.80122 2:-2.110877 3:6.046706 4:-1.8536767 5:6.631509 6:2.031605 7:2.221488 8:0.7479013 9:1.5013119 10:-5.056111 11:-1.0124784 12:-3.9360702 13:3.0456872 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:193.80122 2:-2.110877 3:6.046706 4:-1.8536767 5:6.631509 6:2.031605 7:2.221488 8:0.7479013 9:1.5013119 10:-5.056111 11:-1.0124784 12:-3.9360702 13:3.0456872 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:197.63057 2:4.009901 3:7.1867642 4:-3.5023944 5:4.2379384 6:0.3487698 7:2.0791302 8:-2.1661186 9:1.8586816 10:-3.8070452 11:3.1942756 12:0.44512302 13:1.6956939 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:197.63057 2:4.009901 3:7.1867642 4:-3.5023944 5:4.2379384 6:0.3487698 7:2.0791302 8:-2.1661186 9:1.8586816 10:-3.8070452 11:3.1942756 12:0.44512302 13:1.6956939 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:194.07417 2:0.056808718 3:9.261237 4:-2.7260604 5:6.021633 6:2.6958477 7:1.8642397 8:0.053776436 9:5.2845902 10:-3.8700974 11:2.7783458 12:-0.5355814 13:0.6907673 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:194.07417 2:0.056808718 3:9.261237 4:-2.7260604 5:6.021633 6:2.6958477 7:1.8642397 8:0.053776436 9:5.2845902 10:-3.8700974 11:2.7783458 12:-0.5355814 13:0.6907673 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.07011 2:-0.6700847 3:6.601884 4:-3.5179226 5:3.6445768 6:-0.97257566 7:0.6945419 8:0.46074176 9:3.9620245 10:-1.7374958 11:2.4180875 12:-2.3860373 13:-0.022286013 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.07011 2:-0.6700847 3:6.601884 4:-3.5179226 5:3.6445768 6:-0.97257566 7:0.6945419 8:0.46074176 9:3.9620245 10:-1.7374958 11:2.4180875 12:-2.3860373 13:-0.022286013 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.64447 2:1.1889786 3:4.2867146 4:-6.7875023 5:1.1556607 6:-2.681133 7:2.2937698 8:-1.106327 9:0.51086813 10:0.284093 11:1.2113029 12:-4.435775 13:1.7026479 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.64447 2:1.1889786 3:4.2867146 4:-6.7875023 5:1.1556607 6:-2.681133 7:2.2937698 8:-1.106327 9:0.51086813 10:0.284093 11:1.2113029 12:-4.435775 13:1.7026479 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:200.39188 2:0.20291273 3:6.5891705 4:-6.391548 5:4.9679728 6:1.4833804 7:2.437267 8:-1.9188623 9:-0.12868463 10:-0.87670565 11:1.7170156 12:-1.209891 13:2.4524646 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:200.39188 2:0.20291273 3:6.5891705 4:-6.391548 5:4.9679728 6:1.4833804 7:2.437267 8:-1.9188623 9:-0.12868463 10:-0.87670565 11:1.7170156 12:-1.209891 13:2.4524646 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.66393 2:1.57619 3:6.7114096 4:-5.669207 5:4.468238 6:1.668329 7:3.2433088 8:-1.6994798 9:1.6956345 10:-0.38030759 11:1.3973955 12:-4.393951 13:-0.6831656 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.66393 2:1.57619 3:6.7114096 4:-5.669207 5:4.468238 6:1.668329 7:3.2433088 8:-1.6994798 9:1.6956345 10:-0.38030759 11:1.3973955 12:-4.393951 13:-0.6831656 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:197.54308 2:-1.5512989 3:4.1796393 4:-3.7393167 5:2.6361287 6:-0.9491526 7:2.219535 8:-0.23062669 9:1.6563183 10:-3.4709234 11:0.68731165 12:-3.7400756 13:0.762455 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:197.54308 2:-1.5512989 3:4.1796393 4:-3.7393167 5:2.6361287 6:-0.9491526 7:2.219535 8:-0.23062669 9:1.6563183 10:-3.4709234 11:0.68731165 12:-3.7400756 13:0.762455 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.70406 2:1.4914781 3:5.775628 4:-5.5074487 5:2.3573024 6:1.2725432 7:-0.648429 8:-1.8715847 9:2.669849 10:-1.9070699 11:2.086256 12:-2.1232767 13:-2.0696971 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.70406 2:1.4914781 3:5.775628 4:-5.5074487 5:2.3573024 6:1.2725432 7:-0.648429 8:-1.8715847 9:2.669849 10:-1.9070699 11:2.086256 12:-2.1232767 13:-2.0696971 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:197.60506 2:-0.26366776 3:4.938906 4:-5.0238132 5:3.2483015 6:-0.68806285 7:0.5591334 8:-1.8804796 9:3.0730696 10:-0.6804982 11:2.006702 12:-1.1933327 13:0.13478084 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:197.60506 2:-0.26366776 3:4.938906 4:-5.0238132 5:3.2483015 6:-0.68806285 7:0.5591334 8:-1.8804796 9:3.0730696 10:-0.6804982 11:2.006702 12:-1.1933327 13:0.13478084 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
