2 1:222.01334 2:2.3977053 3:-0.82012117 4:-5.344771 5:2.1808743 6:0.44761053 7:1.7099016 8:-6.044252 9:0.7127425 10:-2.619573 11:2.72194 12:-7.363801 13:1.325898 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:222.01334 2:2.3977053 3:-0.82012117 4:-5.344771 5:2.1808743 6:0.44761053 7:1.7099016 8:-6.044252 9:0.7127425 10:-2.619573 11:2.72194 12:-7.363801 13:1.325898 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:232.07164 2:-1.609701 3:-0.88196766 4:-3.7601702 5:5.7548194 6:-0.61706847 7:-1.8222855 8:-4.3239627 9:1.0459332 10:-0.09782119 11:3.164848 12:-4.776031 13:2.0276396 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:232.07164 2:-1.609701 3:-0.88196766 4:-3.7601702 5:5.7548194 6:-0.61706847 7:-1.8222855 8:-4.3239627 9:1.0459332 10:-0.09782119 11:3.164848 12:-4.776031 13:2.0276396 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:233.25998 2:-0.54387313 3:1.334647 4:-2.0094874 5:3.4611504 6:-0.64217126 7:2.3561676 8:-3.4160414 9:-0.6563778 10:-1.8278337 11:1.4392117 12:-6.008431 13:1.678676 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:233.25998 2:-0.54387313 3:1.334647 4:-2.0094874 5:3.4611504 6:-0.64217126 7:2.3561676 8:-3.4160414 9:-0.6563778 10:-1.8278337 11:1.4392117 12:-6.008431 13:1.678676 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:225.9881 2:0.7408101 3:2.6467836 4:-0.69841295 5:2.3542774 6:-1.3028245 7:-0.028002381 8:-4.1424627 9:0.53187084 10:-3.5704372 11:1.5295529 12:-4.3803663 13:3.9024277 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:225.9881 2:0.7408101 3:2.6467836 4:-0.69841295 5:2.3542774 6:-1.3028245 7:-0.028002381 8:-4.1424627 9:0.53187084 10:-3.5704372 11:1.5295529 12:-4.3803663 13:3.9024277 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:222.01753 2:1.234451 3:1.7918808 4:-3.4754105 5:3.1196163 6:1.0253826 7:2.1780844 8:-5.764481 9:-1.4268359 10:-3.8878698 11:3.054011 12:-3.423101 13:1.9103265 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:222.01753 2:1.234451 3:1.7918808 4:-3.4754105 5:3.1196163 6:1.0253826 7:2.1780844 8:-5.764481 9:-1.4268359 10:-3.8878698 11:3.054011 12:-3.423101 13:1.9103265 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
