1 1:123.95389 2:7.868743 3:3.2852304 4:-8.001505 5:1.187908 6:-4.3383017 7:2.9859705 8:-2.7042012 9:2.483139 10:-3.9473264 11:3.9909215 12:-2.1826646 13:0.5126116 14:123.95389 15:7.868743 16:3.2852304 17:-8.001505 18:1.187908 19:-4.3383017 20:2.9859705 21:-2.7042012 22:2.483139 23:-3.9473264 24:3.9909215 25:-2.1826646 26:0.5126116 
1 1:221.61029 2:11.054116 3:2.4230778 4:0.6333379 5:5.4505405 6:-3.448578 7:2.5680447 8:-6.0619226 9:6.5151577 10:-3.0190222 11:3.5697157 12:-3.0610147 13:4.1416273 14:221.61029 15:11.054116 16:2.4230778 17:0.6333379 18:5.4505405 19:-3.448578 20:2.5680447 21:-6.0619226 22:6.5151577 23:-3.0190222 24:3.5697157 25:-3.0610147 26:4.1416273 
1 1:254.3651 2:12.672162 3:-2.5095098 4:-2.7939415 5:4.157702 6:-0.93532044 7:3.9657822 8:-6.776642 9:5.490265 10:-4.9261866 11:2.6241782 12:-3.4302325 13:5.5789986 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:254.3651 2:12.672162 3:-2.5095098 4:-2.7939415 5:4.157702 6:-0.93532044 7:3.9657822 8:-6.776642 9:5.490265 10:-4.9261866 11:2.6241782 12:-3.4302325 13:5.5789986 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:278.57986 2:10.705231 3:-1.7161826 4:-0.829101 5:2.8368442 6:-1.7561475 7:1.9159538 8:-5.900152 9:3.3434474 10:-5.867227 11:3.1259983 12:-4.5730395 13:4.4553084 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:278.57986 2:10.705231 3:-1.7161826 4:-0.829101 5:2.8368442 6:-1.7561475 7:1.9159538 8:-5.900152 9:3.3434474 10:-5.867227 11:3.1259983 12:-4.5730395 13:4.4553084 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:274.4605 2:8.395615 3:-0.38581142 4:-0.7878341 5:2.3228579 6:-3.4676366 7:1.7275001 8:-4.648757 9:4.4344964 10:-3.2017362 11:5.073367 12:-3.2832658 13:5.2133484 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:274.4605 2:8.395615 3:-0.38581142 4:-0.7878341 5:2.3228579 6:-3.4676366 7:1.7275001 8:-4.648757 9:4.4344964 10:-3.2017362 11:5.073367 12:-3.2832658 13:5.2133484 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:258.88483 2:7.3575563 3:2.0802765 4:3.174593 5:7.178585 6:-1.1870291 7:3.7537665 8:-5.6720986 9:3.623537 10:-4.8885336 11:4.5369434 12:-0.23236781 13:2.9985113 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:258.88483 2:7.3575563 3:2.0802765 4:3.174593 5:7.178585 6:-1.1870291 7:3.7537665 8:-5.6720986 9:3.623537 10:-4.8885336 11:4.5369434 12:-0.23236781 13:2.9985113 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:252.21013 2:7.482746 3:1.3665533 4:1.9930295 5:4.4589496 6:-3.3975935 7:2.0787156 8:-2.6516151 9:6.6153517 10:-5.2396836 11:1.9248285 12:-3.7069945 13:3.8902032 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:252.21013 2:7.482746 3:1.3665533 4:1.9930295 5:4.4589496 6:-3.3975935 7:2.0787156 8:-2.6516151 9:6.6153517 10:-5.2396836 11:1.9248285 12:-3.7069945 13:3.8902032 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:323.9226 2:6.786228 3:-2.1022892 4:-7.3712034 5:-6.054426 6:-4.200873 7:4.725822 8:-7.209803 9:1.6914337 10:-0.35701877 11:5.5964704 12:-6.020893 13:3.5810947 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:323.9226 2:6.786228 3:-2.1022892 4:-7.3712034 5:-6.054426 6:-4.200873 7:4.725822 8:-7.209803 9:1.6914337 10:-0.35701877 11:5.5964704 12:-6.020893 13:3.5810947 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:358.61182 2:15.335758 3:2.7708871 4:-4.2712417 5:-3.7093468 6:-5.4910336 7:3.6970713 8:-8.819066 9:2.2933996 10:-0.1520834 11:8.084904 12:-7.5880857 13:2.4186883 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:358.61182 2:15.335758 3:2.7708871 4:-4.2712417 5:-3.7093468 6:-5.4910336 7:3.6970713 8:-8.819066 9:2.2933996 10:-0.1520834 11:8.084904 12:-7.5880857 13:2.4186883 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:281.89062 2:16.069443 3:9.241203 4:-5.715017 5:1.0492815 6:-4.407912 7:4.3057857 8:-2.4507356 9:7.9940424 10:0.5819514 11:4.8165884 12:-5.3510604 13:1.6922915 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:281.89062 2:16.069443 3:9.241203 4:-5.715017 5:1.0492815 6:-4.407912 7:4.3057857 8:-2.4507356 9:7.9940424 10:0.5819514 11:4.8165884 12:-5.3510604 13:1.6922915 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:254.32414 2:18.679968 3:11.30965 4:0.37397474 5:5.479469 6:-4.4174285 7:1.6324097 8:-7.488739 9:4.1186666 10:-4.9955454 11:4.522132 12:-2.2663531 13:5.247694 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:254.32414 2:18.679968 3:11.30965 4:0.37397474 5:5.479469 6:-4.4174285 7:1.6324097 8:-7.488739 9:4.1186666 10:-4.9955454 11:4.522132 12:-2.2663531 13:5.247694 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:250.08176 2:13.728444 3:8.516023 4:2.034423 5:6.934064 6:-4.494619 7:4.776045 8:-5.589345 9:2.4023616 10:-5.926578 11:4.1057568 12:-1.1180617 13:7.650105 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
1 1:250.08176 2:13.728444 3:8.516023 4:2.034423 5:6.934064 6:-4.494619 7:4.776045 8:-5.589345 9:2.4023616 10:-5.926578 11:4.1057568 12:-1.1180617 13:7.650105 14:76.924095 15:1.39438 16:4.8463783 17:0.9543692 18:0.46686882 19:-0.54767185 20:1.7725329 21:-2.2320433 22:0.94045144 23:0.084408924 24:0.7615834 25:-1.498259 26:0.26880082 
