1 1:261.94177 2:1.241546 3:2.3087137 4:-3.5428355 5:4.909373 6:-2.6114757 7:3.795559 8:-1.758294 9:0.6692563 10:-1.7345257 11:5.8301444 12:1.5068629 13:3.3041954 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:278.1526 2:3.4732583 3:3.3180852 4:-2.7812748 5:2.3071432 6:-6.618929 7:2.9028792 8:-6.583594 9:-4.0390143 10:-2.5706136 11:6.416215 12:0.7636108 13:3.38362 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:269.4567 2:3.6334474 3:5.548319 4:-1.2341039 5:2.2923222 6:-8.91091 7:3.636713 8:-3.2446196 9:-3.698972 10:-3.083876 11:6.3108363 12:0.7393278 13:1.23548 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:238.68832 2:5.2498074 3:3.7803683 4:-3.4687712 5:3.5045004 6:-4.295109 7:1.6807615 8:-4.2647147 9:0.6710405 10:-3.2581422 11:6.6866555 12:1.0022678 13:2.2040648 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:226.44159 2:2.5995073 3:9.147226 4:-3.6123638 5:3.3173168 6:-1.5385249 7:-0.1184889 8:-3.352331 9:1.1479076 10:-2.6803412 11:5.213875 12:-0.7608556 13:1.7026349 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:226.64465 2:-2.0977325 3:9.445458 4:-2.8152506 5:5.878826 6:0.90399724 7:1.072593 8:-0.8271636 9:3.415814 10:0.6719867 11:4.1607795 12:-0.8487915 13:1.1615767 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:226.1724 2:-3.327132 3:9.013232 4:-2.6669059 5:4.8779144 6:0.54870397 7:1.0492007 8:-1.1938683 9:2.506185 10:-0.41303807 11:3.0103695 12:-0.550839 13:1.0624624 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:235.14995 2:-0.32575718 3:5.68596 4:-6.1044927 5:4.2787447 6:-0.26875964 7:4.1310706 8:-0.38147086 9:2.7570581 10:-1.770848 11:4.177936 12:-0.10333132 13:0.28053463 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:235.73077 2:2.0771048 3:5.865269 4:-6.911236 5:5.627218 6:-1.1811348 7:3.6408281 8:-0.17288482 9:2.6167006 10:-1.1712396 11:4.8446465 12:-0.5712232 13:1.9411783 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:217.3888 2:1.8884027 3:10.043538 4:-1.8161247 5:4.4338737 6:0.7974729 7:2.7091506 8:-2.2369318 9:1.4578873 10:-2.6635895 11:2.512103 12:-0.9995401 13:2.8723724 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
